AdText,Category,Platform
At Trust Women Southwind Abortion Clinic in Oklahoma City they perform Abortions up to 21 weeks. I was told by the staff that the abortions past 21 weeks are referred to their other location in Wichita. Innocent children are having their arms and legs ripped off and then their skulls are crushed. Some are burned alive slowly having their eyes burned out of their sockets and their skin burned off first until they eventually die.  How can we continue to allow such horror such wickedness? For 47 years now we have only sought to regulate the brutal butchers of the most innocent humans among us saving only 1% and allowing the other 99% (approximately 63 million babies) to die such heinous unspeakable deaths. When will we wake up and obey the Lord who is calling out to His people to repent of their Abominations before He returns with his Judgement?  THOU SHALT NOT KILL  This is a Commandment of God.  These are the scriptures we as faithful and obedient followers of Christ must Obey if we are the True Remnant of God Left in Sodom and Babylon:  Micah 6:8 He hath shewed thee O man what is good; and what doth the Lord require of thee but to do justly and to love mercy and to walk humbly with thy God?  Matthew 13:31-32 Another parable put he forth unto them saying The kingdom of heaven is like to a grain of mustard seed which a man took and sowed in his field: [32] Which indeed is the least of all seeds: but when it is grown it is the greatest among herbs and becometh a tree so that the birds of the air come and lodge in the branches thereof.  Luke 1:41-45 And it came to pass that when Elisabeth heard the salutation of Mary the babe leaped in her womb; and Elisabeth was filled with the Holy Ghost: [42] And she spake out with a loud voice and said Blessed art thou among women and blessed is the fruit of thy womb. [43] And whence is this to me that the mother of my Lord should come to me? [44] For lo as soon as the voice of thy salutation sounded in mine ears the babe leaped in my womb for joy. [45] And blessed is she that believed: for there shall be a performance of those things which were told her from the Lord.  Exodus 20:13 Thou shalt not kill.  Numbers 35:33 So ye shall not pollute the land wherein ye are : for blood it defileth the land: and the land cannot be cleansed of the blood that is shed therein but by the blood of him that shed it.  Isaiah 9:6-7 For unto us a child is born unto us a son is given: and the government shall be upon his shoulder: and his name shall be called Wonderful Counsellor The mighty God The everlasting Father The Prince of Peace. [7] Of the increase of his government and peace there shall be no end upon the throne of David and upon his kingdom to order it and to establish it with judgment and with justice from henceforth even for ever. The zeal of the Lord of hosts will perform this.  2 Chronicles 7:14 If my people which are called by my name shall humble themselves and pray and seek my face and turn from their wicked ways; then will I hear from heaven and will forgive their sin and will heal their land.  Genesis 1:27 So God created man in his own image in the image of God created he him; male and female created he them.  Genesis 4:10 And he said What hast thou done? the voice of thy brother's blood crieth unto me from the ground.  Genesis 9:6 Whoso sheddeth man's blood by man shall his blood be shed: for in the image of God made he man.  Exodus 1:15-21 And the king of Egypt spake to the Hebrew midwives of which the name of the one was Shiphrah and the name of the other Puah: [16] And he said When ye do the office of a midwife to the Hebrew women and see them upon the stools; if it be a son then ye shall kill him: but if it be a daughter then she shall live. [17] But the midwives feared God and did not as the king of Egypt commanded them but saved the men children alive. [18] And the king of Egypt called for the midwives and said unto them Why have ye done this thing and have saved the men children alive? [19] And the midwives said unto Pharaoh Because the Hebrew women are not as the Egyptian women; for they are lively and are delivered ere the midwives come in unto them. [20] Therefore God dealt well with the midwives: and the people multiplied and waxed very mighty. [21] And it came to pass because the midwives feared God that he made them houses.  Proverbs 24:11-12 If thou forbear to deliver them that are drawn unto death and those that are ready to be slain; [12] If thou sayest Behold we knew it not; doth not he that pondereth the heart consider it ? and he that keepeth thy soul doth not he know it ? and shall not he render to every man according to his works?  Proverbs 31:8-9 Open thy mouth for the dumb in the cause of all such as are appointed to destruction. [9] Open thy mouth judge righteously and plead the cause of the poor and needy.  Isaiah 1:15-17 And when ye spread forth your hands I will hide mine eyes from you: yea when ye make many prayers I will not hear: your hands are full of blood. [16] Wash you make you clean; put away the evil of your doings from before mine eyes; cease to do evil; [17] Learn to do well; seek judgment relieve the oppressed judge the fatherless plead for the widow.  Isaiah 10:1-2 Woe unto them that decree unrighteous decrees and that write grievousness which they have prescribed; [2] To turn aside the needy from judgment and to take away the right from the poor of my people that widows may be their prey and that they may rob the fatherless!  Isaiah 59:3-4 For your hands are defiled with blood and your fingers with iniquity; your lips have spoken lies your tongue hath muttered perverseness. [4] None calleth for justice nor any pleadeth for truth: they trust in vanity and speak lies; they conceive mischief and bring forth iniquity.  Ecclesiastes 8:11 Because sentence against an evil work is not executed speedily therefore the heart of the sons of men is fully set in them to do evil.  Amos 5:14-15 Seek good and not evil that ye may live: and so the Lord the God of hosts shall be with you as ye have spoken. [15] Hate the evil and love the good and establish judgment in the gate: it may be that the Lord God of hosts will be gracious unto the remnant of Joseph.  Amos 5:18-24 Woe unto you that desire the day of the Lord ! to what end is it for you? the day of the Lord is darkness and not light. [19] As if a man did flee from a lion and a bear met him; or went into the house and leaned his hand on the wall and a serpent bit him. [20] Shall not the day of the Lord be darkness and not light? even very dark and no brightness in it? [21] I hate I despise your feast days and I will not smell in your solemn assemblies. [22] Though ye offer me burnt offerings and your meat offerings I will not accept them : neither will I regard the peace offerings of your fat beasts. [23] Take thou away from me the noise of thy songs; for I will not hear the melody of thy viols. [24] But let judgment run down as waters and righteousness as a mighty stream.  Psalm 139:13-16 For thou hast possessed my reins: thou hast covered me in my mother's womb. [14] I will praise thee; for I am fearfully and wonderfully made: marvellous are thy works; and that my soul knoweth right well. [15] My substance was not hid from thee when I was made in secret and curiously wrought in the lowest parts of the earth. [16] Thine eyes did see my substance yet being unperfect; and in thy book all my members were written which in continuance were fashioned when as yet there was none of them.  Romans 12:9 Let love be without dissimulation. Abhor that which is evil; cleave to that which is good.  Romans 13:3-4 For rulers are not a terror to good works but to the evil. Wilt thou then not be afraid of the power? do that which is good and thou shalt have praise of the same: [4] For he is the minister of God to thee for good. But if thou do that which is evil be afraid; for he beareth not the sword in vain: for he is the minister of God a revenger to execute wrath upon him that doeth evil.  James 1:27 Pure religion and undefiled before God and the Father is this To visit the fatherless and widows in their affliction and to keep himself unspotted from the world.  Mark 11:23 For verily I say unto you That whosoever shall say unto this mountain Be thou removed and be thou cast into the sea; and shall not doubt in his heart but shall believe that those things which he saith shall come to pass; he shall have whatsoever he saith.  Acts 5:29 Then Peter and the other apostles answered and said We ought to obey God rather than men.  Luke 10:25-37 And behold a certain lawyer stood up and tempted him saying Master what shall I do to inherit eternal life? [26] He said unto him What is written in the law? how readest thou? [27] And he answering said Thou shalt love the Lord thy God with all thy heart and with all thy soul and with all thy strength and with all thy mind; and thy neighbour as thyself. [28] And he said unto him Thou hast answered right: this do and thou shalt live. [29] But he willing to justify himself said unto Jesus And who is my neighbour? [30] And Jesus answering said A certain man went down from Jerusalem to Jericho and fell among thieves which stripped him of his raiment and wounded him and departed leaving him half dead. [31] And by chance there came down a certain priest that way: and when he saw him he passed by on the other side. [32] And likewise a Levite when he was at the place came and looked on him and passed by on the other side. [33] But a certain Samaritan as he journeyed came where he was: and when he saw him he had compassion on him [34] And went to him and bound up his wounds pouring in oil and wine and set him on his own beast and brought him to an inn and took care of him. [35] And on the morrow when he departed he took out two pence and gave them to the host and said unto him Take care of him; and whatsoever thou spendest more when I come again I will repay thee. [36] Which now of these three thinkest thou was neighbour unto him that fell among the thieves? [37] And he said He that shewed mercy on him. Then said Jesus unto him Go and do thou likewise.  Matthew 5:13-14 Ye are the salt of the earth: but if the salt have lost his savour wherewith shall it be salted? it is thenceforth good for nothing but to be cast out and to be trodden under foot of men. [14] Ye are the light of the world. A city that is set on an hill cannot be hid.  Matthew 25:45 Then shall he answer them saying Verily I say unto you Inasmuch as ye did it not to one of the least of these ye did it not to me.  Ephesians 5:11 And have no fellowship with the unfruitful works of darkness but rather reprove them.  2 Corinthians 10:6 And having in a readiness to revenge all disobedience when your obedience is fulfilled.  Matthew 7:12 Therefore all things whatsoever ye would that men should do to you do ye even so to them: for this is the law and the prophets.  1 John 3:16-18 Hereby perceive we the love of God because he laid down his life for us: and we ought to lay down our lives for the brethren. [17] But whoso hath this world's good and seeth his brother have need and shutteth up his bowels of compassion from him how dwelleth the love of God in him? [18] My little children let us not love in word neither in tongue; but in deed and in truth.  1 Corinthians 13:2 And though I have the gift of prophecy and understand all mysteries and all knowledge; and though I have all faith so that I could remove mountains and have not charity I am nothing.  Luke 4:18 The Spirit of the Lord is upon me because he hath anointed me to preach the gospel to the poor; he hath sent me to heal the brokenhearted to preach deliverance to the captives and recovering of sight to the blind to set at liberty them that are bruised  John 15:13 Greater love hath no man than this that a man lay down his life for his friends.  Joshua 24:15 And if it seem evil unto you to serve the LORD choose you this day whom ye will serve; whether the gods which your fathers served that were on the other side of the flood or the gods of the Amorites in whose land ye dwell: but as for me and my house we will serve the Lord.  ~The Lady at the Gate~,political,Facebook
BREAKING NEWS: Federal District Judge Lee Yeakel issued a second temporary restraining order (TRO) preventing enforcement of Gov. Greg Abbott's executive order to delay elective medical procedures and surgeries including abortion as a way to conserve medical supplies needed to treat COVID-19.  This TRO allows abortions only at certain abortion facilities who challenged the law -- Planned Parenthood (7 cities) Whole Woman's Health (3 cities) Southwestern (Dallas) and Austin Women's. The TRO permits them to perform RU-486 abortions and very late abortions.  Other abortion facilities in Texas must continue to delay all abortions.  Tune in for our Live Update with Attorney General at noon tomorrow to find out more.,political,Facebook
Texass radical abortion ban is now in effect. Planned Parenthood has been working nonstop to protect womens right to choose. Im so proud of Lauren Lasry & the Planned Parenthood of Wisconsin team for fighting every day for women across the US. We need leaders who will fight for women's autonomy over their own bodies.,political,Facebook
The Wedge  Im proudly a child of the 80s. The music was great fashion not so great and the Cold War was still present but a far cry from the Cuban Missile Crisis of the 1960s. We as a nation by and large recognized ourselves as part of an American family so to speak and the world as it were seemed safe. Whether you loved him or hated him The Reagan principle of Peace through Strength kept the world on as even of a keel as one could ask for. I played after school incessantly with my friends and we had a favorite game called War. The rules were simple as one might imagine each kid brought his biggest and best toy guns and we played for hours a breed of hide n seek only with weapons. To my knowledge none of my former playmates to this day have ever been involved in a mass shooting. Looking through the prism of history it was a glorious time where for once the old divisions did not seem to matter anymore. Minorities and women had ascended to some of the highest levels of leadership and industry and as a rule the term race and racism seemed to be remnants of a bygone era. Today there exist a wedge that has been driven like a wooden stake straight through the heart of this country. It has pitted us against each other in a way that I personally never thought we could develop into. It is though we have been separated and resegregated based on characteristics that run antithetical to everything the Civil Rights Movement stood for. What is the wedge exactly and more importantly how did we get here? To have an honest discussion about this topic we must all concede that leaders no matter what their stripes have the ability to be polarizing. I categorize two types of polarizing figures. There are those that are polarizing for the right reasons and those that divide for every reason that is wrong. For example Ben Shapiro in my opinion a polarizing figure for the right reasons. He makes honest fair assessments of situations in a time where for some reason this is looked upon as divisive hate speech even white supremacy which is remarkably interesting when you take into account that Ben Shapiro is an Orthodox Jew. Then you have the Linda Sarsars of the world whose rhetoric and speech are not only hateful but backed up in no way by fact or reason. As we all know Ben Shapiro should not be a polarizing figure but is because the time of real true free speech is over. Stereotypes as well have made a huge return only now the focus seems to be on mainly white America. If we are to have a true discussion we must be honest. Is there any other ethnicity in America today that is subjected to the level of sensitivity training and whatever else they can think of to somehow make white people feel bad about themselves? If that kind of action were perpetrated on any other ethnic group in this country it would be a return to slave days I guess Im not sure where you really go once youve played the Jim Crow Card. The leadership in Washington though divided by obvious ideological differences are all capable of injecting themselves into situations where it is not needed or make a bone headed statement that only serves to fan the flames of whatever the divide may be. In the years since the 80s and leading into the modern times the division has come at the hands of neo-progressives who seek to silence any opinion that might challenge their deeply held beliefs. Notice I did not say the left because quite frankly I grew up side by side with the left and the right but this new breed of ultra-left thinkers have somehow managed to find a way to completely dominate the narrative in this nation. Perhaps even worse though the ugly specter of racism has returned but it is a form of racism that is by and large imagined and always rooted in suppositions that just do not make any sense. The United States in many ways is comparable to a High School. Where there is an endless number of cliques each convinced of their superior thought and superior ideas. What has come to pass as a superior idea in contemporary society can be as simple as a completely reality detached statement made by someone paid millions of dollars to play a game. Nothing on its face seems to make much sense anymore. Its as though every positive statement about America has a but. We are a compassionate and generous nation but we are systemically racist internally. Millions of people from all over the world dream of making it to our shores but we are an extremely oppressive society especially with those that are different from us. Of course you receive the same chorus of statements that get more to the point. America is driven by white supremacy. America is and always has been about inequality. With the presence of such inane and blanket statements where does anyone find any common ground? When one makes a blanket statement about an entire race of people how do you approach that person and try to have a dialogue to try and better understand why it is they feel this way. With the actions of the past year getting a man on the street opinion might get you beat up. It is like we are all out to get each other but for what. Does Black America really believe that myself and millions just like me hate them and think that somehow they are less than in my eyes. It is a proposition that sounds absolutely ludicrous and yet I guarantee you could find quite a few people who believe that. How did people in America come to think such things politics plain and simple. In the days before the passage of the Civil Rights Act and the accompanying Civil Rights Movement black Americans especially those in the south found themselves not much better off than the days that they were in bondage. Back breaking work share cropping and making barely enough to keep your family fed. This time in American history is where we witnessed a mass migration to the cities of America in search of not only jobs but a hope to escape the segregation and subhuman treatment of the deep south. In the cities there were jobs to be had and money to be made for those that possessed the entrepreneurial spirit. It seemed like a perfect formula. The only problem was is that though black America thought that the north was this place where racism somehow did not exist or at least not as bad as what they had experienced outside the city. However they would find like in all big cities people are by and large neo-phobic. As a result they saw that even though they had made the move to the city the racism and discrimination still existed. The wages were there but were usually barely enough to keep a roof over your head and food on the table. Slowly but surely the inner cities of the US became harder and harder places to live as violence and crime began to run rampant. The poverty and despair that existed back then that still to this day causes so many to think that the only way out is to turn to fast money. Pity that fast money and crime are almost synonymous with each other. In the 1960s post JFK the POTUS was a rather vile racist Im not proud to say is from my home State of Texas. Lyndon Baines Johnson was one of those Presidents whose legacy is bathed in young Americans blood and rife with racist policies that have helped more than anything to mold society into what it is today. At the time minorities in the inner cities were certainly victims and at that time I think the idea of welfare as a means to get you on your feet was not such a bad policy. Almost from the start though folks were gaming and using the system so that they could stay home all day and do whatever they wanted so long as the check kept coming every month. My paternal Grandfather of whom I am proudly his namesake passed away in 1966 leaving my Grandma to take care of herself and four kids. Though no one in the world could think of a more deserving family in need of help my Grandma refused to go on welfare. She elected instead to take a job as a Secretary and worked for almost 50 years in that field. An old friend of my Grandpa built houses and let my Grandma finance through his company and though it was hard my Dad and his three siblings never wanted for anything. My Dad told me that sometimes it annoyed him that the people on welfare made more money than his family and never lifted a finger. Welfare was meant to be a temporary fix but as LBJ knew full well it was an elaborate ruse to turn the minorities of this nation into a dependent class of citizens. Is it any wonder that crime remained even metastasized in some cases and slowly but surely the fatherless rate began to increase? The biggest cause of father absence in my humble opinion is that through welfare women did not need a man if she did not want one. Her check would still come whether her babies Daddy hung around or not. This factor plus men shirking their responsibilities and the worst scourge of all abortion have all been the perfect mixture to make folks in inner cities not only dependent but reliable in that the politicians know so long as they keep dolling the people will keep voting. The Great Society veiled in all its promise to rid the country of poverty and make racial equality the forefront of LBJs agenda. In truth he once told a staffer that if he could get his legislation passed he would Have those ni##ers voting democrat for 200 years. It was all by design to keep minorities where he and many of his fellow Democrats exactly wanted them poor and dependent in the cities. Not empowerment to be able to have access to better jobs and a chance at the American dream but in essence to completely re-enslave the inner-city minorities of this nation. One need look no further than the aftermath of Hurricane Katrina to see still how dependent people are on the government. This is the systemic racism that people speak of. Though the media has done its part to fan the flames the politicians have constantly used incidents of crime to weaponize racism against their political foes. The unholy alliance between the media and the left has served to do nothing but bring this nation to a point that I am actually afraid. Post George Floyd which was an amazing opportunity for us to unite but was immediately politicized and the anarchy that followed may never be repaired. Every time I think that we have common ground someone or some group comes in and makes it about racism though the reasons get more and more insane by the day. So much so that AOC recently lectured all of us to remind us that even Climate change is to blame for racism. I keep waiting for Rod Serling to jump out and tell me what I am seeing is not real. So far to date I am still waiting. So what is the solution? I will not cop out and say your guess is as good as mine but in reality its pretty much the truth. I can remember the Black Power movement of my generation with Public Enemy and everyone having their Sista Soljah moment. After the election of a two-term black President I had thought that maybe we were back to a time where race was not the end all be all of human existence. I keep trying to think about legislation that has already been proposed yet every time I turn around our current President is reminding me that I am inherently racist. It is utterly amazing; he knows things about me that I dont even know myself. There must be common ground though. Somewhere out there something must exist that we can all as Americans be proud of and rally behind. I have seen so many great activists try to do that very thing and have had success doing it. People like Starr Parker and the great Candace Owens come to mind. I admire their ability to look critically at the real problems in America today no matter how vile the backlash may be. I do not want to sit at the table with ANTIFA or BLM for that matter. All they do is divide us at every possible turn. I genuinely believe that with grassroots organizing most especially with faith leaders is our only chance to affect a positive change on the Wedge that constantly is hammered to drive us all further and further apart. It pains me to go through social media these days and hear almost a hope for a civil war. I know I do not want that and I believe in my heart that most Americans do not either. I have always tried to teach my children to be color blind. My wife and I must be doing something right because almost without exception my kids best friends are minorities. I truly hope and pray that maybe one day we will again be the American family where everyones opinion is protected. Where we can come together to find solutions to the problems that we have because they are hard and require us all. Our leaders are supposed to be the ones that work to unite us the most. Politics is not a service done out of responsibility so much as opportunity. So long as that is what motivates the majority of legislators nothing will change. Let us not give up though. Just like I believe that we do not need the government intruding into our lives I do not want them intruding in our differences either. The best charity and the best help has always come from citizens acting on their own. We must share this land whether we like it or not is it truly too much to hope that we can share what brings us together. It can happen. We all can affect change in our own lives. We all make the world the way it is and as has been said through history a house divided cannot stand.  The Pamphleteer,political,Facebook
Zioness Statement on Women's March Inc.'s Removal of Zahra Billoo from its Leadership Committee  Zioness is fighting for an American feminist movement and a broader progressive movement that is inclusive of American Jews. Today is a victory in that fight.  After years of pain anger dialogue and action from American Jewish women and our allies expressing our grief over Womens March Incs apparent deeply engrained institutional antisemitism we were disheartened and outraged to see Zahra Billoo appointed to the organizations Leadership Committee. Zahra Billoo has repeatedly and viscerally attacked American Jews as Zionists andmost importantly for those who care about the integrity of the American feminist movementshe refuses dialogue and interfaith work with the Jewish community and has even attacked Muslim Americans who participate in it. This behavior is antithetical to the progressive movement especially intersectional solidarity-based activism which demands that we not leave any group behind.  While Ms. Billoo should never have been appointed we applaud the Womens March Inc. leadership for voting to remove her. After years of waffling and empty statements in response to the Jewish communitys attempts to communicate our pain and alienation this swift decisive action is welcomed. Action matters. While in many cases dialogue and evolution would be preferred to dismissal explicit unapologetic antisemitism must be met with consequences no matter where when or from whom it manifests.  We are proud of Jewish women for their resilience and refusal to give up or cede the feminist movement to outright bigotry. We are grateful to Womens March Incs leadership for doing what needed to be done. Antisemitism is the core organizing principle of white nationalism; until all progressive leaders recognize and actively combat this phenomenon all our marginalized communities will be less safe.  Zioness exists to unify and amplify the voice of the vast majority of American Jews especially women who identify overwhelmingly as both unabashedly progressive and unapologetically Zionist. When we stand up for all our values refuse to check any piece of our identities at the door and reject false choices we move forward with strength and purpose. While there will be many more challenges ahead today exemplifies what we can accomplish when we remain true to all of our authentic selves.  At a time when the fight for abortion rights is at a tipping point; LGBTQ women and especially transgender women of color are under attack; and accused rapists sit on the Supreme Court and sleep in the White House we need an indivisible effective feminist movement that can punch back and stand up for all women. It finally feels like were on our way there.  Zahra Billoo wrote last night that the Womens March is no longer the organization she was once proud of and that it had changed. We hope thatjust this onceshe is right.  #ZionessSpeaksForMe,political,Facebook
Our website's goal is to educate people on the local resources available for pregnant women people affected by the aftermath of abortion and survivors of abortion. We hope to show there are more options out there and help people find them and with thousands of resources listed we are confident that there is hope close to everybody. Please like and share what we're doing to share the healthy alternatives. To share the real hope.  End abortion by removing the fear and problems leading women to abortions? It's ambitious we know. But it can save lives with your help. Share the hope.,political,Facebook
"Revival comes when we turn away from our wickedness and repent and pray and seek God's face then He will hear and forgive and heal this nation this state this city. So many sins and so little time for the day of our Lord's return is drawing nearer. Within the past thirty-five years or so we have seen the separation of church and state legalization of abortion removal of the Ten Commandments from our schools and Government buildings and the legalization of same-sex marriage! Oh what an abomination these are to our Heavenly Father! How He must be grieving at this very moment for His lost children! When Christ returns where will you be? A famous philospher once said ""The only thing necessary for the triumph of evil is for good men to do nothing."" Which way are we going America? Which way are you as a Christian going? Will you help to create a revival in America? Will be willing to pray for our nation? To stand up and be counted? Lift up your voices and take a stand for righteousness! Pray for a great spiritual awakening throughout this nation and for people's hearts to turn back to God. The choice is up to you-God's Way or the world's way! Would you like to discuss the end times in the Book of Revelations and in the Gospels and feel better because of what it is saying to us as Christians? While we wait for the return of the Christ? If you have some questions about the end times...If you have concerns about what will happen to you...If you like to look to the end times as a source of comfort and not chaos we need to prepare our hearts and minds as to Jesus' return His return will be the ""beginning of the very best"". Our primary task is to be prepared and peaceful while we wait for His return. Jesus urges us ""Don't let your hearts be troubled. Trust in God and trust in me"". John 14:1 Have a great Labor Day Weekend and let me know your thoughts on this study.",political,Facebook
For those of you seeing the ads Tess Judge is the Socialist-Communist Democrat candidate running against Conservative Republican Senator Bob Steinburg.  Tess Judge will vote to Defund the Police Ban Confiscate and Destroy our Guns Raise our Taxes and turn North Carolina into California.  Judge endorses abortion up to and including the moment of birth funded with our tax dollars.  Judge believes biological men should be allowed to compete with women in contact sports.  And Judge wants to repeal North Carolina's Right to Work Law.  Whatever kooky idea some crazy liberal has thought up you can count on one thing...  TESS JUDGE WILL VOTE FOR IT.  Don't Let Her Win.  Reelect Senator Bob Steinburg Representative Bobby Hanig and the every other Republican from President Trump to the Courts to School Board.,political,Facebook
Dear Trump 2020 voters:  Im an American just like you. Im concerned about our country just like you.  Im a Lifelong Republican just like many of you. I have voted Republican for President most elections just like many of you.  Im a Protestant Christian believer just like many of you. I also have Catholic Jewish Mormon Muslim and non-believer family and friends. I believe we are all welcome in America.  Im opposed to abortion just like many of you. I believe in exceptions for rape incest health of the mother and inability of the fetus to survive outside the womb. I believe better than legislation good health care including free birth control is the key to reduced abortions. Free birth control is part of the current Federal Law for inclusion in all Health Insurance. Protection for Pre-Existing Conditions is also part of the current Federal Law for inclusion in all Health Insurance. I believe the current administration should stop trying to take that Federal Law away from all of us.  Im the descendant of immigrants just like many of you. I have friends that are First Generation Immigrants just like many of you have. I have family members and friends that are descendants of African Slaves just like many of you. I have family members that are part Native American just like many of you.  Im concerned about the poor reputation of our country in the world just like many of you.  Im a supporter of the U.S. military just like you. I have many veterans and active duty military in my family just like you. I support good Veterans care just like you. I respect our All-Volunteer Military just like you. I respect our Drafted Veterans that served just like you.  Im a straight married guy just like many of you. Unlike some of you I have a lesbian family member. I love her so dearly I performed her wedding ceremony to her wife a few years ago. They are like second daughters to me I love them so much. I support LGBT rights.  Im a White guy just like many of you. Like many of of you I worry about the safety of my family. I worry about the safety of my extended family. I worry about the safety of my friends families. Unlike some of you I have an African-American niece and two beautiful African-American grandnieces. I worry about their safety as they grow up. Unlike me as a White man to be safe they have to be extra careful in America wherever they go.  I support the majority of those serving as our police just like you. Because I support the police I want them to operate to protect all Americans including my African-American Niece and her African-American daughters. Because for years now African-Americans are being shot and killed by police at two and a half (2.5) times the rate of Whites like me my nephew and niece have to teach their African-American daughters extra safety measures. As they grow older unless we change policing they will be in danger of being shot and killed by police for being American while Black.  I support the peaceful Black Lives Matters demonstrators fighting for changes in policing.  Im on Social Security just like many of you. Im concerned about the security of the Social Security Trust Fund just like many of you.  Im very concerned about our National Debt just like many of you. In fact one of the times I didnt vote Republican I voted for Ross Perot in 1992 like many of you because I was so concerned about the National Debt. I was very concerned about the 2017 Tax Cut because it did not turn out as promised. The Individual Tax Cut was limited small Temporary and only 15% of the total. The Corporate Tax Cut was huge Permanent and more than half of it was immorally used by Large Corporations just to buy back their own stocks; not as we were promised for new investments or improved workers wages and benefits. Worse It did not pay for itself as promised. Its adding $1.5 to $2 Trillion to our already bloated National Debt.  Im concerned about medical costs just like many of you. Im on Medicare just like many of you. Im worried about Medicare funding just like many of you.  Im concerned about Covid19 just like many of you. Im an older person at higher risk just like many of you. Im concerned because I have pre-existing conditions making me more susceptible to Covid19 just like many of you. Im concerned about this Global Pandemic that has already killed 188942 Americans and 889364 people worldwide just like many of you.  As I said at the beginning I am a Lifelong Republican just like many of you. Since 1972 I have usually voted Republican for President just like many of you.  I have decided this year to Vote Democrat for President as many other Lifelong Republicans are doing.  I would ask you to consider joining me and voting for Joe Biden and Kamala Harris. I believe they will lead us better than the current administration. Thank you for your consideration. Chuck Eddy Lexington KY  #RegisterToVote GoVoteKy . Com,political,Facebook
Celebrate  Today the U.S. House of Representatives passed the Equality Act which would prohibit discrimination based on sexual orientation or gender identity.  Also today Taiwan became the first country in Asia to legalize same-sex marriage.  Yes I know America is on the edge of war with Iran and several states have jumped on an anti-abortion crazy train. But I insist on taking a moment to revel in today's fabulous developments.  In the Trump years good LGBT news has been as hard to find as Lindsey Graham's spine.,political,Facebook
