AdText,Category,Platform
Independence Day- 4th of July We are all hearing a lot of heartbreaking rhetoric of people concerned about celebrations of our Patriotism being diminshed. The appearance is being held as some type of blatant challenge to our free republic and our democratic rights as a nation of the most diverse and inclusive nation on Earth. Yes it came with a vision struggles challenges and took tenacity of every soul to get to where we are. Patriotic reflections such as: The Pledge of Allegiance One Nation Under God The Star Spangled Banner Saluting (hand over heart) for the Pledge of Allegiance flying the most beautiful flag of the United States dimishing Law Enforcement and our Brave Military and so much more are questioned. Attempts to shun our patriotic heritage is crying loudly for the people of this great country to be silenced. STAND UP AMERICA SPEAK UP AMERICA. Celebrate OUT LOUD this great country. NO ONE CAN SILENCE YOU BUT YOU! Drown out the soothsayers of the cra cra groups by being a beacon of the Light of America. Live it Love it Celebrate it. Happy 4th of July! Independence Day of all of its people!,political,Facebook
This is the thinking and the worries of a 14 years old boy that loves his country. My son Daniel Nez.  4th of July speech -  My fellow Americans today marks the 244th anniversary of our independence from Great Britain. We declared independence from an oppressive monarchy that violated and infringed on our rights two hundred forty-four years ago. Brave individuals that dared to stand up to the most significant military power in the world. They were uncertain if they could win that fight but they stood up in defiance and courage and their faith in their sleeves. They won that fight and thanks to their efforts we are celebrating this Independence Day. In these 244 years we have faced and accomplished much. We have continued our stride to become a more perfect union. We have faced challenges small and large but in all of these challenges we have met them with the same American resolve that won us our independence. In these 244 years we have seen countless wars. A civil war two world wars and a Cold War. These wars testing if our union could survive making us question if the American experiment could go on to see another day. We have passed each test we have risen to the moment each time with honor and courage and we have come out a better union. Today on Independence Day we celebrate our triumphs and our losses. But we also think about the threats facing us today. Threats both internal and external.A danger that seeks to topple our democracy and the west. A danger that indoctrinates our children with un-American ideals and that wishes to separate us based on physical qualities. These threats believe that the American fire that guided us through these 244 years has been extinguished. Threats that believe that America's best days are behind it and that America faces imminent collapse. I wholly and utterly reject these claims. I believe that our best days are ahead of us and I believe that we can topple these enemies. So on this day I ask you to put aside your differences and remember what we all have in common; we are all Americans. We all believe in a common goal the goal of preserving our union. I ask you today to reach out to your family your neighbor and friends and celebrate this day and this country. Engage in civil conversation and remember we are all Americans Thank-you and God bless the United States. Daniel Nez. A 14 years old boy.,political,Facebook
"Hello everyone!! First I would just like to thank everyone who has liked this page. In the last 28 days 62 people have hit the ""like"" button bringing the total to over 300 likes. I'm not sure what's driving this (I hope it means people are also buying the book ) but I'm glad to see it. And now I'm closer to finishing the manuscript for the ""sequel"" Pittsburgh's Colorful Characters. I know I have ""teased"" some of the people that will be in the book in earlier posts but now it's time to reveal all 25 profilees. Here they are in alphabetical order:  JOE BARKER: The Accidental Mayor ANN BUCKALEW: Ringside Rosie BILL CARDILLE: Chilly Billy GEORGE 'PORKY' CHEDWICK: Daddio of the Raddio VIC CIANCA: The Dancing Cop MYRON COPE: The Terrible Towel Man REGE CORDIC: The Ultimate Drive-Time DJ FR. JOHN COX: The Labor Priest DOCK ELLIS: The LSD Made Me Do It JOHN ""FRENCHY"" FUQUA: Sartorial Splendor DANTE ""TEX"" GILL: Transgendered Crook RANDY GILSON: President of Randyland GUS KALARIS: The Ice Ball Man ROBERT LANSBERRY: Who DID Have His Mail? MIKE LANGE: ""Scratch My Back with a Hacksaw"" SOPHIE MASLOFF: The ""Fussy Grandmother"" Mayor MADALYN MURRAY O'HAIR: The Atheist BOB PRINCE: ""We Had 'Em All The Way"" RICK SEBAK: The City's Historian KATE SOFFEL: What She Did For Love EDGAR SNYDER: ""We're Going To Make You A Brand"" TIGER PAUL AND MOSSIE MURPHY: The College Cheerleaders DR. CYRIL WECHT: America's Coroner CURT WOOTTON: ""Pittsburgh Dad""  Although this list is set I still welcome your comments. After all comments about my list for Iconic Pittsburgh were the catalyst for Colorful Characters. And if you personally know or knew any of these people and want to share your thoughts leave my a note here and I may just contact you.  Have a great weekend!",political,Facebook
Decline of Judeo-Christian America is  the fault of our religious leaders  This title may sound strange misleading or even insulting but that is not so. To understand this title we have to understand the difference between the intellectual and dogmatic faiths in both Judaism and Christianity.  Let me describe it in regard to Judaism where my spiritual roots are and I am sure something similar could be found in Christianity.  Intellectual Faith  The Intellectual Faith is rooted in the Torah (Old Testament) itself.  The ancient tribes found (or created) their own gods who delivered the requested outcome in exchange for gifts.  At the same ancient times one of the tribes the future Jewish Nation found (or created for those who despise the word God) the God of Morality  the Morality of the Ten Commandments and Individual Freedoms in the image and likeness of God.  The guidance of this God was simple although not easy to understand: continue My Creative Work along the line of My Morality.  And for the next over millennium timeline the Jewish Nation was learning (with multiple errors) how to do it. The entire Torah (Old Testament) describes this learning process.  Something new happened two millenniums ago that led to the birth of Dogmatic Faith.  Dogmatic faith  What happened was the Great Jewish Exile! The Jews were expelled from the Promised Land by the Romans  expelled to many foreign lands where the danger of forced assimilation and abandoning the life by the Gods morality was real.  And the Jewish religious leaders (about two hundred rabbis over about two centuries) created the Talmud  the well-known 613 rabbinical commandments the dogmatic Jewish Faith intended to secure the survival of the Chosen People until the better times (the coming of Messiah?).  The better times began coming about three centuries ago with the liberation from the Royal/Clerical despotism in Europe and the USA. That was the time for the Jewish religious leaders to begin the revival of the Jewish Intellectual faith as the Chosen people  for both the Jews and the Christians in spite of the mighty antisemitism. Unfortunately that was not happened and that paved the way for the new forces of division and suppression  the forces of various shapes of Marxist Faith (analyzed in detail in this Blog).  Where we are now and what to do  In America the national Judeo-Christian Intellectual faith is being replaced by an American version of the totalitarian Marxist faith. And the only way to stop it is the return of American religious leaders to the Intellectual Faith and mobilization of their followers for the actions in public arena.  The victory of Conservatives over Liberals may help but not resolve the core issue because Conservatism is trying to preserve everything as it is while the Intellectual Faith guides to continue the Gods creative work that means the Change.  The victory of Republican Party over Democratic Party may help but not resolve the same core issue because a political party in power is legislating with the purpose of preserving its political might  not for restoring and preserving the power of Gods morality.  The victory of fighters for religious freedoms may help but resolve the same core issue because they are fighting for the freedom of worship  not for the freedom to lead the public in the fight for restoring and preserving the power of Gods morality in the government.  The only way to restoring and preserving the Judeo-Christian America is to create a voting majority spiritually fit to elect the government spiritually capable to govern along the lines of Intellectual Faith that is along the lines of the Ten Commandments and Individual Freedoms.  From the news-media  In his first speech to the United Nations General Assembly Israeli Prime Minister Naftali Bennett pleaded to see Israel not as forever entrenched in warfare but as a contributing member of the international community. Israel Bennett said at the outset is a beacon of democracy diverse by design innovative by nature and eager to contribute to the world. For way too long Israel was defined by wars with our neighbors Bennett said. But this is not what Israel is about. This is not what the people of Israel are about.,political,Facebook
The Wedge  Im proudly a child of the 80s. The music was great fashion not so great and the Cold War was still present but a far cry from the Cuban Missile Crisis of the 1960s. We as a nation by and large recognized ourselves as part of an American family so to speak and the world as it were seemed safe. Whether you loved him or hated him The Reagan principle of Peace through Strength kept the world on as even of a keel as one could ask for. I played after school incessantly with my friends and we had a favorite game called War. The rules were simple as one might imagine each kid brought his biggest and best toy guns and we played for hours a breed of hide n seek only with weapons. To my knowledge none of my former playmates to this day have ever been involved in a mass shooting. Looking through the prism of history it was a glorious time where for once the old divisions did not seem to matter anymore. Minorities and women had ascended to some of the highest levels of leadership and industry and as a rule the term race and racism seemed to be remnants of a bygone era. Today there exist a wedge that has been driven like a wooden stake straight through the heart of this country. It has pitted us against each other in a way that I personally never thought we could develop into. It is though we have been separated and resegregated based on characteristics that run antithetical to everything the Civil Rights Movement stood for. What is the wedge exactly and more importantly how did we get here? To have an honest discussion about this topic we must all concede that leaders no matter what their stripes have the ability to be polarizing. I categorize two types of polarizing figures. There are those that are polarizing for the right reasons and those that divide for every reason that is wrong. For example Ben Shapiro in my opinion a polarizing figure for the right reasons. He makes honest fair assessments of situations in a time where for some reason this is looked upon as divisive hate speech even white supremacy which is remarkably interesting when you take into account that Ben Shapiro is an Orthodox Jew. Then you have the Linda Sarsars of the world whose rhetoric and speech are not only hateful but backed up in no way by fact or reason. As we all know Ben Shapiro should not be a polarizing figure but is because the time of real true free speech is over. Stereotypes as well have made a huge return only now the focus seems to be on mainly white America. If we are to have a true discussion we must be honest. Is there any other ethnicity in America today that is subjected to the level of sensitivity training and whatever else they can think of to somehow make white people feel bad about themselves? If that kind of action were perpetrated on any other ethnic group in this country it would be a return to slave days I guess Im not sure where you really go once youve played the Jim Crow Card. The leadership in Washington though divided by obvious ideological differences are all capable of injecting themselves into situations where it is not needed or make a bone headed statement that only serves to fan the flames of whatever the divide may be. In the years since the 80s and leading into the modern times the division has come at the hands of neo-progressives who seek to silence any opinion that might challenge their deeply held beliefs. Notice I did not say the left because quite frankly I grew up side by side with the left and the right but this new breed of ultra-left thinkers have somehow managed to find a way to completely dominate the narrative in this nation. Perhaps even worse though the ugly specter of racism has returned but it is a form of racism that is by and large imagined and always rooted in suppositions that just do not make any sense. The United States in many ways is comparable to a High School. Where there is an endless number of cliques each convinced of their superior thought and superior ideas. What has come to pass as a superior idea in contemporary society can be as simple as a completely reality detached statement made by someone paid millions of dollars to play a game. Nothing on its face seems to make much sense anymore. Its as though every positive statement about America has a but. We are a compassionate and generous nation but we are systemically racist internally. Millions of people from all over the world dream of making it to our shores but we are an extremely oppressive society especially with those that are different from us. Of course you receive the same chorus of statements that get more to the point. America is driven by white supremacy. America is and always has been about inequality. With the presence of such inane and blanket statements where does anyone find any common ground? When one makes a blanket statement about an entire race of people how do you approach that person and try to have a dialogue to try and better understand why it is they feel this way. With the actions of the past year getting a man on the street opinion might get you beat up. It is like we are all out to get each other but for what. Does Black America really believe that myself and millions just like me hate them and think that somehow they are less than in my eyes. It is a proposition that sounds absolutely ludicrous and yet I guarantee you could find quite a few people who believe that. How did people in America come to think such things politics plain and simple. In the days before the passage of the Civil Rights Act and the accompanying Civil Rights Movement black Americans especially those in the south found themselves not much better off than the days that they were in bondage. Back breaking work share cropping and making barely enough to keep your family fed. This time in American history is where we witnessed a mass migration to the cities of America in search of not only jobs but a hope to escape the segregation and subhuman treatment of the deep south. In the cities there were jobs to be had and money to be made for those that possessed the entrepreneurial spirit. It seemed like a perfect formula. The only problem was is that though black America thought that the north was this place where racism somehow did not exist or at least not as bad as what they had experienced outside the city. However they would find like in all big cities people are by and large neo-phobic. As a result they saw that even though they had made the move to the city the racism and discrimination still existed. The wages were there but were usually barely enough to keep a roof over your head and food on the table. Slowly but surely the inner cities of the US became harder and harder places to live as violence and crime began to run rampant. The poverty and despair that existed back then that still to this day causes so many to think that the only way out is to turn to fast money. Pity that fast money and crime are almost synonymous with each other. In the 1960s post JFK the POTUS was a rather vile racist Im not proud to say is from my home State of Texas. Lyndon Baines Johnson was one of those Presidents whose legacy is bathed in young Americans blood and rife with racist policies that have helped more than anything to mold society into what it is today. At the time minorities in the inner cities were certainly victims and at that time I think the idea of welfare as a means to get you on your feet was not such a bad policy. Almost from the start though folks were gaming and using the system so that they could stay home all day and do whatever they wanted so long as the check kept coming every month. My paternal Grandfather of whom I am proudly his namesake passed away in 1966 leaving my Grandma to take care of herself and four kids. Though no one in the world could think of a more deserving family in need of help my Grandma refused to go on welfare. She elected instead to take a job as a Secretary and worked for almost 50 years in that field. An old friend of my Grandpa built houses and let my Grandma finance through his company and though it was hard my Dad and his three siblings never wanted for anything. My Dad told me that sometimes it annoyed him that the people on welfare made more money than his family and never lifted a finger. Welfare was meant to be a temporary fix but as LBJ knew full well it was an elaborate ruse to turn the minorities of this nation into a dependent class of citizens. Is it any wonder that crime remained even metastasized in some cases and slowly but surely the fatherless rate began to increase? The biggest cause of father absence in my humble opinion is that through welfare women did not need a man if she did not want one. Her check would still come whether her babies Daddy hung around or not. This factor plus men shirking their responsibilities and the worst scourge of all abortion have all been the perfect mixture to make folks in inner cities not only dependent but reliable in that the politicians know so long as they keep dolling the people will keep voting. The Great Society veiled in all its promise to rid the country of poverty and make racial equality the forefront of LBJs agenda. In truth he once told a staffer that if he could get his legislation passed he would Have those ni##ers voting democrat for 200 years. It was all by design to keep minorities where he and many of his fellow Democrats exactly wanted them poor and dependent in the cities. Not empowerment to be able to have access to better jobs and a chance at the American dream but in essence to completely re-enslave the inner-city minorities of this nation. One need look no further than the aftermath of Hurricane Katrina to see still how dependent people are on the government. This is the systemic racism that people speak of. Though the media has done its part to fan the flames the politicians have constantly used incidents of crime to weaponize racism against their political foes. The unholy alliance between the media and the left has served to do nothing but bring this nation to a point that I am actually afraid. Post George Floyd which was an amazing opportunity for us to unite but was immediately politicized and the anarchy that followed may never be repaired. Every time I think that we have common ground someone or some group comes in and makes it about racism though the reasons get more and more insane by the day. So much so that AOC recently lectured all of us to remind us that even Climate change is to blame for racism. I keep waiting for Rod Serling to jump out and tell me what I am seeing is not real. So far to date I am still waiting. So what is the solution? I will not cop out and say your guess is as good as mine but in reality its pretty much the truth. I can remember the Black Power movement of my generation with Public Enemy and everyone having their Sista Soljah moment. After the election of a two-term black President I had thought that maybe we were back to a time where race was not the end all be all of human existence. I keep trying to think about legislation that has already been proposed yet every time I turn around our current President is reminding me that I am inherently racist. It is utterly amazing; he knows things about me that I dont even know myself. There must be common ground though. Somewhere out there something must exist that we can all as Americans be proud of and rally behind. I have seen so many great activists try to do that very thing and have had success doing it. People like Starr Parker and the great Candace Owens come to mind. I admire their ability to look critically at the real problems in America today no matter how vile the backlash may be. I do not want to sit at the table with ANTIFA or BLM for that matter. All they do is divide us at every possible turn. I genuinely believe that with grassroots organizing most especially with faith leaders is our only chance to affect a positive change on the Wedge that constantly is hammered to drive us all further and further apart. It pains me to go through social media these days and hear almost a hope for a civil war. I know I do not want that and I believe in my heart that most Americans do not either. I have always tried to teach my children to be color blind. My wife and I must be doing something right because almost without exception my kids best friends are minorities. I truly hope and pray that maybe one day we will again be the American family where everyones opinion is protected. Where we can come together to find solutions to the problems that we have because they are hard and require us all. Our leaders are supposed to be the ones that work to unite us the most. Politics is not a service done out of responsibility so much as opportunity. So long as that is what motivates the majority of legislators nothing will change. Let us not give up though. Just like I believe that we do not need the government intruding into our lives I do not want them intruding in our differences either. The best charity and the best help has always come from citizens acting on their own. We must share this land whether we like it or not is it truly too much to hope that we can share what brings us together. It can happen. We all can affect change in our own lives. We all make the world the way it is and as has been said through history a house divided cannot stand.  The Pamphleteer,political,Facebook
The Rick Hall Law Firm is closed today in honor of our fallen service men and women who sacrificed their lives for our freedom. May you all have a blessed Memorial Day. God bless America the beautiful!,political,Facebook
"Revival comes when we turn away from our wickedness and repent and pray and seek God's face then He will hear and forgive and heal this nation this state this city. So many sins and so little time for the day of our Lord's return is drawing nearer. Within the past thirty-five years or so we have seen the separation of church and state legalization of abortion removal of the Ten Commandments from our schools and Government buildings and the legalization of same-sex marriage! Oh what an abomination these are to our Heavenly Father! How He must be grieving at this very moment for His lost children! When Christ returns where will you be? A famous philospher once said ""The only thing necessary for the triumph of evil is for good men to do nothing."" Which way are we going America? Which way are you as a Christian going? Will you help to create a revival in America? Will be willing to pray for our nation? To stand up and be counted? Lift up your voices and take a stand for righteousness! Pray for a great spiritual awakening throughout this nation and for people's hearts to turn back to God. The choice is up to you-God's Way or the world's way! Would you like to discuss the end times in the Book of Revelations and in the Gospels and feel better because of what it is saying to us as Christians? While we wait for the return of the Christ? If you have some questions about the end times...If you have concerns about what will happen to you...If you like to look to the end times as a source of comfort and not chaos we need to prepare our hearts and minds as to Jesus' return His return will be the ""beginning of the very best"". Our primary task is to be prepared and peaceful while we wait for His return. Jesus urges us ""Don't let your hearts be troubled. Trust in God and trust in me"". John 14:1 Have a great Labor Day Weekend and let me know your thoughts on this study.",political,Facebook
Wishing you all a happy Independence Day! Were still the land of the free and the home of the brave. God Bless America!,political,Facebook
Joe Biden has violated his duty as president! 1) The courts ruled the rent moratorium is unconstitutional he tried to over ride the court and issue one anyway and then said by the time it gets challenged we will get a little more time instead of upholding the Constitution he his deliberately going against it 2) he swore to protect and serve the American people He has done nothing to close our border! If he is still in office when I get elected my first order of business willl be to impeach him and everyone else that subverts the Constitution. America First!,political,Facebook
Publicizing US Supreme Court Ruling in 1866 that pertains to WI Supreme Court WI DOJ WI DCI WI AG and WI law enforcement personnel and WI government attorneys and politicians:  Now rest assured they all feel safe in disobeying this ruling and the US Constitution WI Constitution and Government Criminal Statute(s) because they are confident the government protects them from disobeying the Constitutions law and DOJ!  The WI Supreme Court WI DOJ WI DCI WI AG are just as dishonest as every democrat and republican because they Reject the Constitution. Their office was contacted and they all refused to speak to me. Here is confirmation that they should be impeached just as every other democrat and republican should be impeached! Here it is:  Supreme Court ruling in 1866  Neither the legislator not any executive or judicial officer may disregard the provisions of the Constitution in case of emergency or any other reason.  Section 98 therefore anyone who declares the suspension of Constitutionally guaranteed rights and or attempts to enforce such suspension within 50 independent sovereign continental United States of America is making war against our Constitution and therefore we the people. They violate their Constitutional oath and thus immediately forfeit their office and authority and their proclamations may be disregarded with impunity and that means anyone; even the Governor or President.  That is why THEY support the government breaking the Constitution and stealing $500000 which with interest has now exceeded $1500000!  Here are the names of many of them that are disobeying the Constitution: Patience Roggensack Shirley Abrahamson Ann W Bradley Annette Ziegler Rebecca Bradley Daniel Kelly Rebecca Dallet Brian Hagedorn and Jill Karofsky (WI Supreme Court): Pete Thelen Jeff Wisch Brian OKeefe and Michael Sasse (WI DCI): Josh Kaul + previous one (AG): Eric Wilson Nate Zolik Chris McKinney (DOJ): and every democrat and republican within the state legislation and within the federal legislation for this state that BREAKS the Constitution.,political,Facebook
