AdText,Category,Platform
If you put all the pieces together here's what you get. The DNC rigs the Democratic Primary Election against Bernie Sanders so Hilliary can win the nomination. Obama's administration starts to request surveillance on Trump his family his transition team and anyone associated with him. Donna Brazil gives Hilliary the questions to a debate. The DNC pays Christopher Steele to come up with a smear dossier about Trump. The mainstream media releases a taped conversation about Trump talking about grabbing women parts. After all this Trump still wins the General Election. Obama orders an investigation into Russia meddling in our elections. Obama changes Executive Order 12333 to allow more agencies to have access to surveillance data. The Democratic Party comes up with a scandal that Trump Colluded with Russia to win the election with no evidence or proof. This wild claim is backed up by the mainstream media. Obama hold overs start unmasking Trump's transition team and staff members then release the classified information to the mainstream media. Why? Because the DNC and the Obama administration colluded with the intelligence community to thwart Trump's campaign efforts to get him elected president. All this Russia collusion is an attempt to cover up the fact that the Obama administration the intelligence community the DNC along with the mainstream media used our nations surveillance as a political tool to try to get Hilliary elected President. This makes Watergate look like a kindergarten play. Let that sink in.......,political,Facebook
Shop now,political,Facebook
"Something interesting that Bernie Sanders and Donald Trump have in common:  They both have shared their belief in single-payer healthcare!  ""I would put forth a comprehensive health care program and fund it with an increase in corporate taxes"" Donald Trump (in an interview by ""The Advocate"" in 2000)  That sounds good to me too.  Source:  See where I stand:",political,Facebook
Guys just wanted to get this out there before the 2020 stuff takes off and I start making fun of him again - Bernie Sanders is trash garbage,political,Facebook
WWW.THENATION.COM Goyal: Bernie Sanders Has the Most Progressive Education Platform in American History Learn More,political,Facebook
This week Bernie Sanders said that terrorists and rapists should be allowed to vote in our elections. The left thinks the prisoners should be choosing our presidents.  Jim Hood is with them. Last week he admitted his support for letting felons vote. He said that I think that the votes are there to actually restore peoples right to vote. He called it important. He told his supporters: Those of you who know somebody that has been charged with a felony encourage them to go register.  What do you think? Should terrorists be able to vote? And do you agree with Jim Hoods effort to register more felons and restore their voting rights?,political,Facebook
Fidel Castro was an enemy of John F. Kennedy. There are many who believe Castro had a hand in JFKs assassination and even if he didn't he had a plan for it you can be sure. JFK invaded Cuba to try to remove Castro. And Bernie Sanders has the audacity to stand up and defend the good that Castro did. Bernie its disgusting get off the stage.,political,Facebook
A Split Democratic Party and a Quiet Plea  Division within the Democratic party is at an all time high. Those under the age of 45 have a drastically different set of core values and aspirations than those over 45. The age split on votes in every state shows a clear difference in their preferred candidate.  The older Democrats desperately want to focus on Beating Trump and are trying to push Biden forward as the presidential nominee. They view him as a sure ticket due to the popularity of the previous administration and the unpopularity of the current one.  The younger generations want to use this tumultuous and inept presidency as an opportunity to nominate the only candidate promising radical change- Bernie Sanders. They are drawn to his honesty consistency and fearless nature. They view him as a refreshing change of pace from the calculated and propped-up existence that typically characterizes politicians in the US.  Where we agree:  The Trump presidency is criminal and a problem for America no matter how you package it. You can cherry-pick positives if you want but it doesnt change that fact.  We need to restore dignity to our Nation and implement positive change.  Older Generation truths that the youth do not agree with:  Trump and his administration are the cause of this hardship  Much of the youth believe that the entire modern political system is to be blamed. Money in politics has buried the voice of a vast majority. Neither side has done a great job of representing the interests of your average person. This is likely a contributing factor to the perpetuation of the youth dont vote adage and reality. If you do not believe your government is capable of doing anything for you you dont find reason to vote. Dont let them fall further into this sense of powerlessness.  The totality of a mans career is of little importance relative to what he will do or is capable of doing  The young dont have the luxury of ignoring red flags in a politicians career. Im sure Biden today is a much more kind empathetic and honorable man than he was when he was advocating for cuts of social programs. I would bet everything in my bank account that he is. Even still knowing that he has done so undermines much of the trust one could have that he will truly fight for the least among us. Bernies record enables a level of trust that isnt possible with Biden.  The common argument against Bernie lies in his capacity to get things done. This line of thinking falls apart with one glance at Trump. If a man who had little/no experience in politics and limited critical thinking skills could force through sweeping legislature at the rate he does: why couldnt Bernie do something similar with the ideals of the 99% being his guiding principles? Sure he wasnt a wizard in the Senate- but thats the Senate. Gridlock is its natural state. Legislation that doesnt result in a payday for monetary interests rarely sees any traction. A president however doesnt have to be a middle of the aisle type guy to be effective: in fact it can be argued that being that guy only leads to watered down half-measures that accomplish very little of what it originally sought to.  Biden is more electable than Bernie Bernie could never win etc.  The number of voters over 45 turning out for the primary is impressive. I am glad you are all exercising your rights as you always have. You understand the importance of making your voice heard with action. This should not however give you the power to (once again) ignore the cries of those who need radical change to simply live. Medical debt student debt climate crisis. We are chained in every aspect of our lives and cannot live. America is supposed to be a land of freedom yet the youth are screaming: We are not free.  Biden is not Obama. Obama was the automatic win due to the overwhelming black vote (of all ages and demographics). The only way it was even close with Obama was in the primary (and here we are again). Democrats almost stopped Obama more than anyone else. This time you are attempting to nominate a candidate with a core voting-base that shares a lot of demographic crossover with Trump. Its not the same game.  A plea from me a painfully average member of the 99%:  Consider Bernie as the candidate to unite behind.  I know it can feel like you dont need to listen to the loud and angry/sad/rude people on the internet (or in person) telling you how bad things are and all of the things they need. Things you may not have been given in your youth. Especially when it feels like they dont vote and arent helping you win an election. No one likes losing. This last election cycle has made us especially afraid of losing. But theres more at stake here than just a presidency: for the youth its our entire outlook and hopes for life and our government. We are loud every chance we get because its the only way we feel our voice will be heard. We are scared. We want to be able to ask for more from the people that are supposed to represent our desires as citizens. We want to be proud to be Americans not because of vague nostalgia (MAGA) but because of what we can create together in the modern era. We need radical change and together we can get it done. When you have someone who is truly fighting for the 99% like Bernie is he will get things done and he will win the general. Trust in inspire and lift up your fellow man rather than try to entice the republican base with compromise. Biden will retain some of the youth and may even win the general but you will kneecap the party going forward.  Please...listen to the youth. Give us a voice in this primary and we will be the frontlines of the movement to secure this general because you listened and heard us. Downplay and ignore our concerns and we return to our rooms- focusing on getting that next paycheck to make sure were okay come next week. If were in this together behind Bernie we will not lose. Please stand with the youth and cast your vote for Bernie.  Thank you for reading this. It means a lot more to me than I could ever really communicate. I wish you and your family the best in these difficult times. Stay safe happy and healthy if at all possible. Were in this together.  Thank you again.  Sincerely James Ray Williams Jr. (jmztoday@gmail.com),political,Facebook
"SPOKE BEFORE THE DAVIDSON COUNTY MEN'S CLUB IN LEXINGTON AND WOULD WELCOME THE OPPORTUNITY TO SPEAK BEFORE YOUR GROUP  Today (Saturday March 7) I had the opportunity to speak before the Davidson County Republican Men's Club in Lexington North Carolina. I spoke about Socialism's advances in America. It's alarming - very alarming.  Dr. Paul Kengor an author and professor of political science at Grove City College in Pennsylvania someone who has written often about Socialism and Communism says: ""Socialism is in Marxist theory the final transitory step to Communism."" He's right.  I don't intend to take it up at length here but let me just say I think most conservatives and patriots don't expect Bernie Sanders to become the next President of the United States. But the fact that a Democratic Socialist (which is essentially no different a title than the way Vladimir Lenin referred to himself in the early years of the Communist Party) can become a prominent contender for the Presidency not once but twice should have us shaking in our boots.  THE THREAT TO LIBERTY IS MORE URGENT THAN MOST PEOPLE UNDERSTAND  I believe we need to be talking about this subject and exposing the evils of this system - a system of government that will bankrupt us morally and materially. Because I believe everything about socialism is anti-Christian as a minister of the Gospel of Christ I would welcome the opportunity to speak to both political groups and churches about it.  Please private message me if you have an interest in arranging a speaking engagement. Email me at: office@christianactionleague.org  I am so humbled by every opportunity to share with others the hope we have in Christ. I am so thankful that we need not stumble our way through the darkness of life. Traditional Christian teaching with the Holy Scriptures as our infallible guide will provide more than enough light to lead us to personal happiness and political prosperity.  -Dr. Mark H. Creech",political,Facebook
God Bless America - Charlie's Soapbox 2/7/2020  The phrase God Bless America is the title of one of the most durable songs in our history and is a part of the lyrics in an unknown number of compositions by American composers in all genres of music.  It is used as the closing remarks by public speakers of all stripes including presidents and lesser politicians.  It is one of the most frequently used complementary closes on personal letters spoken from pulpits openings of sports events and a part of the prayers of millions.  The point is God has blessed America and in my opinion more so than any nation in modern times.  This land bordered by the worlds two major oceans is a microcosm of practically every blessing God has granted to any other nation on earth.  We have the mountains the rivers lakes and forests plains and deserts metropolises and village cold regions hot regions temperature regions fertile agricultural areas swamps thousands of miles of seacoast and the most diverse population on earth.  Rich heritage and culture carried over from countries of origin from the colorful French flavored language and freewheeling lifestyle of the South Louisiana Cajuns to the Midwestern enclaves of the Scandinavians who settled Minnesota and Wisconsin. Little Italy China Town Cherokee Hamtramck where the colorful culture of the ethnic groups who settled there is still observed with festivals and fairs and the food drink and accents still reflect the flavor of the old country.  Beneath our soil and under our oceans there are vast deposits of gold silver copper minerals and diverse chemicals with petroleum reserves to last a century.  America leads the world in so many technological and industrial categories medicine space exploration food production and transportation with a standing army that is second to none the envy of the planet.  Land of the free home of the brave the American Dream the American way the land that has welcomed pilgrims from around the world for over two hundred years.  Yes God has blessed America but greed and lust for power threaten to do something the most formidable military powers and the most contagious political philosophies have not been able to do.  To take down the USA or to change it into a vast pasture full of sheep who have given over control of their lives to a godless totalitarian central government which makes cradle to grave decisions for every man woman and child. A one size fits all bureaucratic nightmare that would dictate every facet of life from who does and who does not get perks and benefits to the number of children each family is allowed to have.  You see this is all about globalism or one-world government and as long as there is a nation that claims to be exceptional and refuses to surrender its sovereignty values the rights of the individual and proclaims its independence to the point of fighting for it there can never be a one-world government.  And since the USA is the most powerful nation on earth as long as we cling to our God and our guns - pun intended - it just aint gonna happen.  So how do you handle an intractable conundrum like America?  Well you do it in increments.  First and foremost you find a way of proselytizing the most vulnerable among us the children.  You form huge influential political organizations like the National Education Association identify some powerful politicians who think their re-election is more important than what our children are being taught make sure their campaign coffers are never empty and proceed to tailor the curriculum to nudge the students in the direction you want them to go.  Then you fill the institutions of higher learning with Marxist professors who subtly convince their young charges that America is not really what it claims to be that it has stolen everything it has and has marginalized and depressed minorities and that its time for America to be cut down to size and the way to do that is to level the playing field to take away from those who have accumulated some degree of wealth by stealing it from those poor unfortunate souls who never had a chance under this unfair form of governance.  Its called socialism and it means that everybody no matter your skills education race creed or work ethic will have the same opportunities with free college free healthcare free childcare a shorter workweek guaranteed lifetime salary and lucrative retirement benefits.  There will also be realignments in the climate change policy we will eliminate fossil fuels and begin a program to convert to all renewable energy sources.  And it will all be paid for by the greedy rich.  Now lets get back to reality  Well first of all if every cent Jeff Bezos Bill Gates Warren Buffet and all the other multi-billionaires was not only taxed but confiscated it would not keep this socialist Shangri-La afloat for six months.  So then after all the rich have been taxed a VAT of 20% added and the government is in debt to the tune of four hundred trillion dollars or so no more credit is available and the American dollar is worth a little less than a dried corn shuck prices of food have gone through the roof and that nasty old gasoline the government promised to get rid of is selling for twenty-five dollars a gallon when you can find it.  And when you find out that tomorrow the government is sending people to put you and your family out in the street because you cant pay the seven hundred thousand dollars you owe on your house and the factory you worked for moved to Guatemala two years ago and your unemployment check has shrunk to two hundred dollars a month and you cant find another job what do you do.  And you think Ill get my guns out and  No you wont because the government which is moving to Brussels confiscated your guns five years ago.  Get the drift? the ship has sailed and youre not on it but dont feel bad because nobody else is on it either except for the people who talked you into this mess to start with and theyre on top of the world penthouses private jets the whole enchilada.  Okay maybe theres a tad of hyperbole and a grain of exaggeration in my prattle but the rock-solid fact remains...  SOCIALISM DOES NOT WORK!  IT NEVER HAS IT NEVER WILL!  Not Karl Marxs version not Fidel Castros version not Bernie Sanders version not the insane version Alexandria Cookie Ocasio-Cortez is pushing not Elizabeth Warrens Pollyanna ramblings that will probably include free pedicures before its over nobody no how no way has ever been successful at socialism.  Check the casualty list.  Start with Venezuela.  What do you think?  Pray for our troops our police and the peace of Jerusalem.  God Bless America  Charlie Daniels,political,Facebook
"TRUMP WANTS WAR!!!! The industrial war machine and the need for oil--something that must end for our survival--will continue to feed the rich as we watch our country slip away from our fingers and we continue to become more like surfs (one step up from a slave) we do all the work and give it all back--we aren't living! We need to take back ""OUR"" Country and defeat the greed! Why the hell must our kids die for the greed of the rich? What do we have to do with war? Iran was following the rules but the rich want more! What happened to the Republican Party? They've lost their f'n minds! Take the rights away from a woman? I thought they wanted to keep government out of our lives? Girl if you don't wanna a kid you don't wanna a kid! You know what these rich people don't realize is that it would make a hard life even harder--mental health age finances--and who pays for it? We do with Medicaid and subsidized housing! Now Biden he's beholden to the rich big donors so far-Left policies will probably not happen like Medicare for all--single payer (remember Biden is Obama's boy--got'a keep the ACA running!) and the fight against fossil fuels at a rate that would save us all. We need a Democrat that want's to invest in ""The People"" and not continue putting up with the greed that has overwhelmed our Government officials. Saying all this I must say I like Bernie more and more. One thing I see about him is that he has great depth very empathetic to needs of the people and how we must defeat the greed--strong policies that will increase our wellness both financially and physically and rebuilding our lives by rebuilding our land. I ask you this: Should we continue to feed the suffering of millions of people including our own on issues that that only benefit the wealthy? War is hell! Or focus on the wellbeing of our homes and our lives? Truly Bernie has a plan that will return our Country to ""us"" and defeat the same thing that destroyed Rome! Stop the greed--Vote for Bernie! But no matter what? Let's defeat Trump! Bernie 2020!!!! ",political,Facebook
You can now list to last week's book event at the National Committee on US China Relations on Apple iTunes here:  http://ncuscr.libsyn.com/rss NCUSCR.LIBSYN.COM NCUSCR Events Some of the central arguments of the 2016 presidential campaign emphasized growing American fear and distrust of globalization. Then-candidates Bernie Sanders and Donald Trump energized large portions of the electorate against existing free trade agreements particularly the Trans-Pacific Partnershi...,political,Facebook
A new poll just out has Ron DeSantis leading Andrew Gillum 48-45% This is a very close race. You can make an impact right now by sharing this post.  5 facts to chew on.....  1) Gillum raised property taxes while Mayor. Do you want your property taxes to go up?  2) Gillum has called for 1 Billion Dollars in new spending and said he would tax Florida businesses to get the money. Do you want Florida jobs to go away?  3) Crime under Andrew Gillum has run rampant in Tallahassee. The murder rate has gone up 52%. Is this the record you want a Governor to have?  4) Gillum signed a manifesto that was against the police force and called for abolishing our prisons. Do you support our men in blue?  5) Gillum is not a moderate Democrat. He is out of the far-left mold of Bernie Sanders and would be the most socialist Governor Florida has ever had. Wherever you are on the political spectrum likely Gillum is to your left.  Ron DeSantis is an Iraq War Veteran. He cares about our environment and was endorsed by the Everglades Trust. He is a father and a husband. He will keep taxes low and continue building our economy in Florida.  Find out more here:,political,Facebook
Send message,political,Facebook
