AdText,Category,Platform
"The state of this world is getting scary. It's unfortunate that many do not see it.  Millions are marching around the world in protest every weekend against COVID-19 lockdowns vaccine mandates and the removal of civil rights liberties and freedoms. With at least a hundred thousand protesting in cities and towns around Australia.  ""If you forget the past you are doomed to repeat it."" ""I don't agree with what you say but I'll give my life defending your right to say it.""  Two very important statements the kids of today are not being taught. Free speech is something the whole world needs. Even racist hatred and down right evil things need to be allowed to be said. Gives us the opportunity to hit back through words NOT violence.  Let's start with Covid-19:  The fear being pushed by politicians and the media about COVID-19 is out of control. No I am not one of those that think COVID-19 is a hoax. COVID-19 is real. As I read once: Do I believe that people are getting sick? Yes. Do I believe that people are dying? Yes. Do I believe some hospitals are overrun? Yes. Do I believe nurses and healthcare workers are terrified? Yes. Do I believe China is lying about it's numbers? Yes. Do I believe COVID-19 was made in a lab? Yes. Do I believe China is responsible? Yes. Do I believe COVID-19 is being politicized? Yes. Do I believe COVID-19 is being used to strip Americans and Australians of their rights? Yes. Do I believe there's a bigger picture than what politicians and the media are telling us? Yes. Do I believe this is more about power and control than anything else? Yes. Do I believe we as Australians just set a dangerous precedent for our freedoms? Yes... and I am much more terrified of that than any virus.  Am I an anti-vaxxer? No I am 100% for vaccines. Myself and my family are all vaccinated for everything except for the COVID-19 vaccine. No I do not plan to get the COVID-19 Vaccine. I will not inject a vaccine into my body that is being forced upon me. Especially a vaccine that was ready in less than a year. It takes at least 5 years to fully test a vaccine. We do NOT know the long term side effects yet. I am Anti-MANDATORY vaccine I am not Anti-Vaccine. Take the vaccine if you want I support you decision to take it. But don't force it on me.  I do not believe in lockdowns or mask mandates. We lived with Influenza (a virus that had a confirmed 0.13% death rate for the years 2016-2017) for generations without mask mandates or lockdowns. I used 2016-2017 because they are the latest years where the numbers are confirmed: COVID-19 is far more deadly for over 60's than Influenza particularly those with underlying conditions with a death rate of about 0.66%. However When you account for elderly patients dying to COVID-19 without an underlying condition that death rate drops to 0.2%. Compared to the 0.08% Death rate for under 60's with COVID-19 dropping further the younger the bracket. The Delta variant is less deadly but more contagious. Please note I am talking about the death rate (Your chance to die if you get infected) not number of deaths. These numbers are based from the CDC's own words that 90% of COVID-19 cases will go completely undetected as most of the population is asymptomatic to the COVID-19 Virus. All this information can be found on the CDC website.  Now while the death rate is higher than influenza in the older generation. This is no reason to completely shut down a country even at the high end of 0.66%. No one wants to even talk about the rising rate of ""Self harm"" especially in teenagers due to lockdowns. These lockdowns are causing far more damage than they are preventing Not just in ""self harm"" rates. Source:  Next Abortion:  Abortion is getting out of control. The latest data from Planned Parenthood states that over 98%... YES OVER 98% of the reasons given for Abortion is ""Unwanted Baby"". Less than 2% is due to Rape / Incest. 2 reasons that are the only time I ever agree with Abortion and ONLY before a heartbeat. Source:  Both men and women need to take some responsibility for your own actions. If you cannot afford / want to bring a baby into the world then Wrap it Swallow it Flush it Throw it or just say no. But please STOP using Abortion as a contraceptive. Stop killing babies because you couldn't keep your pants zipped up. I accept that accidents happen but that's the risk you take when you say yes. Deal with the consequences of your actions.  And now for the US itself:  The US is being run by a senile dementia ridden old fart controlled by special interest groups in the hopes of turning America into a communist dictatorship. The Left leaning Mainstream Media is complicit in this they regularly distort the truth to push their own agenda. Notice they are not reporting on the Phone call between President Biden and the Afghan President Ashraf Ghani. A phone call that if it happened under President Trump He would be rightfully impeached before the media could even report on it.  In this phone call President Biden's own words pressured President Ghani to distort the truth: President Biden to President Ghani: ""And theres a need whether it is true or not there is a need to project a different picture."" Source:  This is not the first time President Biden has pressured another country to help him politically: Then Vice-President Biden with President Obama's backing threatened to withhold aid money if a prosecutor that was investigating the company Hunter Biden was working at was not fired. Source from then Vice-President Biden's own lips:   There are multiple other examples of corruption lies and propaganda by the Biden administration and it's buddies in the media. However this post will become a novel if I continue. Follow me for more examples in future posts.  And finally Australia:  Australia itself is sliding down a dark path. Our country is done as we know it if the population doesn't wake up and soon.  Queensland is opening a concentration camp in the center of the state. Source:  Victoria is the next communist China puppet state. Led by a known Communist supporter. Source: Multiple other articles showing the corruption of Daniel Andrews.  The Federal Government just passed a spy bill. Allowing them to access our phones and upload or delete data at will. Source:  The media around the world doesn't even care that Australia has begun a process to strip its citizens of what little rights we had. I fear that most Australians have forgotten what happened 80 years ago. We don't even have the means to defend ourselves any more they are scared another Eureka Stockade will happen.  It is time for Australians to take a stand. It is time for us to take our country back but we need help. We need the world to care about what is currently taking place in Australia.  Australia must ditch the crown. We must become a Constitutional Federal Republic. We do not have a Bill of Rights that needs to change. We deserve our freedom. But we must earn it first.  I ask that you like Follow and share this page if you wish to support this cause.",political,Facebook
Why don't more people know about this? Anyone turning 55 in the next 5 years is rushing to get this Health Insurance coverage: https://bit.ly/3bsdnEC HEALTHEXCHANGEUSA.NET Men Born Before 1972: Look At This Before You Pay for Health Insurance President Biden believes that every American should have access to affordable health insurance and has made a vow to protect it under his new leadership. This could mean offering a public health insurance option similar to Medicare increasing the value of tax credits to lower premiums and extendin...,political,Facebook
Why don't more people know about this? Anyone turning 45 in the next 5 years is rushing to get this Health Insurance coverage: https://bit.ly/2SQFHdx HEALTHEXCHANGEUSA.NET Women Born Before 1982: Don't Pay for Health Insurance Until You See This President Biden believes that every American should have access to affordable health insurance and has made a vow to protect it under his new leadership. This could mean offering a public health insurance option similar to Medicare increasing the value of tax credits to lower premiums and extendin... Learn More,political,Facebook
I just voted NO on the Democrats Infrastructure legislation.  Our nation is in desperate need of infrastructure reform and investment but this bill is not the way to do it. Democrats have made it abundantly clear that this legislation is simply a trojan horse for President Bidens radical Build Back Better agenda and paves the way for a laundry list of socialist policies.  Out of the total $1.2 trillion of spending in this package only $110 billion is directed towards roads bridges and other real infrastructure projects that our communities need.  Most importantly the pay-fors in this bill come up short. Over $400 billion of the $1.2 trillion price tag is unpaid for adding to our skyrocketing national debt and once again forcing hardworking Kansans to pick up the tab.,political,Facebook
Why don't more people know about this? Anyone turning 65 in the next 5 years is rushing to get this Health Insurance coverage: https://bit.ly/3ya7wxx,political,Facebook
Why don't more people know about this? Anyone turning 45 in the next 5 years is rushing to get this Health Insurance coverage: https://bit.ly/2R7N8g1 HEALTHEXCHANGEUSA.NET Born Before 1982? Men Should Look At This Before Paying for Health Insurance President Biden believes that every American should have access to affordable health insurance and has made a vow to protect it under his new leadership. This could mean offering a public health insurance option similar to Medicare increasing the value of tax credits to lower premiums and extendin...,political,Facebook
Biden implies Americans are too simple to understand supply chain issues or inflation. Do you know what Americans understand? They know that this president is failing and they can't afford to go food shopping.,political,Facebook
As Americans we seem to be drifting further apart every second of every day. The level of hatred can be felt almost anywhere you go in this country and its even worse online. People just dont seem to like each other anymore right? But why? Wars? Riots? Masks? Covid? Vaccines? Minimum wage? Abortion? Taxation? Trump? Biden? The Pope? Conservatives? Liberals? We could go on and on and   If you had a megaphone (or the virtual equivalent of one) and could speak to every single person in America at the exact same time what would your message be?  P.S. look no further than the comments on this post to get a flavor for whats happening in America.,political,Facebook
"Biden said ""The bottom line: we're going to protect vaccinated workers from unvaccinated co-workers"". The ""unifier in chief"" is resorting to the age-old practice of divide and conquer and pitting citizen against citizen. This is not going to work! Each week the rallies in Middletown and surrounding communities are just getting larger. They are ready to stand up for their freedom and be heard. Instagram video created by James at @renegaid_art Every Monday @4pm in the #Walmart parking lot on Rt211 in #MiddletownNY let your voice be heard! If you oppose the #vaccine #mandates come make a stand against #tyranny! #Vaccinated and #unvaccinated all are welcome! Details at the end of the video! #antifa #antivax #nojab #OCNY",political,Facebook
If the $3.5 TRILLION bill costs $0 like Biden says why do we need to raise the debt ceiling ,political,Facebook
CIC: Which of these best apply to Joe Biden ? Commander in Chief Corrupt in Chief Criminal in Chief Cheat in Chief Charlatan in Chief Clown in Chief,political,Facebook
Bidens abuse of power is just getting started. Taking action towards getting the right people in office has never been more important. Share the message ask how you can join the campaign or donate to the cause. If there has ever been a time for you to take part and take action it is now.,political,Facebook
As Oregons current governor has neglected to issue this statement as Oregons next please allow me.  First: Thank you to our military men and women who were boots-on-the-ground in Afghanistan for your service and everything you sacrificed these past two decades. Im sorry your Commander in Chief let you down. Your efforts deserved a more dignified end.  Second: Whether or not we belonged in Afghanistan is a different discussion but the fact is - we were there. As such there was a right way and a wrong way to exit and President Biden you chose the wrong way. You placed our military and civilians in great danger. You left our Afghan allies to be slaughtered. You ensured their women would lose what few rights they had. You left our own weaponry behind to be used against us. You allowed thousands of imprisoned terrorists back out onto the streets.  My formal education is in the international relations arena so my mind automatically goes to the domino effect you have created. You have weakened the worlds perception of America which emboldens our enemies. If I had to bet right now China is looking toward Taiwan as a means of verifying your weakness.  But go ahead. Put the teleprompter away and go back on vacay. Its probably for the best.,political,Facebook
The only person who should be deciding whether you get a COVID-19 vaccine is YOU!  Not Joe Biden. Not Kamala Harris. Not Anthony Fauci. Not anyone else. #stopthemandates,political,Facebook
"BIDEN: ""You guys are bad. I'm not supposed to be answering all these questions. I'm supposed to leave but I can't resist your questions.""  Puppet. Im not supposed to. What? Are we 5?",political,Facebook
Why don't more people know about this? Anyone turning 40 in the next 5 years is rushing to get this Health Insurance coverage: https://bit.ly/3bsdrUS HEALTHEXCHANGEUSA.NET Born Before 1987? Men Should Look At This Before Paying for Health Insurance President Biden believes that every American should have access to affordable health insurance and has made a vow to protect it under his new leadership. This could mean offering a public health insurance option similar to Medicare increasing the value of tax credits to lower premiums and extendin...,political,Facebook
As Texas Attorney General I will fight with every legal avenue available to stop the Biden administration from rolling back laws and policies that were working and effectively stemming illegal immigration.  Part of the solution to the border crisis is for Texas and other freedom-loving red states to bring the battles to the courtroom - and win. Every time the Biden Administration does something unconstitutional a multi-state coalition of myself and other hard-charging State Attorneys General will be there to push back against Bidens devastating border policies. Illegal immigration undermines the rule of law creates chaos at the border wreaks havoc with the lives of those migrating to our border under false hopes and is an insult to the immigrants who comply with our laws to gain entry and achieve citizenship. Learn more at,political,Facebook
Never in American history has a a person acting as President an imposter a fraud a liar a cheat  an incompetent fool a corrupt charlatan clown & failure & mentally disabled like Joe Biden so blatantly lied to the people on every subject ! The lying & misinformation runs through his entire administration due to his terrible leadership or lack of it.  Bidenesque the art of saying the exact opposite of what you are doing & doing the exact opposite of what you say !,political,Facebook
President Joe Biden and the Democrats are committed to pushing their multi-trillion dollar boondoggle upon the American people. But this plan doesnt just come with an expensive price tag  it is filled with radical ideas that will weaken our economy and reorder America as we know it.  To be clear this package:  Forces $2.1 trillion in tax increases on American families and job creators  Imposes Green New Deal polices and destroys American Energy Independence  Allows over $10 billion in federal funding to go toward abortions  Weaponizes the IRS by allowing for monitoring and tracking of almost every single bank transaction made  Provides amnesty to millions and millions of illegal immigrants  Leaves rural America behind by failing to allocate any funds for critical programs like broadband the commodity safety net crop insurance and disaster assistance  This radical spending package is nothing more than a Trojan Horse for the Democrats to force their extreme socialist agenda on the American people.  And the American people are already seeing and experiencing the negative consequences of their failed policies  rising prices Open Borders labor shortages.  It is time to bring back the smart commonsense Republican policies that created a prosperous America with economic growth record unemployment and border security.  Americas future is at risk and we must do everything we can to flight these Far-Left Socialist policies that will only set our country back.  I will do everything in my power to stand against these radical ideas and fight for conservative values and principles like limited government free enterprise and Peace Through Strength that have made our country great.,political,Facebook
"Have you noticed the absence of the obnoxious journalists & reporters since Biden got elected ? I am talking of the bought and paid for democrat operatives acting as news people like Jim Acosta & Jake Tapper & Brian Stelter & the Cuomo boy..........Chris Cuomo  just to name a few. They are absent because they know that everyone knows they are fake journalists. Questioning Biden like they questioned President Trump or rather harassed him with lies and misrepresentations would be too revealing of Biden and his spokespersons & their incompetence and lies & ineptness.They would make Jen Psaki look like the nut she is & the whole Biden administration would be exposed. They would lose favor & perhaps their jobs if they crossed who holds their leash. The democrats have such plants as fake journalists in all of the MSM including the NY Times and WAPO. They also control and dictate to their giant social media servants.These organizations are an arm of the corrupt democrat party. With Trump they were eager to create false scandals and crises but with Biden they cover up his major blunders and incompetence.Just take a look at the Afghanistan debacle and mess. look at the border crisis the inflation and the Covid mess. Look at the prices of food and gas. Look at the constant lies & all the other disasters in about 7 months ! If any of this was under Trump I think he would have been crucified and I mean literally crucified. They have no shame or honor to do a job well done with honesty and integrity. They have become perverted by the democrats & are a major part of the corruption. Once the media was the watchdogs over the politicians but now they are the lapdogs of the democrat party. The few mentioned above are just a few of many more fake journalist in MSNBC ABC NBC CBS  CNN LA Times NY times & WAPO and much more including FOX. I cannot forget to mention the stellar Rachel Maddow and Don Lemon & cute blinking eyes Anderson Cooper. There are too many more to mention but they are obvious to anyone who watches the media ! One of the greatest competent men to become president Donald Trump was trashed and demonized endlessly and a real corrupt demon Joe Biden has been lionized & made into a hero despite almost 50 years of constant failures & lies and deception. With the help of the fake & dishonest journalists and fake media & the corrupt democrat machinery & soulless activists Joe Biden was supposedly the winner of the Presidential elections. If you believe that Joe Biden got 80 million votes sitting in the basement you got to also believe that the famous ""Brooklyn Bridge"" was sold to 80 million people 80 million times. If you believe that I still have a bridge in Brooklyn to sell to you.",political,Facebook
"Too important not to read and share.  STAND UP AND BE PROUD A MUCH BETTER STRATEGY  Rabbi Yakov Saacks The Chai Center Dix Hills NY  The following thoughts are not meant to belittle or besmirch anyone.  There has been a fascinating conversation going on all in response to President Bidens pick of Aaron Keyak to oversee Jewish outreach on behalf of the White House.  Mr. Keyak has an impressive resume. He was the former head of the National Jewish Democratic Council as well as serving on the Biden campaigns finance committee. In addition he had stints as communications director for Democratic representatives Jerrold Nadler of New York and Steve Rothman of New Jersey. Mr. Keyak also helped lead a Jewish outreach team known as the Hub that backed President Barack Obamas 2012 reelection bid. The group claimed partial credit for Obamas victory in Florida where it led major outreach efforts.  Mr. Keyak came out with not one but with two tweets that sparked furor dissent and uproar. I am diametrically opposed to those who agreed with him and his message. Please be assured I do not think he is a bad person. I completely disagree with his message even though I am sure that he thinks that he meant well.  I do feel though that he being a representative of the administration should think 100 times before he speaks or in this case tweets.  FIRST TWEET - CLEAR Mr. Keyak tweets It pains me to say this but if you fear for your life or physical safety take off your kippah and hide your Magen David (Star of David). (Obviously if you can ask your rabbi first.)  SECOND TWEET  LESS CLEAR Its important that those who wear kippot dont feel more pressure to put our lives in unnecessary actual danger  especially when actions are attempting to be grounded in halacha. (Jewish law). Given the rise in Jew hatred and anti-Semitic attacks we must stand with all Jews.""  Both these tweets by Mr. Keyak suggest that due to the rise of anti-Semitism Jews should be savvier about how they display their Jewishness. In his first tweet he recommends asking your Rabbi if you can but in the second tweet he actually becomes the Rabbi.  PROBLEM # 1  IT DOES NOT WORK. Telling a Jew to hide their Jewishness has never worked. It did not work during the Spanish Inquisition nor was it effective during the Holocaust. The haters will seek you out by hook or by crook.  One of the best books that I have ever read titled The Pity of it All written by Amos Elon traces the history of German Jews from 17431933. One of the central themes of the book focuses on the constant efforts of the German Jews to assimilate and become an integral part of their host country. As we now know this journey ends with the tragic outcome of the virtual annihilation of the German Jews during the Holocaust.  Mr. Keyak we have tried your approach in the past. It has proven to be a colossal failure.  PROBLEM # 2 - NAIVETE There have always been collaborators who will out the Jew when the time is opportune. The Jew can look like a Presbyterian minister or a Buddhist monk; Hitler had his way of weeding out the Jews from wherever they were. To suggest that one hide ones Jewishness is to not understand how anti-Semitism works and is an incredible display of naivet on Mr. Keyaks part.  PROBLEM # 3 - OPENLY VISIBLE JEWS Ok Mr. Keyak lets say I am a Chassidic Jew with long side locks and an even longer beard and even longer black coat. I follow your advice and take off my kippah what does this accomplish? Seriously Mr. Keyak what do you advise the ultra-Orthodox Jew to do to hide their very apparent Jewishness. Can I suggest an earring or two so this way they look more like hipsters? Or is your advice only for the clean-shaven with single-breasted suits?  I remember walking on Duval Street in Key West where I was dressed completely incognito. I had a brightly colored t-shirt baseball cap on backwards and casual pants on with my fringes tucked in. Within five minutes I was stopped three times with people asking me about Kosher food and what times are the afternoon services. Mr. Keyak you can try to hide but you cannot run.  PROBLEM # 4  IS THIS REALLY THE ANSWER I do not think Aaron Keyak meant to hurt anyone by writing what he wrote. In fact he said that it pains him to write this. However it was a very painful tweet and completely uncalled for.  Is this really what we should be doing? Hiding our kippahs and tucking in our Jewish stars? What comes next detach the mezuzahs from our homes and remove the obviously Jewish bumper stickers from our cars? Should we now stop going food shopping in the Kosher aisle at the supermarket and just order kosher products online? Do I look into surgery to grow my foreskin back when I go swimming and need to change in a public locker room?  Where does this stop?  I wonder if the Asian outreach liaison tweeted that Asians should wear dark glasses that cover their nationality. Did the Muslim outreach liaison post 9/11 tweets that burkas abayas and hijabs should be suspended and exchanged for pink sweatshirts and orange jeans?  Mr. Keyak I know you meant well. However you are a public official and you need to really ruminate in your mind whether this is the right thing or not. You are no longer just a private congregant in a synagogue espousing your views. You are a public figure who in my opinion stepped in it.  PROBLEM # 5 CANCEL CULTURE We have all heard of cancel culture which is not pretty. As Winston Churchill said in 1948 during a speech in the House of Commons Those who fail to learn from history are condemned to repeat it. We must learn from history and not just try to stamp it out.  Telling Jews to rid themselves of obvious markings is akin to cancel culture. Lets pretend Jews dont exist and if they do they are not relevant and not only are they not relevant they are in hiding. A Jew in hiding is part of our history that no one wants to go back to. In fact Mr. Keyak we made a promise of Never Again. I believe that Never Again means that never again will we be marginalized and be willing victims and scapegoats.  On the contrary we are the victors. Mr. Keyak you a Jew hold a position at the White House on behest of the President of the United States. I dont see Himmlers grandkids in the White House nor do I see Goring Hess Mengele or Eichmans. I dont see Stalins kids lighting the Menorah in the Kremlin do you.  PROBLEM # 6 ROLE OF GOVERNMENT This is not the role of Government. Your particular role is to make sure that we Jews have a voice and are understood. The Governments role is to protect all its citizens from harm. The very first amendment deals with freedom of religion and the right we have to practice -- how when and where we want.  Mr. Keyak are you suggesting that the Government can no longer protect us in pursuing these rights?  BE PROUD Mr. Keyak raise your head up high. Put the kippah back on eat some kugel flaunt the Star of David necklace and invite the President to your sons bris.  This is true of everyone who reads this. Be it Jew or gentile regardless of race religion or creed. You have nothing to be ashamed of. You have nothing to hide tuck or remove. It is your/our inalienable right.  Borrowing a phrase from the 1933 inaugural address of Franklin D. Roosevelt: ""Nothing to fear but fear itself.""  Please feel free to share.",political,Facebook
Why don't more people know about this? Anyone turning 60 in the next 5 years is rushing to get this Health Insurance coverage: https://bit.ly/2SPMpAw HEALTHEXCHANGEUSA.NET Men Born Before 1967: Don't Pay for Health Insurance Until You See This President Biden believes that every American should have access to affordable health insurance and has made a vow to protect it under his new leadership. This could mean offering a public health insurance option similar to Medicare increasing the value of tax credits to lower premiums and extendin... Learn More,political,Facebook
"""The Psychology of Trump-Haters""  Whats happening in America right now shouldnt come as a surprise to anyone. It could be spotted from miles away!  As a psychologist watching the political back and forth in the USA over the past 5 years is pretty incredible. Seeing people say what theyve said behaved in the way theyve behaved and made the decisions theyve made has been interesting to watch. Its also illuminated a very clear truth.  The reason why Trump-haters hate Trump so much is not because they actually hate Trump the person. Because they dont even know him. Theyre definitely not protesting Trumps competence or political policies. Because well lets face it he did an incredible job with our economy protected the people inside the country with strong borders and won the respect of so many around the world. Allies felt supported. Enemies knew not to mess. Prospects knew to tread carefully. And he did it all so confidently unabashedly unapologetically. How attractive!  So the question remains if its not his personality and its not his policies what is it? Notice that people who have been critical of Trump tend to be very reactionary in their position. Its a highly emotional topic for them. It stirs up a lot. Interestingly the reaction has been so powerful and pervasive that it even has its own syndrome!  And therein lies the answer to this question. The people who have been so vehemently opposed to Trump are not really against Trump. Theyre upset at what Trump triggers deep inside them. That is what they're reacting to when they hear ""Trump."" Trump reminds many of the unprocessed anger they have towards authority figures in their lives. Maybe an angry father. Perhaps a controlling mother. Possibly an abusive boss. For many people the idea of Trump has woken (no pun intended) up tremendous emotional pain and psychological trauma that these people have not dealt with. And that they have not wanted to deal with.  Psychologically-speaking thats how we got here. Thats why so many picked Biden. I put it in quotes because they didnt really pick Biden. They just wanted to escape Trump. Or I should say the painful memories that Trump stirred up inside them. Was Trump opinionated? Of course he was. Was he outlandish in his delivery at times? Absolutely. Did he come across as arrogant and egotistical at points? Without question. Its all true!!!  But objectively that is what you want in a President of the USA. That is what you want from your Commander in Chief. That is what you want from the guy whos sole responsibility and duty is to go up to bat for you. You want someone who will unabashedly stand up for you guard you and protect your interests with everything hes got when it comes down to the wire.  The truth is to guard and protect properly sometimes you have to be bold. You have be direct. You have to be aggressive. Otherwise some wont hear you. They will not respect you. They will manipulate you. And they will walk all over you.  To the Trump haters I feel for you. Living this way must be complete emotional hell. Because youre always on the run. Your life is driven by fear. You make decisions that are based in anxiety and avoidance. Youre constantly looking to make choices not that you necessarily personally believe in but because they are less triggering. And unfortunately sometimes it leads to this. The truth about Biden is clear to everyone now. At least it should be. He was never fit to be a leader in this capacity. The writing was on the wall from the very beginning. Some decided to see it. Others were too scared to. Because it stirred up too much. Its okay. You didnt know.  Hopefully this incident can be used as an opportunity for you to exercise the courage to look inside and see what your triggers in life actually are. Consider. Who talked down to you growing up? Who hurt you? Who made you feel so little ? Pay attention to it. Process it. Address it.  You will see better. Decide better. And live better.",political,Facebook
Hunter Biden has lost a second laptop? This guy is a total disaster. You know Creepy Joe has to know. If hes telling a stranger that this might compromised what is he telling his business partners ? This family is just messed up and security risks!,political,Facebook
Why don't more people know about this? Anyone turning 55 in the next 5 years is rushing to get this Health Insurance coverage: https://bit.ly/3fl2l5v HEALTHEXCHANGEUSA.NET Born Before 1972? Men Should Look At This Before Paying for Health Insurance President Biden believes that every American should have access to affordable health insurance and has made a vow to protect it under his new leadership. This could mean offering a public health insurance option similar to Medicare increasing the value of tax credits to lower premiums and extendin...,political,Facebook
The horrific attack in Kabul that killed 13 U.S. service members devastated every patriotic American. My prayers go out to families and loved ones of these American Heroes.  This is a heartbreaking time for our country. As Commander-In-Chief The Presidents responsibility is to safely evacuate every American citizen from Afghanistan and keep our troops away from unnecessary risk.  My casework staff is working around-the-clock to help during this crisis. We are working with many families to process requests from families seeking assistance with evacuation. If you or someone you know is trying to get out of Afghanistan please contact my office. We will provide all assistance possible and keep you apprised of the most up-to-date information during this rapidly changing situation.  s self-imposed deadline of August 31st to withdraw from Afghanistan should be amended until all U.S. citizens are evacuated. Tragically it is clear that the President has no concrete answers or plan to rescue the American people or allies who are still stranded in Afghanistan.  This botched withdrawal from Afghanistan is the most colossal military and foreign policy failure since President Carters mishandling of Iran.  President Biden is responsible for the incompetent decision-making that has needlessly killed U.S. troops placed American citizens in harms way gifted $87 billion of sophisticated U.S. military equipment to the Taliban and destroyed U.S. prestige. Americas allies no longer trust us and our adversaries no longer fear our nation.  It didnt have to be this way and the situation has become a catastrophic failure. We will hold everyone from the President on down the chain accountable.,political,Facebook
Why don't more people know about this? Anyone turning 60 in the next 5 years is rushing to get this Health Insurance coverage: https://bit.ly/3yd7t4i HEALTHEXCHANGEUSA.NET Born Before 1967? Men Should Look At This Before Paying for Health Insurance President Biden believes that every American should have access to affordable health insurance and has made a vow to protect it under his new leadership. This could mean offering a public health insurance option similar to Medicare increasing the value of tax credits to lower premiums and extendin...,political,Facebook
Why don't more people know about this? Anyone turning 60 in the next 5 years is rushing to get this Health Insurance coverage: https://bit.ly/3uJwNwC HEALTHEXCHANGEUSA.NET Born Before 1967? Women Should Look At This Before Paying for Health Insurance President Biden believes that every American should have access to affordable health insurance and has made a vow to protect it under his new leadership. This could mean offering a public health insurance option similar to Medicare increasing the value of tax credits to lower premiums and extendin...,political,Facebook
