AdText,Category,Platform
"U.S. AND RUSSIA  Rising tension between the U.S and Russia should be a cause for concern among all Americans. Although recently the tensions between the nuclear armed powers have slightly eased due to the Russian pullback of troops along the Ukrainian border the general trajectory of the relationship points toward eventual conflict. Only ""the people"" can restrain the movement towards war. To enable this restraint it is perhaps helpful to view U.S.-Russia relations from the Russian perspective. Let me qualify the following by stating that I am not an expert on U.S.-Russia relations; but from a layperson's perspective this is what I see.  Russia has been pushed around by the West since its dissolution in December of 1991. At that time it's state dominated command economy was collapsing and there began a movement towards a free market capitalist system first gradually during the late 1980's under the Soviet leadership of Mikhail Gorbachev then very rapidly under Russia's first democratically elected President Boris Yeltsin.  During the economic collapse of the early 1990's western nation's offered aid to Russia largely through the G7--a group of advanced industrialized nations--and the International Monetary Fund (IMF) contingent on the dismantling of the Russian state dominated economic system. The transformation from the old to the new system within Russia was highly controversial with President Boris Yeltsin pushing for reform while Russia's parliamentary body consisting largely of communist and ultranationalist resisted the rapid transformation. This deeply divided the Nation.  It would be hard to overestimate the hardship this transformation imposed on the Russian people. Widespread homelessness child and adult prostitution increased rates of alcoholism decreased life expectancy all accompanied the transformation to the western style economic model. From 1991-1998 during the western aided transformation Russia's GDP fell nearly 40%. During the 1996 presidential election the G7 and the IMF pumped billions of dollars into the Russian economy in order to salvage a Yeltsin victory from a stiff challenge by a communist opponent: election interference by any measure.  The transformation left deep scars on the Russian people and depending on one's view of the transformation generated resentment against the West. Many among the older generation the intelligentsia and workers longed for a return to Soviet times. Conspiracy theories abound which suggest the West deliberately undermined the Russian state. One argument states that current President Putin's hybrid authoritarian democratic political model where the U.S. currently seems to be headed was an effort to establish order out of the chaos of the 1990's. The U.S. condemns Putin's trend towards authoritarianism but little such condemnation existed in 1993 when U.S. President Clinton supported the free market oriented Yeltsin's unconstitutional dissolution of the Russian parliament which had resisted the transformation to the capitalist model. It is of course possible that Russia would have suffered equal economic hardship had Russia persisted on its state dominated path but this matters little as people were suffering and the suffering was due to the then current transformation process.  During West-East negotiations over the reunification of Germany during 1990 Russian concerns about NATO expansion eastward towards the Russian border were allayed when U.S. Secretary of State James Baker assured the Russians that NATO would not expand ""one inch eastward"" towards the Russian border. By the end of the 1990's decade NATO expanded: eastward to include three former Soviet Republics; since then it has expanded eastward to include eleven more states most former Soviet Republics three of which: Estonia Latvia and Lithuania lie directly on a Russian border. NATO has a working relationship with both Georgia and Ukraine both former Soviet Republics which also lie on the Russian border and both of which are working towards NATO membership. Russians find NATO expansion to its borders as threatening and in breach of Western promises to not expand ""one inch eastward"" towards the Russian border.  Russia's 2014 forceful annexation of Ukraine's Crimean peninsula transferred to Ukraine by Russia during 1954 under former Soviet leader Nikita Khrushchev can be seen as an effort to protect both the Russian border as well as the Russian Black Sea fleet partially housed on the Crimean peninsula. Further both Ukraine and Georgia have experienced western friendly coups both with some level of U.S. support.  Most recently in response to continued tensions between Ukraine and Russia the U.S. had threatened to float two naval warships into the Black Sea which would be the equivalent of Russian warships sailing into the Gulf of Mexico. How do you think that might work out?  The former great power undoubtedly feels threatened and humiliated by the above turn of events. Russia views itself as a world power which has been undermined by the neoliberal economic order. Russian bashing among U.S. politicians generally works well across the full political spectrum although somewhat less so among conservatives since Trump; and the U.S. libertarian movement generally opposes international entanglement and war.  There is no effort here to suggest Russia is holier than its western counterparts. Hierarchy is hierarchy and it knows no other way than domination and submission. If the tables were turned perhaps the Russians would act in the same manner. This assuredly is the view of the hierarchical actors who play this nonsensical game. Just as assuredly however there are people in Russia as in the U.S. who desire peace. It is hard for the peacemakers to rise to power when there is so much turmoil in the world. To even speak of peace is often viewed as naive. If in the U.S a significant peace movement were to evolve this would allow room for the Russians to do the same. If not we are doomed to ""solutions"" by war. There seems to be no shortage of those who belong to the war movement.  To protest the U.S. movement towards war is not an unpatriotic act. It is perhaps the highest act of patriotism. Young people who often join the military in an effort to fulfill a deep sense of idealism should not be subject to the loss of life and limb in order to fulfill the political and ideological ambitions of a cynical ruling elite. To love one's nation is to embrace the potential of its youth not to sacrifice its youth to the gods of material and political ambitions. It is time for the insanity to end.",political,Facebook
"A CONSPIRACY THEORY B Part 1 Since this is section B it means you need to look up Section A  and section A has two parts so I will have to add at least another part to the section also. I an talking about A Conspiracy theory it will someday get in to discussing a real conspiracy probably but for now I am focused on the current situation we find our country in. There are many that accuse Trump of dividing the country but we have been a divided country for a very long time. The truth is that United States was always a divided nation where the people learned to live together and get along as the things changed we adjusted to the changes. We were divided even before the Civil war heck that is why there was a civil war we fought and then we adjusted we swept our differences under the rug but not for long soon we developed the Jim Crow laws in the south the racism went out a spread all over the country. There were lynchings in Montana Oregon had laws against blacks and so on. The federal and state governments passed laws to disenfranchise the blacks also. And this is not even the topic here. The fact is we know very little of our own history and yet we are proud that we know everything there is to know and we deny the truth and facts when presented as falsehood as they don't match our ignorance of them. Now there is theory being promoted that 9/11 was an inside job it is being promoted by the same people that support DJT for president and that DJT has actually accepted their support and promoted their ideology without however coming out and saying the same. So what is our reality and what is our truth. If 9/11 was an inside job then why hasn't Trump said so outright or is he using these people as useful idiots. The irony is that these same people are also the supporters of our military but they are not upset with Trump for insulting our armed forces. Something just doesn't add up unless someone is brain dead. How does one reconcile this? But are we not the same nation where white people on #foodstamps and #medicaid are against ""welfare"" because only the blacks are on welfare they think and people on #socialsecurity complain about #socialism. How do you fight this level of stupidity. More will follow M. N. R. 11 SEPTEMBER 2020  Yet it is the simple minds that search for simple solutions a complex problem is overwhelming it requires nuanced reaction it requires deep thought and meditation it requires knowledge patience and understanding it requires logic and methodology. O to be a simpleton. Yet the greatest nation in the world ever does not have the time the knowledge the logic and the study. Trump is not the first simple minded person Reagan was also simple minded but the difference is that Reagan listened to his advisors and for better or for worse he followed he followed through with his tax cuts and NAFTA he screwed the poor as all politicians are apt to left or right and the nation suffered he lied about a balanced budget and increased the deficits he went along with Iran-Contra his NAFTA deal destroyed the democratic cities and ruined their economy setting up the decline of black jobs and break up of unions and middle class. Today when Trump talks about the democrat run cities we need only to look back at NAFTA destruction of unions and globalization. But that is only one part the liberal mantra of sexual freedom is the other the destruction of family unit the spousal abuse the divorce rate single parent family is second. Add to that the drug problem both legal and illegal and abusive police tactics and you get 2020. Yes I have a master's degree I can write better but I like to write at a level that an average person can get the gist of my message. I have written about the economy at length also I post some of writings here again from time to time. You can follow the page and look. The problems we have today didn't happen overnight we had set up the ground work for the last 40 years or more. We only didn't know or didn't care no one did not Trump not Biden nor anyone else.  I posted earlier today. ""A dog is not aware that the master that throws him a bone every once in a while is himself eating the steak but the dog will fight another dog even to death over the bone thrown his way"". I ask my friends what do we want to take America back to? What is plan where is the map and will America look like when we have taken it back no one has an answer not even Mike Pence. I know where we are going if we don't change our ways liberal or conservative Republican or Democrat  we are going to hell in a hand basket of course. An we won't like it when we get there. Destruction of a nation should not be a matter of policy undermining of the #Constitution should not be the aim looting and burning or killing ""other fellow Americans"" should not be the plan of either side. But we are being led over the cliff by both sides. More will follow M. N. R. 13 SEPTEMBER 2020",political,Facebook
Two Growing Systems of Government Revenue  One from taxpayer earnings and one from no earnings at all.  Another way of saying the same thing is that there is 'Wizard of Oz' money and real world money.  A phenomenon has been growing since the sub prime crisis of 2008 to increasingly bail out Wall Street and the big banks by 'printing money' out of thin air that is then used to buy assets i.e. real estate stock buy backs and mortgage backed securities.  The Federal Reserve now owns more than 30% of the mortgage backed security market in the entire United States. This means massive government control of private assets into public hands.  And there is no end in sight as the Fed is purchasing $120 billion dollars of Treasury bills per month to boost the economy. While the Fed and Treasury are doing what they believe is the right thing the consequences of government spending that is not backed by current taxpayer money is beginning to show cracks in our economy through rising inflation. Trillions of dollars printed into the country's money supply does have unintended results contrary to most MMT (Modern Monetary Theory) theories.  One consequence is the devaluation of the dollar meaning that the purchasing power of families is diminishing through higher prices and this trend may not be as temporary as the Federal Reserve believes.  The whole system of printing money for ever increasing costs of new government programs is coming to a head. We are like a family who is going bankrupt that then decides to max out a new credit card to pay for the debt that has already been incurred thus putting off the day of reckoning that will surely hit even harder than it would have if nipped in the bud earlier.  Ponzi schemes are defined as a fraudulent investing scam which generates returns for earlier investors with money taken from later investors. The government is caught in a similar scheme. It is printing trillions of dollars to pay for current debt spending with newly created debt.  Thus more taxes are needed to be raised from hard working taxpayers to pay just the interest on the national debt (now nearly $400 billion dollars per year) and this is with an interest rate of 1.5 percent. The government can't afford to have interest rates rise because a relatively modest interest rate comparatively speaking of just 6% would break the sovereignty of our whole system. We only take in $3.5 trillion dollars in taxpayer revenue per year. A 6% interest rate would equal approximately $1.8 trillion dollars half of our total revenues.  In order to prevent a crash the government will simply print trillions and trillions more in order to support the system from collapsing with ever increasing rates of inflation as a result making the cost of living so high as to be unmanageable.  Taxpayers must start demanding greater responsibility and forthrightness from our government and the Federal Reserve. We the government speaks of government spending it is a bit of a misnomer. It is taxpayer spending. We the people are footing the bill and are being put ever more in an impossible debt situation. There is no free lunch period.  What to do? Educate yourself on the goings on and be as self sufficient as possible.  'No taxation without representation' was the original protest movement against monarchical rule in this country. We now find ourselves in a similar situation. The oligarchic rule of big money has in a real sense become the new 'monarchy' and the people's interests are not being represented in the halls of Congress. We have taxation but no real representation.  The promise of America is still alive but we must begin to get our house in order. Sound principles and sound money have to return in order to give us a solid foundation again. From there we can once again grow and prosper.,political,Facebook
NATIONAL HEALTHCARE MIGHT REQUIRE A TAX CUT???  National healthcare or Medicare for All is not on the near horizon. The debate over national healthcare however will be with us long into the future so the following argument from the Modern Monetary Theory (MMT) school of thought deserves serious consideration. The argument comes from Warren Mosler one of the original MMT theorists hedge fund founder and automobile enthusiast. His argument is National Healthcare might require a tax cut.  In order to understand this argument it is important to understand the MMT view of money its inflationary and deflationary impacts and how it is created. There are different ways in which money is created but it all begins with the public sector. In the public sector there are two actors: the U.S. Treasury Department and the Federal Reserve. The Federal Reserve Regional Banks are actually privately owned by large banks within the corresponding Reserve Districts but for all practical purposes it is a publicly controlled system: created overseen and regulated by Congress.  Money creation begins with the Treasury Department. When the U.S. Treasury spends it creates new money; when it taxes it destroys money. The Federal government is unlike a household which has budget constraints. The Federal government unlike a household creates its own currency and it can create as much currency as it would like. It is not constrained through its ability to tax or borrow in fact neither taxation or borrowing are necessary to fund Federal spending. Taxation and borrowing are however necessary to absorb excessive money out of the economy in order to prevent inflationary pressures. Federal expenditures need not be equal to taxation and borrowings. The supply of money should be calibrated in a manner which neither supplies too much money which is inflationary or too little money which is deflationary. Money is also created when the Federal Reserve purchases securities from the non-commercial banking sector and also when commercial banks create loans. These latter two sources of money creation are not important for our purposes.  Now to Moslers genius argument. U.S. national healthcare costs are roughly 19% of GDP. This is close to double the healthcare cost of the United Kingdom (U.K.) which has a national healthcare system and where healthcare costs are approximately 11% of GDP. If the U.S. as a result of national healthcare were to reduce healthcare spending to the level achieved in the U.K.: 11% then the U.S. would experience a GDP reduction of 8% (19%-11%). Stated differently income to this sector of the economy would be reduced by 8%. A reduction of GDP of this magnitude would have a highly deflationary impact on the U.S. economy. To reinflate the currency a new flow of money would need to be injected into the economy. The easiest way to achieve this would be through increased deficit spending which can occur in one of two ways: either through an increase in Treasury spending i.e. new money creation or through a reduction in taxes i.e. less money destruction. Under this scenario increased deficit spending would be used to fight the deflationary pressures associated with the reduction in healthcare cost. This all works because deficits are only a concern if the deficits create inflationary pressures. Therefore a national healthcare system might as time progresses and healthcare costs are reduced require tax cuts not tax increases as is currently believed in order to overcome the deflationary pressures associated with healthcare cost reductions achieved through a national healthcare plan.  This is an interesting argument which warrants serious consideration.  Comments are welcomed. Please write in respectful and civil tones. The purpose of this Page is to provide a forum in which people can express opposing views without angry or hateful reaction. Thank you.,political,Facebook
"RANDOM PSYCHOLOGY 131 Welcome been a few days now that I talked said anything in particular time slips away and life is as life always is it is ""busy"". BTW if you are new here  as in if you have joined the page recently qelcome and thank you also please share the page with your friends or on your timeline I will appreciate that. Also if you like they page you can always come back for more I hope that you do. What is the purpose of life? It used to me that many smart people spent their lifetimes looking for a purpose and meaning. Most of us  however are too busy today to spend time contemplating. We talk about the attitude of people when in reality we are actually talking about ourselves only in third person as if the words we are speaking do not describe us individually. I have told you before that I am not a religious or a moral person I do not mean to offend anyone. If you have a God more power to you if you don't it is not my business. Whether you belive in a god or many or none there seems to be a common lesson in most if not all religions which is the same lesson that we can derive from the so called modern day spirituality or the ancient philosophies also. If the ""spirituality "" tries to teach us to let go to let it be to stop worrying and such then does a belief in an omnipotent God also not require the same? If God is in control and God is in charge and if the God's will is done then why are we obsessed with fixing the problems especially with other people while we ignore our own short comings and work on fixing those first. M. N. R. 13 JUN 2021  A little while ago I posted a short article that I came across from another page about bicycles I will leave it up for you to look at. Back in 1989 I gave a lecture on Drugs and community and later in 2007 I wrote about ""War on Poverty""  ( I will post it here again after sometime). Our leaders the politicians are not stupid they know how poverty is good for the economy how the poor create more jobs than the so called ""job creators"" how the little money given to the poor helps them create tens of millions of jobs while the poor are blamed for staying poor. If you don't agree just look at this one small fact if the poor did not get free money they will compete for the menial jobs and drive down the minimum wage. Whether you get all your money from welfare or from a minimum wage job you make almost the same amount. Similarly the drugs and crime are used to create jobs and increase the GDP. Just look at how many jobs are dependent on the drug abuse and crime. The police the lawyers the doctors ambulance crews nurses bondsman detectives  judges jailers prison guards social workers drug abuse counselors the drug makers the list can go on and on all making money and contributing to the increase in GDP. The law makers don't want this to go away. Similarly petty crime to assault and murder to spousal abuse create jobs. A race war that is short of an outright civil war will be welcomed by our leaders as it will consolidate their base and make the economy look good and no one will notice. The first step here is for the public to understand that the politicians in both sides are in on the scam they are happy that you are focusing on and blaming the problem on eachother and they are not even trying to solve the problem. I will have more to say soon like and share the page please and let's talk. M. N. R. 14 JUNE 2021",political,Facebook
Is destroying America a winning electoral strategy?  A few years ago I was listening to a gun hating nut being questioned about his hatred of guns. He was posed with a scenario in which his home was invaded by a person who intended terrible harm to him and his family therefore would he not want a gun available in order to protect his wife and children from all manner of harm. I will never forget his response. He said that he would hide in the closet and call the police. It was then added to the scenario that the police would not arrive in time to save his family. As unbelievable as it was he continued to assert that he would hide in the closet and call the police and re-iterated his opposition to guns under any circumstance. The most basic duty of a father and husband is to protect his family with his life if need be yet he was willing to see everyone he loves destroyed before he would violate the rules of his ideology.  I think this story is important because it helps to provide perspective of leftist ideology in general and how that applies to what is happening in America today. This man no doubt loves his family dearly but the destruction of his family is far less worrisome for him than violating his ideology. If a man who loves his family dearly is willing to see his family destroyed in order to promote his ideology what do you think those who hate this country are willing to do to it in order to promote their ideology? Yes they too are willing to destroy it.  For leftist democrats which really means the entire democrat party because it has been taken over by the loons nothing is more important than their ideology and they are determined and always motivated to achieve power over everyone else. Their political philosophy has been described as a secular religion but it really isnt that. To describe it as a religion is an insult to religions. Theirs is a cult. A cult complete with the mindless chants of the Moonies and the destructive nature of Kool-Aid drinking zombies. They literally have taken to the destruction of every American institution that has made it the greatest country to have ever existed the most beloved most sought after for the hope of a better future and the most depended on to ensure a world free of world domination.  They are trying to create as much havoc as possible in all areas of life because they believe that President Trump will be blamed for it causing him to lose his bid for re-election so that they can usher in their leftist agenda which itself will make complete the destruction they have started. They have embraced the rioting looting and destruction of private and public property. They have embraced the violence that has resulted not only in bodily injury but also many deaths to law abiding citizens and law enforcement officers. They seek to drastically reduce the size of police departments or eliminate them entirely. They have been releasing violent criminals back onto the streets with no regard for the safety of law abiding citizens and some of these animals immediately upon having been released went right out and committed rapes and murders.  They are trying to destroy the economy using Covid 19 as an excuse. Typically the President in office receives the blame for a bad economy so they are trying at every turn to keep Americans locked down and businesses closed to the greatest degree possible. They have trampled civil rights closed businesses for so long that some will never reopen. The science is clear Covid 19 is particularly harmful to the very elderly and those in poor health. It is particularly harmless to all other especially children. But the science be damned they have an economy to destroy.  The democrats are trying to destroy our electoral system by doing away with our borders so that anyone can get in who wants in so that they can then be put on welfare and the voter rolls. They want to do away with the Electoral College which was created to make sure that every State mattered in national elections. They want to do a wholesale vote by mail scheme which will ensure voter fraud because ballots will be and have been mailed to the dead and to those still living who no longer live at the address on record. And no absentee voting isnt the same thing as the scheme the democrats want to put in place. Absentee ballots must be requested. Democrats want to send ballots out to every person registered to vote knowing that probably every precinct in this country has well over 100% of actual eligible voters on the voter rolls. If the election is close one crooked precinct or and handful of illegal votes can throw the entire election. Remember the 2000 presidential election? All of the things they want to do lay bare their fake concern about election integrity and voter rights.  They want to destroy the courts by expanding them with leftist judges who will decide cases properly..the left wing way. The courts are probably the most important target of leftists because they know their looney ideas will never come to fruition if it is up to the American people to decide so the courts staffed with leftist judges will be used to force their leftist agenda onto the American people.  They want to destroy Americanism and replace it with tribalism in order to keep Americans at each others throats particularly blacks and whites. Their obsession with skin color ethnicity and religion mirrors that of the KKK. Listening to their commentary that is laden with such references is full frontal evidence of their bigotry and racism.  They wish to do away with the so-called nuclear family a mother a father and children which is the most important institution known to mankind. The one thing that has caused the greatest harm to black families is the absence of fathers yet here is blm advocating for that very thing which is just another example of how black lives dont matter to blm.  This is just a partial list and are just the beginning for the totalitarian left. Make no mistake about it. It is their goal to ruin America for some grander scheme they want to put in place. Worldwide every one of these attempts to create a fair and just society by taking away freedom and personal property rights have failed completely. What makes these leftists so dangerous is their belief of their own superiority over all others just like the KKK. They are brainwashed brain-dead lunatics free of reason and logic who care about nothing and nobody except their ideology the ideology they want to force onto you. Government takeovers are always done by a very small minority of motivated actors who then gain control of the reins of power. There is a largely silent majority who must stop being silent. Edmund Burk once said The only thing necessary for the triumph of evil is for good men to do nothing.,political,Facebook
Im proud to announce that I have officially been endorsed by the Service Employees International Union (SEIU)! Unions are essential to to protecting and growing the middle class. They provide a voice to the workers who drive our economy. With the ongoing pandemic SEIU is especially important because they represent healthcare workers. Thank you SEIU for all you do for Missouri workers and by extension for Missouri and thank you for endorsing my candidacy.,political,Facebook
Joe Bidens been in Washington for 47 years and his newfound discovery of the Iron Range is laughable when you consider his anti-mining anti-manufacturing record that now includes his promise to enact the $93 trillion Green New Deal that would abolish mining and manufacturing enforce job-killing tax increases on everyone and send our local economy into a tailspin. Earlier this year our pro-growth policies were igniting an economy that was churning at record levels and the hard-working miners and Minnesota workers recognize President Trump and I are fighting for their way of life. #OurWayOfLife,political,Facebook
A Green New Deal has become a charged term where some people fear that airplanes and cars will be banned because of considerable disinformation from certain political pockets. A Maine Green Deal New Green Deal Maine Compact for Clean Energy: Call it what you will but here is what I support. The conversion of the former Maine Yankee to a facility capable of transferring 156 GW of energy developed by offshore wind turbines would in itself create thousands of jobs and make Maine 100% powered by clean energy by 2030. Investing in solar for housing would create thousands of jobs. Also important in the effort to reduce emissions is to incentivize the sale and purchases of electric- or hybrid-powered personal vehicles and the development of a statewide infrastructure of electric charging stations to make mobility by electric power accessible and practical. These are all solutions that would help us achieve the goals of emission reduction and 100% clean energy as well as create thousands of jobs that will stimulate Maine's economy. In turn Maine's reputation as an environmental leader will bolster and increase environmental tourism in the state also improving our economy. The environment is our economic stimulus post-Covid. We have the ability to both do good on the environment AND jumpstart a new economy all in one fell swoop if our government is able to keep up with the will of the people.  *Benjamin Meiklejohn is endorsed by .,political,Facebook
To the Voters in NH Senate District 24  I am running for State Senate because I want to preserve the greatness that is the New Hampshire Advantage and that includes no income or sales tax. My opponent Tom Sherman despite his denials has voted twice to impose an income tax on Granite Staters. This is something that would be devastating to our New Hampshire families at a time when so many are already struggling through this COVID economy.  In March Dr. Sherman voted in support of House Bill 712 which included an income tax to support a forced paid family leave plan on businesses and employees. As Governor Sununu noted with his red veto pen on this terrible legislation When NH says No Income Tax. Not Now! Not Ever! We mean it!  It takes verbal gymnastics to claim 0.5 percent of wages per week per employee is not an income tax and yet that is the direct language from the bill Dr. Sherman supported. It is the same language he supported the year prior. Nonetheless he is trying to claim otherwise. If a tax on wages isnt an income tax what is?  I promise the voters of District 24 this: If elected I will always be direct and wont try spin you. I will stand by my votes I wont hide from them. I will always be honest even if it isnt politically expedient. And when I say No income tax not now now ever. I mean it.  Sincerely Lou Gargiulo Candidate for State Senate District 24,political,Facebook
