AdText,Category,Platform
"Political ideologies should not be forced on to students in public schools funded by taxpayers. I am a conservative; conservative values are useful throughout ones life. Schools should teach an accurate and not always pleasant history of our great country without forcing radical political ideologies like CRT. Teach the constitution and founding fathers without allegiance to a certain political party.  Lansing has students not performing at grade level and who are not college-ready when they graduate. Back to basics in education. A conservative approach when it comes to the budget and allocation of funds is what I feel this district needs. Throwing more tax dollars at problems will not make them go away. Funding has steadily increased over the last 10 years while student performance declines. In the end voters can decide for themselves but I won't apologize for my beliefs. Voters are smart enough to decide and vote on what is important to them. I am honest about how I feel. I won't tell you how to vote but I will tell you how I feel. Two other candidates align with my views: Jeff Bollin and Mary Wood. I make no secret of that. If elected working together as a team on the board will be essential and not something that should be chastised just because one might not like our viewpoints. Again let the voters decide. I have been very open. You know what you get when you vote for me. It's too bad some other candidates tend to dodge basic questions.  Accountability and transparency with the board are two other areas I feel strongly about. I believe every vote by your elected officials should be recorded and readily available to the constituents. The board needs to be accountable to taxpayers parents and students.  Respect parental rights and authority. This is one reason I am opposed to any mandatory masks or mandatory Covid vaccinations. These are personal healthcare decisions made by parents with their child and doctor. These personal decisions should also be left up to teachers staff and volunteers.  Work climate. I have received many complaints about a negative work environment in the district. I feel this should be properly looked at so we can keep and attract quality teachers and staff.  CRT is an important nonpartisan issue to me. Everyone should always be treated equal and not judged by the color of their skin. CRT is not something I will dismiss or ignore until it has ""officially"" arrived in Lansing.",political,Facebook
COVID AND TRANSPORTATION Due to the significant decrease in transportation and people driving cars since the start of the pandemic there has been a notable decrease in emissions globally. In some ways the pandemic provided a much needed reset and sigh of relief to the Earth to slow us down as humans for a few months and let the Earth take a break from our onslaught of damage to her. In reflection we should reassess whether the amount of transportation we have exercised in the past is really necessary. If people have been able to work at home just as well as they could burning hundreds (or thousands) of gallons of fuel each year to drive to their office every day then it forces the question: Why go back to driving to the office at all? Multiply every person's round trip commute by five days a week 50+ weeks a year and then consider how many millions of people commute every day. The fact that there was a significant reduction in emissions when the pandemic hit and many were forced to work from home is no surprise. In the end the pandemic gives us an opportunity to rethink how we operate as a society and to consider resetting and transforming so many ways in which we function to be less reckless less destructive and less selfish as a society. Covid-19 has been challenging for all of us but it has given us an opportunity to look seriously at ourselves as a species and how we impact the environment. This is our opportunity to evolve. We need the will -- politically socially and individually -- to enlighten ourselves collectively and evolve into better residents of the only habitable planet we have.,political,Facebook
A Green New Deal has become a charged term where some people fear that airplanes and cars will be banned because of considerable disinformation from certain political pockets. A Maine Green Deal New Green Deal Maine Compact for Clean Energy: Call it what you will but here is what I support. The conversion of the former Maine Yankee to a facility capable of transferring 156 GW of energy developed by offshore wind turbines would in itself create thousands of jobs and make Maine 100% powered by clean energy by 2030. Investing in solar for housing would create thousands of jobs. Also important in the effort to reduce emissions is to incentivize the sale and purchases of electric- or hybrid-powered personal vehicles and the development of a statewide infrastructure of electric charging stations to make mobility by electric power accessible and practical. These are all solutions that would help us achieve the goals of emission reduction and 100% clean energy as well as create thousands of jobs that will stimulate Maine's economy. In turn Maine's reputation as an environmental leader will bolster and increase environmental tourism in the state also improving our economy. The environment is our economic stimulus post-Covid. We have the ability to both do good on the environment AND jumpstart a new economy all in one fell swoop if our government is able to keep up with the will of the people.  *Benjamin Meiklejohn is endorsed by .,political,Facebook
Racism is cultivated and we have to pull it from the roots  You cant address racism in adults and think it will stop if we dont pull the racism out from the roots. Racism is cultivated and the roots take hold in childhood.  I spent my entire life save my time at Howard University receiving an education at a cost to my well-being. I want my children Adeline and Langston to receive an education without receiving the bigotry and racism that were a condition of mine.  My mother has always called me an idealist. She always says that I cant change the world. And I always respond to her I can try. I instill this directive into my children. I require them and teach them how to speak up for anyone being marginalized. I require them to not marginalize for any reason. I dont feel many of her peers are being taught the same thing at home. And to be clear not talking about it is just as detrimental. If you truly want our children to be their authentic selves then we have to provide an environment for that to happen. We have to nourish and cultivate that environment so our kids can grow into successful human beings.  We currently have a President of the United States who when asked if he denounces white supremacy cant just say Yes I unequivocally denounce it and it has no place in our country. He will not say it. Please understand Im not bringing this up to be political. Denouncing any kind of supremacy should not be a political stance. Im bringing it up because this is what many if not the majority feel about white supremacy. It is what they feel about systemic racism. Remember what I said earlier not talking about it is just as detrimental. They will not say they support it but they will not say they denounce it or they will not talk about it at all. I can say this because he won the presidency. Almost half the voters cast their ballot for someone with this ideology and it may happen again. This country voted for a man that said that he could just grab a womans vagina.  My point is this. If you voted for these ideals you are definitely complicit. But dont think because you didnt vote for these ideals that these ideals dont exist in your standard operating procedure. It is built into our society and history proves it to be so. Donald Trump is just a person but the ideology is systemic. Systemic racism systemic misogyny systemic gender and sexual inequality are all deeply rooted in our society. They are built in. To think a liberal person regardless of race has weeded out these ideals would be an unreasonable assertion. Weeds grow back if they are not consistently maintained.  Im asking everyone to pull the weeds. Im asking you to begin that process with our children. Im asking you to not make this a political problem. If you think racism doesnt affect you you are wrong because you see it is affecting you now. I am asking you to love our children.,political,Facebook
I really appreciate Bill Holland's endorsement that he sent to The Call Newspapers. With his permission I am posting it today. Thank you Bill.  Dear Ms. Lloyd  Please accept this letter as a recommendation and endorsement for Fred Daues candidate for Sunset Hills Alderman from the 4th Ward. Being a current resident of the 4th Ward I know that Mr. Daues would be an outstanding representative for the citizens and community that comprises Sunset Hills. His background in business provides the exact skill set required to be an effective representative. Being a long standing resident of the City he understands the needs of both the residents and the businesses. This is essential in our current environment where tax dollars are precious and need to be stewarded carefully.  Mr. Daues is an excellent listener and has a tireless work ethic. He has the ability to think of the greater vision of an issue and bring people together for a common consensus. Mr. Daues has never put himself above the cause. He does what is right. I have had the privilege of working with Mr. Daues on numerus boards and commissions. Having seen the positive energy and work that he brings to something I know he will be a great asset to the Board of Alderman.  I encourage the citizens of Sunset Hills to vote for Mr. Daues.  Sincerely  Bill Holland Sunset Hills MO,political,Facebook
"I read this letter every now and then. It reminds how much we owe to those that fight and protect us- It's a bit long but an excellent read.  This letter was written by Charles Grennel and his comrades who are veterans of the Global War on Terror. Grennel is an Army Reservist who spent two years in Iraq and was a principal in putting together the first Iraqi elections January of 2005. It was written to (left students name out on purpose) who is one of the students at the University of Washington who did not want to honor Medal of Honor winner USMC Colonel Greg Boyington because she does not think those who serve in the U.S. Armed services are good role models.  To: Addressee (student UW)  Subject: Sheep Wolves and Sheepdogs  Dear Miss xxxxxxxx  I read of your student activity regarding the proposed memorial to Col Greg Boyington USMC a Medal of Honor winner. I suspect you will receive a bellyful of angry e-mails from conservative folks like me. You may be too young to appreciate fully the sacrifices of generations of servicemen and servicewomen on whose shoulders you and your fellow students stand. I forgive you for the untutored ways of youth and your naivet. It may be that you are simply a sheep. There's no dishonor in being a sheep--as long as you know and accept what you are.  William J. Bennett in a lecture to the United States Naval Academy November 24 1997 said ""Most of the people in our society are sheep. They are kind gentle productive creatures who can only hurt one another by accident.""  We may well be in the most violent times in history but violence is still remarkably rare. This is because most citizens are kind decent people who are not capable of hurting each other except by accident or under extreme provocation. They are sheep. Then there are the wolves and the wolves feed on the sheep without mercy. Do you believe there are wolves out there that will feed on the flock without mercy? You better believe it. There are evil men in this world and they are capable of evil deeds. The moment you forget that or pretend it is not so you become a sheep. There is no safety in denial.  Then there are sheepdogs and I'm a sheepdog. I live to protect the flock and confront the wolf. If you have no capacity for violence then you are a healthy productive citizen--a sheep. If you have a capacity for violence and no empathy for your fellow citizens then you have defined an aggressive sociopath--a wolf. But what if you have a capacity for violence and a deep love for your fellow citizens? What do you have then? A sheepdog a warrior someone who is walking the uncharted path. Someone who can walk into the heart of darkness into the universal human phobia and walk out unscathed.  We know that the sheep live in denial--that is what makes them sheep. They do not want to believe that there is evil in the world. They can accept the fact that fires can happen which is why they want fire extinguishers fire sprinklers fire alarms and fire exits throughout their kids' schools. But many of them are outraged at the idea of putting an armed police officer in their kids school. Our children are thousands of times more likely to be killed or seriously injured by school violence than fire but the sheep's only response to the possibility of violence is denial. The idea of someone coming to kill or harm their child is just too hard and so they choose the path of denial.  The sheep generally do not like the sheepdog. He looks a lot like the wolf. He has fangs and the capacity for violence. The difference though is that the sheepdog must not cannot and will not ever harm the sheep. Any sheep dog that intentionally harms the lowliest little lamb will be punished and removed. The world cannot work any other way at least not in a representative democracy or a republic such as ours. Still the sheepdog disturbs the sheep. He is a constant reminder that there are wolves in the land. They would prefer that he didn't tell them where to go or give them traffic tickets or stand at the ready in our airports in camouflage fatigues holding an M-16. The sheep would much rather have the sheepdog cash in his fangs spray paint himself white and go ""baa""--until the wolf shows up. Then the entire flock tries desperately to hide behind one lonely sheepdog.  The students the victims at Columbine High School were big tough high school students and under ordinary circumstances they would not have had the time of day for a police officer. They were not bad kids; they just had nothing to say to a cop. When the school was under attack however and SWAT teams were clearing the rooms and hallways the officers had to physically peel those clinging sobbing kids off of them. This is how the little lambs feel about their sheepdog when the wolf is at the door.  Look at what happened after September 11 2001 when the wolf pounded hard on the door. Remember how America more than ever before felt differently about their law enforcement officers and military personnel? Understand that there is nothing morally superior about being a sheepdog; it is just what you choose to be. Also understand that a sheepdog is a funny critter: He is always sniffing around out on the perimeter checking the breeze barking at things that go bump in the night and yearning for a righteous battle. That is the young sheepdogs yearn for a righteous battle. The old sheepdogs are a little older and wiser but they move to the sound of the guns when needed right along with the young ones.  Here is how the sheep and the sheepdog think differently. The sheep pretend the wolf will never come but the sheepdog lives for that day. After the attacks on September 11 2001 most of the sheep that is most citizens in America said ""Thank God I wasn't on one of those planes."" The sheepdogs the warriors said ""Dear God I wish I could have been on one of those planes. Maybe I could have made a difference."" You want to be able to make a difference. There is nothing morally superior about the sheepdog the warrior but he does have one real advantage. Only one. And that is that he is able to survive and thrive in an environment that destroys 98 percent of the population.  There was research conducted a few years ago with individuals convicted of violent crimes. These cons were in prison for serious predatory crimes of violence: assaults murders and killing law enforcement officers. The vast majority said that they specifically targeted victims by body language: Slumped walk passive behavior and lack of awareness. They chose their victims like big cats do in Africa when they select one out of the herd that is least able to protect itself. Some people may be destined to be sheep and others might be genetically primed to be wolves or sheepdogs. But I believe that most people can choose which one they want to be and I'm proud to say that more and more Americans are choosing to become sheepdogs.  Seven months after the attack on September 11 2001 Todd Beamer was honored in his hometown of Cranbury New Jersey. Todd as you recall was the man on Flight 93 over Pennsylvania who called on his cell phone to alert an operator from United Airlines about the hijacking. When they learned of the other three passenger planes that had been used as weapons Todd and the other passengers confronted the terrorist hijackers. In one hour a transformation occurred among the passengers--athletes business people and parents--from sheep to sheepdogs and together they fought the wolves ultimately saving an unknown number of lives on the ground.  ""There is no safety for honest men except by believing all possible evil of evil men."" - Edmund Burke.  Here is the point I would like to emphasize especially to the thousands of police officers and soldiers I speak to each year. In nature the sheep real sheep are born as sheep. Sheepdogs are born that way and so are wolves. They didn't have a choice. But you are not a critter. As a human being you can be whatever you want to be. It is a conscious moral decision. If you want to be a sheep then you can be a sheep and that is okay but you must understand the price you pay. When the wolf comes you and your loved ones are going to die if there is not a sheepdog there to protect you. If you want to be a wolf you can be one but the sheepdogs are going to hunt you down and you will never have rest safety trust or love. But if you want to be a sheepdog and walk the warrior's path then you must make a conscious and moral decision every day to dedicate equip and prepare yourself to thrive in that toxic corrosive moment when the wolf comes knocking at the door.  This business of being a sheep or a sheep dog is not a yes-no dichotomy. It is not an all-or-nothing either-or choice. It is a matter of degrees a continuum. On one end is an abject head-in-the-sand-sheep and on the other end is the ultimate warrior. Few people exist completely on one end or the other. Most of us live somewhere in between. Immediately after 9-11 almost everyone in America took a step up that continuum away from denial. The sheep took a few steps toward accepting and appreciating their warriors and the warriors started taking their job more seriously. Now the sheep have again begun to despise the sheepdogs as those who represent unending violence and deny the real dangers of the wolves.  Its OK to be a sheep but do not kick the sheep dog. Indeed the sheep dog may just run a little harder strive to protect a little better and be fully prepared to pay an ultimate price in battle and spirit with the sheep moving from ""Baa"" to ""thanks"". We do not call for gifts or freedoms beyond our lot. We just need a small pat on the head a smile and a thank you to fill the emotional tank that is drained protecting the sheep. And when our number is called by ""The Almighty"" and day retreats into night a small prayer before the heavens just may be in order to say thanks for letting you continue to be a sheep. And be grateful for the thousandsmillions--of American sheepdogs who permit you the freedom to express even bad ideas.  Sincerely Charles Grennel --",political,Facebook
Dear Neighbors  My name is Tina Posterli and I'm running to serve on the Long Beach City Council. I'm a 20-year resident of Long Beach and have been involved with issues in our community since the day I moved here.  I'm a government affairs and communications professional who has dedicated my career to creating meaningful social change in the healthcare education and environmental sectors. I'm also the proud mother of a 20 year-old daughter and currently serve as President of the Long Beach Public Schools Board of Education. My term ends at the end of June.  I'm running for City Council to bring people together and work toward positive change in our community. I understand the importance of listening to differing opinions and working in partnerships and have a track record of building consensus to get things done. I will work toward bringing forward good policies that bolster our local economy and contribute to a cleaner environment. I am also dedicated to strengthening all of our neighborhoods which will be vital in creating an equitable community where all residents can thrive. But most of all I'm running because I love the City of Long Beach and want to step up and use my skills and experience with my running mates John Bendo and Paulette Waithe to make it a stronger healthier place for us all to live and for the future of our children.  Thank you for following my page. More to come!,political,Facebook
Uncommon Sense The Siwiec Report Issue 43 -- Wednesday October 28 2020  Second Opinions  Every great advance in science has issued from a new audacity of imagination.  John Dewey <> Nearly all men can stand adversity but if you want to test a mans character give him power  Robert Green Ingersoll  Resistance to change can be helpful or harmful. It cuts both ways. Nowhere is this more evident than in medicine. There has been an impressive evolution of knowledge and practice in medical science which has taken place over thousands of years marked by discoveries and advances that have alleviated suffering and prevented disease.  Advances in the sciences and notably in medicine happen over the long-term through a process of trial and error. Medical science like all authentic science builds a base of useful (practical) knowledge through observation and measurement. Over time hypotheses are formulated and tested experimentation is employed findings are interpreted and the body of knowledge grows. Science by definition is not a capricious undertaking.  The state of medical science at any point in time is open to revision adapting to new data and replacing theories that do not measure up. The medical establishment will circle the wagons around a prevailing theory and practice and resist theories that challenge the state of current medical certitude. This is a healthy resistance. A hypothesis that challenges the current state of medical practice must pass rigorous and demanding tests. The question must always be wheres the proof.  Louis Pasteur (1822-1895) was a French biologist who proposed the germ theory of disease. He sought to prove that diseases were caused by microorganisms. Pasteur trailblazed the field of bacteriology and displaced the theory of the spontaneous generation of disease with the germ theory. Prior to the late 1800s medicine and surgery were practiced without the knowledge that germs could cause disease. Imagine how we would be coping with the current pandemic without the knowledge that a pathogen like coronavirus caused Covid19. We would be dealing with a death rate like that in the middle ages when waves of bubonic plague wiped out fifty percent of Europes population.  Only a few decades ago medical practitioners believed that stomach ulcers were caused by stress and excess acid. The typical ulcer sufferer was depicted as a businessman with a type-A personality who needed to swig Maalox to make it through a hectic day of meetings and business deals. However that overriding medical consensus was challenged by a physician from down under who was convinced that peptic pain and duodenal distress was brought on by a bacterium.  The medical establishment scoffed and disparaged the doctor from the boondocks of Western Australia. If the doctors at the Mayo Clinic and Harvard University said ulcers were caused by stress and acid you could rest assured that ulcers were caused by stress and acid. The only problem was that they were not the cause and the Aussie with his own microscope and the audacity to experiment on himself would prove them wrong.  Barry Marshall (b. 1951) is an Australian physician and researcher who together with his research partner Robin Warren (b. 1937) set out to prove that the vast majority of ulcers including those that lead to stomach cancer are caused by the bacterium Helicobacter pylori. Marshall performed biopsies on ulcer patients at the Royal Perth Hospital cultured the specimens and discovered that the ulcers were associated with H pylori bacteria. He hypothesized that antibiotics could cure these infections. However mainstream gastroenterologists dismissed his findings. For years they had been treating ulcers with antacid therapies. They believed that bacteria could not survive in the highly acidic environment of the stomach. In addition to the pushback Marshall was up against from the international medical establishment big drug companies were aware that if Marshall were correct their huge investment in antacid drug products would be at risk. Marshall said  Because the makers of H2 blockers funded much of the ulcer research at the time all they had to do was ignore the Heliobacter discovery.  Marshall knew he had made a discovery that would change the way ulcers were treated saving millions from pain and agony by preventing the major cause of stomach cancer. Since the bacterium H pylori only affects primates and Marshall was prohibited from experimenting on humans he became desperate. He only had one patient upon whom he could experiment  himself.  First he had a baseline endoscopy which was normal. Then he obtained bacteria from the stomach of an ulcer patient mixed it in a broth and drank it. Within days tests indicated massive inflammation. He began vomiting and was exhausted. He biopsied his own gut and cultured the specimen. It indicated that H pylori survived the acidic environment. His hypothesis was proven. The world of medicine could no longer resist the scientifically obvious. Heliobacter pylori was the cause of ulcers in the stomach.  In 2005 Barry Marshall was awarded the Nobel Prize for medicine.  ____________________________________________  The discovery of bacteria as the cause of stomach ulcers was not immediately accepted by the medical establishment. It would take approximately two decades before common medical practice adapted to Dr. Marshalls breakthrough scientific finding. Today ulcers are routinely treated with antibiotics. Although prudent medical reticence and the power of big pharma initially resisted and delayed the application of Marshalls discovery his incontrovertible evidence would eventually prevail.  At about the time that Marshalls discovery was fully acknowledged another medical development would begin to stir controversy and threaten big money interests. This time the locus of the physiological problem was not in the gut but in the brain. Unlike the relatively swift acceptance and change in medical practice brought on by the bacteria-ulcer discovery this advance is being resisted by a major corporation which has sought to defame the doctor who discovered the disease and to keep the public ignorant about its dangers.  Bennet Omalu M.D. (b. 1968) a forensic pathologist and neuropathologist while working as a pathologist in the coroners office in Pittsburg was the first to discover chronic traumatic encephalopathy (CTE) in the brains of football players. It was there that he performed an autopsy on Mike Webster a former lineman for the Pittsburg Steelers. Omalu examined Websters brain and found a large accumulation of tau protein. An abnormal level of tau causes tangles inside nerve cells in the brain which leads to major cognitive impairment. Omalu reported his findings hoping that it would alert professional and amateur football players about the severe risk associated with playing football. However Omalu did not realize that in America football is religion and an assault on playing the game was tantamount to blasphemy.  The National Football League (NFL) called for a retraction of Dr. Omalus study Chronic Traumatic Encephalopathy in a National Football League Player which was published in the medical journal Neurosurgery in 2005.  Omalu was not aware that his warning about the risk of repeated head trauma and concussions which are inherent in football would be perceived as a threat to professional football and the billions of dollars invested in the game. As such his medical findings were an indictment of Americas #1 sport. Not only could his discovery affect the football industry but it could undermine the nation-wide system of youth football and school sports. As many as 2.5 million American children play tackle football.  Chris Nowinski PhD (b. 1978) a behavioral neuroscientist former Harvard football player and the co-founder and CEO of the Concussion Legacy Foundation has been working to educate the public about the devastating effects on the brain associated with the game. He has reported that football is destructive to the brain and because of this a growing number of NFL players are retiring in their prime. These enlightened players are turning down millions to lower their risk of developing brain diseases from repetitive head impacts. Understanding the danger of brain injury has prompted Nowinskis to issue a warning to parents who are unaware or knowingly negligent in allowing children as young as five to play tackle football. He says   as a neuroscientist and former college football player Im most concerned with the two-thirds of American tackle football players who are children and particularly susceptible to harm. The brain changes tremendously on the journey from birth to adulthood. Any form of trauma can change the brain and thus change the child.  The science is clearer than ever: exposure data shows children as young as 9 are getting hit in the head more than 500 times in one season of youth tackle football. That should not feel normal to us. Think of the last time outside of sports you allowed your child to get hit hard in the head 25 times in a day. Better yet when was the last time you were hit hard in the head?  The NFL and its Commissioner Roger Goodell have downplayed the overwhelming scientific evidence of CTE and maintained the status quo to order to protect the profits of the league and its owners. This is made easier because the public and most importantly parents prefer not to accept information that might diminish or endanger the hallowed sport of football. For many Americans football is life. Some parents especially fathers live vicariously through the experiences of their sons on the gridiron.  Nowinski concludes  So while the industry fights to maintain the status quo parents have to ask hard questions when their child wants to play tackle football to be like their NFL heroes. Are the benefits of youth tackle football worth risking the lifelong health of your brain? A better question  can a child make that choice?  The NFL did not like what Bennet Omalu reported about damage to the brain caused by playing football. It was a threat to the sport which could directly affect their bottom line. They feared that mothers might not let their sons grow up to be football players if they knew of the danger tackle football posed to the brain. So right after Omalu came forward with his findings the NFL worked hard to denigrate his work and even to defame his character. They pretty much ran him out of town.  Omalu survived the assault on his professionalism. He along with a growing body of scientists physicians and football players continue to speak out about the risks of playing tackle football.  In 2016 Bennet Omalu received the American Medical Associations highest honor  the Distinguished Service Award.  A bill is currently pending in New York State that would prohibit tackle football for anyone under the age of twelve.  The facts about CTE are available. It is knowledge that is not difficult to comprehend  to interpret for oneself and most of all to apply that information on behalf of the millions of children whose brains are at risk from participating in a violent sport.  Knowledge is not power unless we decide to use it.  ______________________________________  (For further reading: Concussions and Our Kids: Cantu Dr. Robert H. 2013 208 pages),political,Facebook
Every child deserves a school that is ethical rigorous and compassionate.  Soundview welcomes students of any race color national origin or ethnic origin. Soundview does not discriminate on the basis of sex gender age religion handicap disability marital status sexual orientation gender identity or gender expression.  We offer a learning environment meant to serve your childs needs. That is what Soundview School provides. Thats how we can help your child be ready for this world. SOUNDVIEW.ORG www.soundview.org Learn More,political,Facebook
On Earth Day my colleagues and I introduced a resolution to establish a clean environment as a Constitutional right in Iowa. This will be a multi-year campaign. Please consider helping with a contribution today. https://secure.actblue.com/donate/charles-isenhart-1,political,Facebook
