AdText,Category,Platform
"Why Overstating Mass Shootings May Make Matters Worse by Matt Carden  Earlier this week I wrote an article about politicians and the media saying there had been over 250 Mass Shootings so far this year alone. I argued and continue to argue that his number is deceptive. I was questioned by one reader who implied I was being callus and the victims did not matter to me. The reader asked how many were too many for me.  One murder a year is too many for me. One mass shooting is too many for me. Anyone who knows me (and this reader does know me) should know I believe this passionately.  I am also concerned with the dialogue that is filling the airwaves. When an individual or the media use the term ""mass shooting"" casually they are doing a disservice to victims and complicating or preventing the search for real solutions to the problem.  The 253 mass shootings that are listed in the (supposed) Gun Violence database represent a multitude of problems with vastly different solutions. Some of the events that are casually lumped together under the heading ""mass shootings"" include gang related drive by shootings. Other events include ""family annihilators"" and still others are simple drug related homicides.  The over 250 number is one used by certain politicians and political groups to advance their agenda. They search for a way to make the number as high as possible to create public outrage hoping to force the changes they desire. But by doing this we run the risk of creating a ""solution"" that does not fit the problem. This is a disservice to the public and disrespectful to the victims.  Take the ""family annihilators""- these are people who kill their spouse and children or if they do not have a spouse just the children and often themselves. If an annihilator has four victims the event goes in the mass shooting database. But a solution of ""gun control"" will not stop this type event. A family annihilator is ""driven"" to wipe out the family. The weapon they use is irrelevant. Sometimes the weapon used is carbon monoxide. The annihilator packs the family in the car in the garage with the door closed and starts the engine. Sometimes it is drowning- they drive the car with the family off a bridge. Or the weapon could be a knife. With these type events having a gun does not matter. The annihilator becomes convinced they must destroy the family so they use anything they can to kill everyone in the family. We will never see a decrease in this type event from gun control. However we may see a decrease if we improve the mental health system and mental health care access.  Likewise banning guns will not stop drug related homicides- the murders will happen with knives. For this situation the solutions would seem to need to be treatment for the underlying drug addictions. Addressing the socio-economic issues in areas with high gang activity could be a solution for gang related violence that is lumped in as ""mass shootings.""  Terrorism related mass murders will also not be stopped by any type of gun control measure unfortunately. These killers want to create terror. They will use trucks; they will use aircraft; they will use fertilizer and diesel fuel. They will use any weapon that kills as many as possible and creates a huge impact. Terrorists do not quietly kill with poison- unless they are trying to kill thousands at once nor will they try to kill in a way that no one will detect. They WANT people to see the murders. They WANT people talking about the murders and mostly they WANT the mass terror. Really the murder itself is irrelevant to them- the terror the fear the distrust that comes from the event is what they really want.  By looking at the problems as smaller subsets with different solutions the ""Political"" picture changes. By pushing the ""over 250 Mass Shootings This Year Alone"" mantra certain people and groups try to force the dialogue to a direction they want. So the question must be asked is the goal of those politicians who are out there saying ""We have had over 250 Mass Shootings this Year- the time to ban assault weapons is NOW REALLY to save lives or is their goal to ban guns? Looking at the numbers it does not seem to be that they want to save lives.  Do we need to stop these mass shootings  ABSOLUTELY! So instead of scaring people into a ""solution"" that will not work lets break the numbers down. Lets talk about Mental Health care reform and increasing access to mental health care in areas where that could make a difference. Lets talk about improving the socio-economic situation in gang infested areas- if the gangs go away- evaporate- so will the gang violence. Likewise banning guns will not stop drug related homicides- the murders will happen with knives. For this the solutions would seem to need to be treatment for the underlying drug addictions.  ""We have had over 250 Mass Shootings this Year- the time to ban assault weapons is NOW"" - we have heard this sound bite all week. But not once have we heard that Rifles - ALL TYPES of Rifles- only account for an average less than 320 homicides a year over the period 2013-2017 (inclusive) according to the FBI Expanded Homicide Data (table 8- weapons used in homicides). Less than 320 for ALL TYPES of RIFLES- ""assault rifles"" account for less than the 320. So the ""SOLUTION"" of banning ""Assault Rifles"" would never solve the problem of ""Mass Shootings.""  Let's START talking about REAL solutions. Lets START talking about solving the root causes of violence- rather than grouping all these murders together in an effort to win a political battle and watching the same number of mass shootings occur next year and letting more people die.  #GoodGuyWithGun #MassKilling #Terrorism",political,Facebook
"Do you think criminals should be allowed to legally own guns?  Do you think people with mental illnesses should be allowed to legally own guns?  If you answer ""yes"" to any of the above please comment why. If you answer ""no"" to any of the above please comment how you think that can be achieved.  I am not interested in your party just in your opinions.",political,Facebook
The Wedge  Im proudly a child of the 80s. The music was great fashion not so great and the Cold War was still present but a far cry from the Cuban Missile Crisis of the 1960s. We as a nation by and large recognized ourselves as part of an American family so to speak and the world as it were seemed safe. Whether you loved him or hated him The Reagan principle of Peace through Strength kept the world on as even of a keel as one could ask for. I played after school incessantly with my friends and we had a favorite game called War. The rules were simple as one might imagine each kid brought his biggest and best toy guns and we played for hours a breed of hide n seek only with weapons. To my knowledge none of my former playmates to this day have ever been involved in a mass shooting. Looking through the prism of history it was a glorious time where for once the old divisions did not seem to matter anymore. Minorities and women had ascended to some of the highest levels of leadership and industry and as a rule the term race and racism seemed to be remnants of a bygone era. Today there exist a wedge that has been driven like a wooden stake straight through the heart of this country. It has pitted us against each other in a way that I personally never thought we could develop into. It is though we have been separated and resegregated based on characteristics that run antithetical to everything the Civil Rights Movement stood for. What is the wedge exactly and more importantly how did we get here? To have an honest discussion about this topic we must all concede that leaders no matter what their stripes have the ability to be polarizing. I categorize two types of polarizing figures. There are those that are polarizing for the right reasons and those that divide for every reason that is wrong. For example Ben Shapiro in my opinion a polarizing figure for the right reasons. He makes honest fair assessments of situations in a time where for some reason this is looked upon as divisive hate speech even white supremacy which is remarkably interesting when you take into account that Ben Shapiro is an Orthodox Jew. Then you have the Linda Sarsars of the world whose rhetoric and speech are not only hateful but backed up in no way by fact or reason. As we all know Ben Shapiro should not be a polarizing figure but is because the time of real true free speech is over. Stereotypes as well have made a huge return only now the focus seems to be on mainly white America. If we are to have a true discussion we must be honest. Is there any other ethnicity in America today that is subjected to the level of sensitivity training and whatever else they can think of to somehow make white people feel bad about themselves? If that kind of action were perpetrated on any other ethnic group in this country it would be a return to slave days I guess Im not sure where you really go once youve played the Jim Crow Card. The leadership in Washington though divided by obvious ideological differences are all capable of injecting themselves into situations where it is not needed or make a bone headed statement that only serves to fan the flames of whatever the divide may be. In the years since the 80s and leading into the modern times the division has come at the hands of neo-progressives who seek to silence any opinion that might challenge their deeply held beliefs. Notice I did not say the left because quite frankly I grew up side by side with the left and the right but this new breed of ultra-left thinkers have somehow managed to find a way to completely dominate the narrative in this nation. Perhaps even worse though the ugly specter of racism has returned but it is a form of racism that is by and large imagined and always rooted in suppositions that just do not make any sense. The United States in many ways is comparable to a High School. Where there is an endless number of cliques each convinced of their superior thought and superior ideas. What has come to pass as a superior idea in contemporary society can be as simple as a completely reality detached statement made by someone paid millions of dollars to play a game. Nothing on its face seems to make much sense anymore. Its as though every positive statement about America has a but. We are a compassionate and generous nation but we are systemically racist internally. Millions of people from all over the world dream of making it to our shores but we are an extremely oppressive society especially with those that are different from us. Of course you receive the same chorus of statements that get more to the point. America is driven by white supremacy. America is and always has been about inequality. With the presence of such inane and blanket statements where does anyone find any common ground? When one makes a blanket statement about an entire race of people how do you approach that person and try to have a dialogue to try and better understand why it is they feel this way. With the actions of the past year getting a man on the street opinion might get you beat up. It is like we are all out to get each other but for what. Does Black America really believe that myself and millions just like me hate them and think that somehow they are less than in my eyes. It is a proposition that sounds absolutely ludicrous and yet I guarantee you could find quite a few people who believe that. How did people in America come to think such things politics plain and simple. In the days before the passage of the Civil Rights Act and the accompanying Civil Rights Movement black Americans especially those in the south found themselves not much better off than the days that they were in bondage. Back breaking work share cropping and making barely enough to keep your family fed. This time in American history is where we witnessed a mass migration to the cities of America in search of not only jobs but a hope to escape the segregation and subhuman treatment of the deep south. In the cities there were jobs to be had and money to be made for those that possessed the entrepreneurial spirit. It seemed like a perfect formula. The only problem was is that though black America thought that the north was this place where racism somehow did not exist or at least not as bad as what they had experienced outside the city. However they would find like in all big cities people are by and large neo-phobic. As a result they saw that even though they had made the move to the city the racism and discrimination still existed. The wages were there but were usually barely enough to keep a roof over your head and food on the table. Slowly but surely the inner cities of the US became harder and harder places to live as violence and crime began to run rampant. The poverty and despair that existed back then that still to this day causes so many to think that the only way out is to turn to fast money. Pity that fast money and crime are almost synonymous with each other. In the 1960s post JFK the POTUS was a rather vile racist Im not proud to say is from my home State of Texas. Lyndon Baines Johnson was one of those Presidents whose legacy is bathed in young Americans blood and rife with racist policies that have helped more than anything to mold society into what it is today. At the time minorities in the inner cities were certainly victims and at that time I think the idea of welfare as a means to get you on your feet was not such a bad policy. Almost from the start though folks were gaming and using the system so that they could stay home all day and do whatever they wanted so long as the check kept coming every month. My paternal Grandfather of whom I am proudly his namesake passed away in 1966 leaving my Grandma to take care of herself and four kids. Though no one in the world could think of a more deserving family in need of help my Grandma refused to go on welfare. She elected instead to take a job as a Secretary and worked for almost 50 years in that field. An old friend of my Grandpa built houses and let my Grandma finance through his company and though it was hard my Dad and his three siblings never wanted for anything. My Dad told me that sometimes it annoyed him that the people on welfare made more money than his family and never lifted a finger. Welfare was meant to be a temporary fix but as LBJ knew full well it was an elaborate ruse to turn the minorities of this nation into a dependent class of citizens. Is it any wonder that crime remained even metastasized in some cases and slowly but surely the fatherless rate began to increase? The biggest cause of father absence in my humble opinion is that through welfare women did not need a man if she did not want one. Her check would still come whether her babies Daddy hung around or not. This factor plus men shirking their responsibilities and the worst scourge of all abortion have all been the perfect mixture to make folks in inner cities not only dependent but reliable in that the politicians know so long as they keep dolling the people will keep voting. The Great Society veiled in all its promise to rid the country of poverty and make racial equality the forefront of LBJs agenda. In truth he once told a staffer that if he could get his legislation passed he would Have those ni##ers voting democrat for 200 years. It was all by design to keep minorities where he and many of his fellow Democrats exactly wanted them poor and dependent in the cities. Not empowerment to be able to have access to better jobs and a chance at the American dream but in essence to completely re-enslave the inner-city minorities of this nation. One need look no further than the aftermath of Hurricane Katrina to see still how dependent people are on the government. This is the systemic racism that people speak of. Though the media has done its part to fan the flames the politicians have constantly used incidents of crime to weaponize racism against their political foes. The unholy alliance between the media and the left has served to do nothing but bring this nation to a point that I am actually afraid. Post George Floyd which was an amazing opportunity for us to unite but was immediately politicized and the anarchy that followed may never be repaired. Every time I think that we have common ground someone or some group comes in and makes it about racism though the reasons get more and more insane by the day. So much so that AOC recently lectured all of us to remind us that even Climate change is to blame for racism. I keep waiting for Rod Serling to jump out and tell me what I am seeing is not real. So far to date I am still waiting. So what is the solution? I will not cop out and say your guess is as good as mine but in reality its pretty much the truth. I can remember the Black Power movement of my generation with Public Enemy and everyone having their Sista Soljah moment. After the election of a two-term black President I had thought that maybe we were back to a time where race was not the end all be all of human existence. I keep trying to think about legislation that has already been proposed yet every time I turn around our current President is reminding me that I am inherently racist. It is utterly amazing; he knows things about me that I dont even know myself. There must be common ground though. Somewhere out there something must exist that we can all as Americans be proud of and rally behind. I have seen so many great activists try to do that very thing and have had success doing it. People like Starr Parker and the great Candace Owens come to mind. I admire their ability to look critically at the real problems in America today no matter how vile the backlash may be. I do not want to sit at the table with ANTIFA or BLM for that matter. All they do is divide us at every possible turn. I genuinely believe that with grassroots organizing most especially with faith leaders is our only chance to affect a positive change on the Wedge that constantly is hammered to drive us all further and further apart. It pains me to go through social media these days and hear almost a hope for a civil war. I know I do not want that and I believe in my heart that most Americans do not either. I have always tried to teach my children to be color blind. My wife and I must be doing something right because almost without exception my kids best friends are minorities. I truly hope and pray that maybe one day we will again be the American family where everyones opinion is protected. Where we can come together to find solutions to the problems that we have because they are hard and require us all. Our leaders are supposed to be the ones that work to unite us the most. Politics is not a service done out of responsibility so much as opportunity. So long as that is what motivates the majority of legislators nothing will change. Let us not give up though. Just like I believe that we do not need the government intruding into our lives I do not want them intruding in our differences either. The best charity and the best help has always come from citizens acting on their own. We must share this land whether we like it or not is it truly too much to hope that we can share what brings us together. It can happen. We all can affect change in our own lives. We all make the world the way it is and as has been said through history a house divided cannot stand.  The Pamphleteer,political,Facebook
The POLITICAL RECORD of Sylleste Davis SC House 100.   01/18/2016: Sylleste Davis Co-sponsors H 3516 to Increases Gas Taxes and Vehicle Fees.  08/30/2016: Sylleste Davis fails the 2016 Political Courage Test.  03/01/2017: Sylleste Davis votes Yea on H 3516 to Increases Gas Taxes and Vehicle Fees.  04/05/2017: Sylleste Davis votes Nay against H 3930: Constitutional Carry of Guns.  12/22/2017: Sylleste Davis is rated 67% by NRA.  09/25/2018: Sylleste Davis is rated 50% by American Conservative Union.  10/04/2018: Sylleste Davis fails the 2018 Political Courage Test.  03/26/2019: Sylleste Davis votes Yea on H 4243 Authorizing Tax Incentives for ultra-billionaire Trump hating Carolina Panther owner to build training facilities in South Carolina.  02/28/2020: Sylleste Davis is rated 44% by Republican Liberty Caucus of South Carolina.,political,Facebook
I CANT BREATHE youve already got me in shackles with your knee on my neck and I am begging you to please just let me breathe. When you first approached me with guns drawn I SAID HANDS UP DONT SHOOT I am unarmed and out numbered 4 to 1 but yet you persist in saying I am resisting when its clear I have no fight in me because I CANT BREATHE ! And as I lay on the concrete with three officers holding me down I am already shackled. I ask over and over again please officer I CANT then I suddenly realize I havent enough breath left except to call out MOMMA! I see my mother in spirit form calling for me . Im starting to leave this earthly realm.My heart beat is slowing down and I feel the weight of this world fade away. But wait have I forgotten all those that love me and will be in emotional agony once Ive passed over from this earthly realm? Do I have any unfinished business to take care of? My family and loved ones will they be okay? And as my spirit rises I think I no longer have these options or worries because you became my judge jury and executioner that day. And All because you never saw me as a man you never saw me as a human being you had no care for how many lives you ruined that day. And so I have ascended to a higher plane no more cares of this world. Joy Joy Heavenly Joy .And as I hear my last heart beat I can faintly hear my brothers and sisters pain and outrage and they are saying NO JUSTICE! NO PEACE! POLICE THE POLICE! And now I am finally at peaceBy: Mary Lee Lawson with Melly Ntice Jordan and 35 others.,political,Facebook
For those of you seeing the ads Tess Judge is the Socialist-Communist Democrat candidate running against Conservative Republican Senator Bob Steinburg.  Tess Judge will vote to Defund the Police Ban Confiscate and Destroy our Guns Raise our Taxes and turn North Carolina into California.  Judge endorses abortion up to and including the moment of birth funded with our tax dollars.  Judge believes biological men should be allowed to compete with women in contact sports.  And Judge wants to repeal North Carolina's Right to Work Law.  Whatever kooky idea some crazy liberal has thought up you can count on one thing...  TESS JUDGE WILL VOTE FOR IT.  Don't Let Her Win.  Reelect Senator Bob Steinburg Representative Bobby Hanig and the every other Republican from President Trump to the Courts to School Board.,political,Facebook
Woke  People of color are so vulnerable to violence against us out here in these universal streets. Since weve supposedly come so far you shouldnt expect it to be at the hands of those in squad cars ridin the beat. They come as though with us they already have beef but then wonder why we have no trust when they see that we see their mirror-like transparency.  When the 911 call is dispatched and the description of a black male is heard the cops as robbers respond with hearts of contempt and deceit. See theyve already decided that the black male is a suspect and imminent threat so shoot to kill is the aim and they dont give a damn about trying to hide or be discreet. The fact that he could be a victim never crosses their mind so he doesnt stand a chance against those who think theyre the elite.  Young peoples lives fall unnecessarily and incomplete simply because a cop wants to defeat what was never a challenge for him to even cowardly cheat. Sons end up with bullet holes even when theyre cooperative and silent in the backseat.  White parents dont give it a second thought when their teenage son is stopped by the impartial police. Him getting a ticket is itself the relief or perhaps not being properly belted in the safety of his seat. They have nothing to worry about when their sons and the friendly police meet.  When our sons encounter the heat its an entirely different non-impartial greet. Uniforms roll up in the form of a fleet with guns drawn and their presence is bittersweet because its unknown what theyre intentions may be. Will they steal the life of a future pro athlete; or that of a young brother whose desire is to study pharmacology like they stole the life of E. F. Bradford Jr. a brave young man who served this country as a member of the U.S. Army? Will they shoot because all black males to them are worthless deadbeats? For too many of them it seems to lay down a black man is a satisfying and personal treat.  Those that have sworn to protect can be as hateful as those with the cut out eyes in the flat pale sheet. The way theyve been walking away without any justice it seems the ultimate feat is to make our black men cease to exist  just obsolete. Theyve been able to rely on a crooked system to back their mission with hopes of making it complete. Its all laid out with archives of affidavits of fiction and lies recorded down on memo paper nice and neat.  All the young black lives that mattered were violently and maliciously stolen gunned down or choked to death out on the hardened concrete. They kill us and dont even bother to radio for help. Sometimes a family member arrives just in time to see the last breath from their loved ones fading heartbeat. Too many parents have suffered this unspeakable grief and it is a harsh and painful reality. It can bring us to our knees and make us feel helpless and weak. But maybe someday.......  Maybe someday we will no longer be profiled and targeted by L-E. Maybe someday equality wont be just a fantasy. Maybe someday we too can enjoy that privileged life of entitlement that was likewise our God given right to be free.  Judy Leggett,political,Facebook
If Republicans surrender on Red Flag bills to take away guns without due process doesnt that legitimize the entire Democrat argument on this issue?  And if so where is the logical end to such an approach?,political,Facebook
Huge Estate sale this Saturday October 19th @ 10AM!! House for sale several nice vehicles appliances furniture antiques guns and much more!!!!! CLICK LINK FOR FULL DETAILS!!! DANNYWILLIAMSAUCTIONS.COM Welcome to Danny williams auctions,political,Facebook
"Christmas is fast approaching and we would like to ensure a safe and happy holiday for all.  A number of parents will be purchasing play guns or the iconic Red Ryder B-B-gun that so many kids want or B-B or pellet or paint guns. Some will purchase hunting rifles for those old enough for their first hunt. Whatever it is you choose for your family is exactly that-your choice. We would just like to put forward a few reminders to keep everyone safe.  A toy pistol with or without an identifying red end on the barrel is very difficult to see. Also most kids will remove the end at first chance. A law enforcement officer has to make several split second decisions when encountering anyone with any type of gun. A B-B- gun that resembles a 9mm a B_B_rifle that resembles a AK is extremely difficult to differentiate from toy or weapon from near or far. Todays ""toys"" are very realistic.  It is important to teach your child the basic rules for handling any weapon real or toy. Also teaching your child to obey any command given by a law enforcement officer under any circumstance is vitally important. Our law enforcement officers do not have the luxury of knowing what your child received for Christmas much less if what they are carrying is deadly or a toy.  Please be responsible and safe.",political,Facebook
