AdText,Category,Platform
There is still a runoff election. Early voting is May 24-29 at the Library. Election day is June 5. The races are for Place 2 and 4.  For too long Leander had people run for the wrong reasons and as a result they put their trust in staff who were hell bent on new urbanism and multi-family developments everywhere. That is why we see so many being built today. The strain on our infrastructure by these types of developments and the lack of foresight in how the systems were built led to the water issues we have today. Unfortunately improvements are expensive and take years to complete.  Donnie Mahan has served on our Planning and Zoning and understands the issues we face. I hope and pray that people who care about this city will get out and vote for him because in my opinion he must win or things get rough in a hurry. I love this city and have spent 6 years trying to turn the ship and point it toward long lasting success. Now its up to all of us.,political,Facebook
Greetings Residents  I have been tagged in a recent post concerning the water in one of our neighborhoods here in the City of Riviera Beach I must say that I too am appalled at the coloration that some residents have experienced coming out of their faucets. While I am quite certain that Utility District and City staff are working diligently to resolve this issue I ask residents to remain patient. #tough2say  Although there is no excuse for the water situation we must understand that this issue did not just begin. It is the result of years of blatant neglect and failing to address our crumbling infrastructure needs. I can assure you that I have and will continue to fight to ensure that the City of Riviera Beach does not become the next Flint Michigan. Currently we are aggressively working hard to bring a long-term solution to this long overdue issue. Our city manager and his team are working round the clock to find the most cost effective solution at building a new water treatment facility.  I ask that you write and call your local elected officials show up to the city council meetings and voice your concerns On The Record.  Again this issue did not just begin most of our infrastructure predates the 1960s where little has been done to improve it and we are working towards a permanent solution.  It's now more apparent that our water infrastructure is in desperate need of an upgrade and the investment must be made sooner rather than later. Clean safe and reliable water is a basic human right and our children and residents deserve the best. While I cannot provide excuses for the past I can assure you this is not going to be the City of Riviera Beach's future. Thank you for sharing this with me I hear you all loud and clear.  Working daily on this!,political,Facebook
What I Support  I support reasonable growth. Growth is currently putting pressure on our infrastructure and school systems. We need to have sustainable growth. Growth that pays for itself. (Including School Funding) This would also reduce the amount of school levies assessed to your property taxes.  I support social well-being for youth/teens. (Recreational Areas) Our youth are behind in Idaho. With the growth in mental and emotional health issues. We need to make sure our children have recreational outlet areas to spend time and grow skills.  I support emergency response infrastructure. With our growing community it is imperative that we have the emergency services needed to provide a safe community. Even on the southside of the tracks.  I support your right to bear arms. The II amendment is now and has always been one of the most important. I will never vote to take this right away.,political,Facebook
"Open Letter to Public Office Candidates:  These sort of letters come out very infrequently because I often feel that the time and the mental energy to put well formed thoughts to paper is outweighed by the barriers to the call to action that I am trying to influence.  What inspired this open letter is seeing all of the placards on the side of the road of this years candidates for public office in the Town of Dannemora. Before I begin I will preface with what I call my ""truth in advertising"" in that I haven't lived full time in Lyon Mountain and by virtue the town since 2013. The mountain is where my family is from and where the majority of them are buried. One day sooner rather than later I hope I will return and like those who have gone on before me I too will be laid to rest there. The thoughts of home provoke much emotion and this year for some reason at this time provoked enough to write this.  I often advocate for civic engagement in local state and national government. It is in my opinion a good thing when many people are willing to seek out a public office. I have this question and a request for those who are running and if fate permits you win the office in which you are seeking. Why do you want that office? Really why do you want it? Is imagination that is inspiring you some vision you have? These types of questions may appear cynical and I would concede that I get older I am probably getting more cynical to the dysfunction in government that I have been seeing but the question still stands; why do you want that office & what agenda do you have?  My own civic engagement started in 2004 with a campaign run for Northern Adirondack school board a campaign that I lost twice and then finally being elected in 2006. I can't say with any certainty anymore what was my primary desire for running but as I served that 5 year term my agenda shifted toward being community centered to use the school as a catalyst for community economic and academic development. The only reason I mention this isn't to blow my own horn but to establish that I am not writing this looking entirely from the outside in. I have and do engage civically when possible.  I grew up listening to countless stories of what life was like living in Lyon Mountain the 20's the 30's the 40's and even the 50's and the common theme that despite the hard work and the tragedy that mining can bring to a community; life was good people worked hard and played hard and there was a sense of unity despite families from different backgrounds and cultures coming here to work. This economic train started slowing down in the 50's when Republic Steel started selling off company owned housing and the train came to a complete stop in August of 1967 when the mines were shuttered. Our ""sister"" hamlet of Mineville fared slightly better and their operation went silent in 1971.  What did we as a community do since then since 1967? We merged our school with Ellenburg & Altona. We did keep our school as an elementary school until what 1980 and then sold it to the New York State Department of Corrections who turned it into a minimum security facility (which is moot now since it was closed and sold and still vacant). We sold the byproduct of our ancestors hard work and sacrifice to a foreign owned company for which while community taxed may have been kept low I have seen no other tangible benefit. The point of this is if we did try to do anything to bring in or restart any economic engine in the community what was it and what was the outcome? If I am way off base on this please educate me civilly and respectfully of course but my answer to those questions is we tried very little and there was very little outcome for what we tried.  The federal government whether we agree with it or not want it or not will be investing millions if not billions of dollars in infrastructure improvements. These can be renovation of existing infrastructure or new construction entirely. My proposal is this; we have two derelict reservoirs within 5 miles of each other. One on the outskirts of Lyon Mountain one on the outskirts of Standish (but that's in the Town of Saranac and not my primary focus here). We should architect and implement microhydro electric plants at each of these locations. Additionally in the space that is colloquially known as the ""tar plant"" the area that surrounds the NYSEG substation right outside of Lyon Mountain should be used for a solar array. I'm not a zealot when it comes to green energy or environmental stewardship by any means but I feel strongly that any idea is a good one when compared to no ideas. These are my best two ideas ideas that align with government initiatives ideas that align with having the base facilities (the reservoirs themselves) and ideas that align with having the space to do it (the tar plant solar array).  People will argue that either or both of these ideas are too ambitious expensive altruistic or any or all of the above. My own response to that is we only get out what we put in. Anyone who has raised a family in the last 20 years can attest to the cost of that worthwhile endeavor. Everything is expensive now. The question you should ask yourself; is what we are spending the money on provide potential long term gains or long term value to the community and I think either or both of these ideas would do both.  I close this letter to the aspiring candidates take these ideas and run with them and if you have better ideas run with those and don't let those among us who have let their imagination and idealism callous over tell you they aren't worth pursuing. I really believe in these strongly and I'd like to hope that I'd see some ground broken before the conclusion of my life. It's highly unlikely that iron mining is ever going to return to the Adirondacks. We can't wait for someone else to bring economic vitality back to our home. There is no someone else there is only us there has only ever been us. It is often forgotten that while it might have been others money it was our blood sweat tears and even death that built this town whose many stories are fabled.  God-bless and Godspeed Daniel ",political,Facebook
AMENDMENTS ON THE BALLOT -- YES TO 1 & 3. NO TO 2 & 4.  The Jefferson Parish Democratic Executive Committee met Tuesday Oct. 19 in open session to recommend yes or no to state constitutional amendments on the Nov. 13 ballot (early voting Oct. 30-Nov.6):  YES TO AMENDMENT ONE: Would streamline Louisianas fragmented collection of sales and use taxes by providing for a statewide system that promises more efficiency in general and less red tape for businesses that operate in more than one parish.  NO TO AMENDMENT TWO: Would cost the state about $25 million in revenue per year through a tax swap that would eliminate the federal income tax deduction but also cement into the constitution lower personal income tax rates that primarily benefit wealthier Louisianans. That rigidity would restrict the states ability over time to bring in enough revenue to support good schools expand early childhood education fix our roads/bridges and other infrastructure and provide services that middle- and lower-income families need.  YES TO AMENDMENT THREE: Would allow five local levee districts (affecting Cameron Calcasieu Vermillion Iberia St. Tammany and Tangipahoa parishes) to levy up to 5 mills in property taxes for addressing flood control protection without having to go to voters for approval. Other district boards in the state already have raised a millage or have this ability which allows them to move more quickly on necessary flood-control measures.  NO TO AMENDMENT FOUR: Would allow the state to double what could be cut  up to 10% instead of 5%  from protected funds when theres a mid-year shortfall. That could help safeguard unprotected funds such as Medicaid and higher ed from a sudden ax. So far so good. But whats bad about this amendment weighs heavier. There is no restriction on how much could be taken from an individual protected fund. Some could be gutted. Raiding the protected funds could very well evolve into a political crutch for solving budget issues  especially if combined with lower taxes that are constitutionally baked or politically driven. And if Louisiana has too much revenue siphoned into too many protected funds then they should be carefully weeded out.,political,Facebook
Hello Everyone! I am Eric Ritter and I am proudly announcing my candidacy for New Castle City Council on the Democratic ticket. I am a life long New Castle resident and a husband to Lacy and father of two children Noah and Aubrey. I currently am the owner and operator of EGR Home Services located in New Castle. I also serve the city as Vice- Chairman of the Government Study Commission a member of the New Castle Zoning Board President of the Lower East Side Community Crime Watch and a member of the Elm Street Project. Being in service to the city is definitely a passion of mine.  I am running for council because I want to be a part of the change that all of you want to see! In 2012 my family and I fully renovated a house that was slated to be demolished on Crawford Avenue. We took great pride in rehabbing a house that was in the neighborhood I grew up in but many other problems plight my neighborhood and many others in the city. When I walk down my street I can see dilapidated homes vacant commercial buildings and unkept properties. I see pot holes in the streets. Many nights I hear sirens and see flashing lights from my window. While our city has so much beauty there are still many problems that need addressed.  As a council member I promise to keep these problems at the forefront. I will work to combat blight and failing infrastructure recruit and retain local businesses and practice fiscal responsibility with your tax dollars. I will support our citys critical services including police fire and public works and bring my experience as a home owner business owner and local volunteer with the city to best serve you all. As a building tradesman I am used to rolling my sleeves up and getting to work. I will be no different as a councilman! Thank you all and I humbly ask you for your vote on May 18th.,political,Facebook
The California State Legislature is voting to pass a law that will allow developers to move into every single-family home neighborhood in California and turn them into high density neighborhoods. Senate Bill 9 (SB 9) will result in the elimination of all single family home neighborhoods in California. It is being erroneously touted as a duplex bill but it is absolutely not a duplex bill. Under SB 9 a single family home lot can be bought split in half and 2 units can be built on each half. When combined with existing Accessory Dwelling Unit (ADU) law this parcel split can result in the creation of up to 6 8 or even 10 units on a previous single-family home parcel. ADU law has separate authority which enables the construction of the additional units. At the very least this bill will result in the creation of 4 units where 1 single family home once stood.  It is URGENT that you contact your California State Assemblymembers now and ask them to vote NO on SB 9. You can find your Assemblymembers contact information at the following link:    Further the homes built as a result of SB 9 will not require any local discretionary hearing or review including compliance with the California Environmental Quality Act (CEQA). Local ordinances can be ignored by developers under this law which will result in significant environmental and community impacts. Also there is no obligation to upgrade gas water power or sewer so the existing infrastructure will have to support 4 to 10 times as many people. Setbacks will be reduced to 4 feet so we will lose shade trees and yards to absorb rainfall. California is already a concrete jungle and we have a severe water shortage as it is so eliminating yards will be devastating to our water supply.  This bill also requires only 1 off-street parking space per unit none if the unit is within 1/2 mile of a public transit stop. This limited parking space requirement will result in parking nightmares for all residents. Just because residents live within 1/2 a mile from a bus stop does not mean that they will take a bus and the majority of residents have more than 1 car per home. Exactly how do our State Senators and Assemblymembers expect a parent to take multiple children to daycare and schools on a bus and still make it to work on time? It won't happen and these newly created parking impacted neighborhoods will make it difficult on all residents.  I have been carefully following SB 9 as it travels through the California State Legislative process and I am shocked that it has virtually sailed through each Legislative stage with virtually no opposition. Do the bill's authors and our State Senators and Assemblymembers really think that they can eliminate single family home neighborhoods in California without enraging the 21 million people who reside in these homes? The only reason that there has not been an uproar over this bill to date is because the majority of Californians have no idea that it exists.  Californians are busy earning a living and raising their families and they depend on their State Representatives to protect them from harmful laws being put before the California State Legislature. It is difficult to conceive of a more aggressive and harmful law than SB 9 and it is shocking that the California State Legislature is attempting to pass it without public input. If passed it will have a disastrous impact on millions of single family home owners in California and without any public transparency at all. Such a sweeping change that will have such an adverse impact on California homeowners should not be implemented without being put before voters first.  Another disturbing aspect of this bill is that its proponents are stating that it will result in more affordable housing. In reality it does not include any provisions for affordable housing and the homes produced as a result of its passage will be market-rate. This will have a devastating impact on low income neighborhoods and will result in gentrification. Even if it were amended to include affordable housing it would be limited in scope and would still result in the destruction of existing stable single-family home neighborhoods.  The Senate passed SB 9 with 28 Ayes 6 Nos and 6 who did not vote. It is URGENT for anyone who opposes this bill to contact their State Assemblymembers now and ask them to vote NO on SB 9. As it stands now SB 9 will pass when it goes to the Assembly floor and single family home neighborhoods will be a thing of the past. It is up to us to change the Assemblymembers' vote from Aye to No. You can even write a letter to all Assemblymembers or call them directly.,political,Facebook
"Yesterday I sent out a newsletter from my campaign to my supporters that gave a little more info as to whom I am and the values that I believe in. Most of you know my name or face but beyond that more can be found in the following text of my newsletter titled ""The Future is Yours and it Starts Now""    Sep 10 2021  I want to talk about why we need a change on our Board of Supervisors in Frederick County and why I am running. We need to ensure that our children have a bright future for their own children which is why we need leaders with vision  not just individuals with political agendas.  Many of you only know me by name or face but let me tell you a little about myself. I was born in Arizona and lived there 40 years before moving to California. Phoenix was where I met my beautiful wife to whom Ive been married 44 years. We have two children both of them raised with a strong religious foundation. We were also very involved with our childrens schools participating in the PTA. My wife was Homeroom Mom.  In 1990 my job took us to the San Diego area. Our son and daughter both received their degrees from a local college and went on get their Masters. My daughter moved to Virginia in 2004 working for the government. She married eight years ago and now has two children. My son moved to Virginia in 2006 married his husband five years ago and also works for the government.  You and I have followed different paths but we have experienced many of the same hardships and joys and we share similar dreams. We lived paycheck-to-paycheck early in my career sometimes working two jobs to ensure that our children were able to get the best that we could give them.  I am running for the Board of Supervisors because we need to start making positive and forward-thinking changes now. Frederick County is one of the fastest-growing and most desirable counties in Virginia. The countys population is expected to grow 30 percent in the next 20 years  from 90000 to 117000. We need people with the vision to prepare our county for this expansion in business education and infrastructure. We cannot have people in power who follow their own agendas or do not have the necessary experience to lead  people who tell us Thats how it has always been done. We need leaders with vision leadership capabilities and proven experience.  Since moving here seven years ago I have been involved with:   Educationworking for Head Start on several committees with the Winchester and Frederick County public school systems and on the development team for Inspire 2025 a strategic plan for FCPS.  Businessserving as CEO of the Top of Virginia Regional Chamber of Commerce working with over 800 members to assist in growing their businesses and developing relationships with senior leadership and small business owners and serving on the Virginia State Board of Directors for Chamber of Commerce Executives.  Communityworking extensively with a number of non-profits. While on the Blue Ridge Hospice Board I was appointed interim CEO where I served for a year and a half navigating the impact of the COVID pandemic. I also serve on the steering committee of the Non-Profit Alliance of the Shenandoah Valley was recently elected to the Board of Directors of the Community Foundation of the Northern Shenandoah Valley and have participated on several Shenandoah University committees.  I could have chosen to run for the Frederick County Board of Supervisors as an Independent but the Democratic party ideas most closely align with my own values. As such Im running as a moderate Democrat striving to reach Independents and moderate Republicans. I believe in the 2nd Amendment for all Americans which protects the right to gun ownership but I also believe that there should be common-sense laws regulating high-powered military-style weapons. I believe in equality and opportunity for all people and in protecting the rights for people of all races religions and genders in our community. I believe in the availability of healthcare for all and private insurance as an option. I believe in investing in our schools and community for high quality education for our children with supporting infrastructure such as housing broadband and transportation. I believe in promoting business growth to elevate incomes for our families financed in such a way that it provides a fair and equitable return on our investment. If you agree with me that it is time for a sensible change on the Frederick County Board of Supervisorstime for leaders with the vision to take us into the futureI hope you will support my campaign with a donation or your volunteer support. And I thank you for your encouragement.  PS: As we prepare to mark the 20th anniversary of the terrible attacks of 9/11 I know you join me in acknowledging and thanking our own first responders and others who bravely put their lives on the line every day. We Must Never Forget!!  Read in browser    Recent Emails: An Invitation from Richard Kennedy The COVID-19 Impact on Education Meet Richard Kennedy An Independence Day Message from Richard Kennedy Richard Kennedy on Our Educational Challenges",political,Facebook
ISRAEL  THE INSANITY CONTINUES  Rabbi Yakov Saacks The Chai Center Dix Hills NY  I dont know about you but whenever I hear the term conflict in Israel I am incensed as there is no conflict per se but rather a barrage of rockets from usually the southern border coming from Gaza courtesy of Hamas or from the Northern border gifted from Hezbollah with Iranian money and support. These rockets are not aimed at military sites or other strategic places that would help their military cause. Rather they are aimed indiscriminately into civilian residential neighborhoods killing and maiming men women and children.  NO COUNTRY There is no country in the world that would tolerate such attacks on its citizens. None. There would be fierce retaliation to not only stop the rockets but also to punish these vile aggressors. The fact that Israel warns the inhabitants of buildings to flee before retaliating in order to minimize casualties is a tremendous act of kindness. Once again no other country would warn their enemies before attacking them giving them advance notice.  While Israel recognizes life as sacred which is not the case with people that advocate homicide bombings I believe that Israel does not need to practice restraint against terrorists groups like Hamas or Hezbollah.  In fact it is Israels sacred duty to defend her citizens at all costs as it is the duty of every other nation. Israel should not be the exception.  PROPORTIONALITY - A FAILED ARGUMENT There is a failed argument called proportionality. It is an insane rotten vile nonsensical approach to attempt to hinder Israel from protecting its citizens.  The proportionality argument goes as follows. Since Israel is a stronger force with a larger army it needs to reduce its power to the same capacity or in proportion to its enemies. This is immoral and wrong. In fact if Israel would act in proportion to Hamas it would kill men women and children via cowardly attacks at bus stops and malls.  Furthermore proportionality is not an accepted premise under international law. Lets be clear Israel is not a wrongdoer for having a superior military and Hamas is not a poor victim for having a limited military.  U.N. First if you were silent when Israel was barraged by thousands yes thousands of rockets upon its citizens then you need to be silent now. One cannot spout one-way rhetoric. This goes for the U.N. who only gets involved in a panic when Israel responds. The U.N. is immoral and serves no purpose other than to condemn Israel for human rights violations. Some of the U.N. countries who lead the U.N. Human Rights Council are China Venezuela Russian Federation and Cuba. I am surprised that North Korea is not in on the action as well. You really cannot make this stuff up.  MONEY It takes a lot of money to fire thousands of rockets. Where is this money coming from? Who is supporting terrorist causes who kill children?  Can you imagine if this same money went into infrastructure like schools hospitals and universities? Is there enough money to vaccinate the populace of Gaza against Covid or is all the money going to jihad?  Last I looked Iran has given 1.77 million doses of which 292000 have had both doses and are fully vaccinated. Now Iran has a population of close to 83 million. Should this not be a priority? It is not. The priority is to take money from nave and other Chamberlainesque countries and convert it into weaponry that causes death and destruction in its wake.  It is no Mitzvah to give them money. It is quite the opposite. It is a dastardly act and needs to stop.  GAZA STRIP We must remember that most Gazans are civilians and are being held hostage by a wicked unscrupulous crooked group who have blood lust on their minds. While it is true that Hamas was voted in by the Gazan populace this is because the Palestinian Authority had less money to offer than Hamas. This is a hard lesson learned. One has to be careful what they wish for/vote for because now Hamas rules with an iron fist. Besides the last election took place in 2005. Who knows what the outcome of a more recent election would look like?  For every Israeli and Gazan that is killed I place the blame on Hamas Palestinian murder trivializers politicians who give terrorists money bias media reporting. BDS fools and any and every outside agitator.  You have blood on your hands.  I pray for peace.  Feel free to share. Not sure it will help but on the off chance.,political,Facebook
Rodolfo Arevalo Candidate for Spring Hill City Council Questions for candidates:  1. What is more important for our city right now: building new homes or adding commercial space?  I believe that one of the critical needs for the city is to increase economic development by bringing more businesses to our area. This would include small restaurants service providers and mid to larger industrial companies. This would increase our tax base and decreases our reliance on residential property tax. Commercial space would be needed and designation of another industrial area.  2. If you are elected what three steps would you take to put our city on a firmer financial footing?  If I was elected I would:  Initiate the creation of a long term strategic plan for the city. The plan would identify long range goals and priorities for the city.  Conduct a forensic audit of the city budget and assess how current expenditures focus on the concerns of our residents and needs of the city.  Define funding priorities and insist on adherence to funding limits in all city departments.  3. Which is more important: the new neighborhoods (subdivisions) or the old main part of town?  I dont believe that one is more important than the other. Service should be provided in an equal bases and on the needs identified by priorities identified by the citizen of Spring Hill. The older parts of the city may have more needs in the area of infrastructure because of the age and how systems were develop years ago.  4. Do you feel you are more conservative or more liberal?  I am more conservative but am willing to take a critical look at how we provide service to our citizen. I am definitely fiscally conservative and have always tried to do right in a fiscally sound way.  5. What do you hope to accomplish in your term as a city council member?  I would like to ensure that city services and programs are responsive to community needs; That as a council we become more open and responsive to our residents and that we communicate clearing the reasons for why services programs and funding are initiated and why goals can or cannot be achieved. Having said that I hope to reduce property tax level increase senior staff productivity reduce waste and focus on long range infrastructure maintenance of streets drainage and sidewalks.  6. What are your thoughts about the new justice center?  I believe that the current city council and mayor have not had thoughtful discussion of the issue. As a result there was an uninformed decision to contract for plans to develope an architectural plan for a new building. It is interesting to note that since the idea was flouted and a firm hires to put a design together that nothing has been reported for over six months. I do not believe a center is needed and that there are more reasonable alternative to resolve some the issues expressed by the police chief. I would not support the building of a justice center at this time. I estimate that such a building would require the property tax mill levy would have to be raised between 7 to 9 mills. This would not be fiscally possible for most residents of Spring Hill.  7. How have you already been volunteering or serving in the city?  I currently volunteer at the Spring Hill Food Pantry and have done so for the past four years. I am concerned about the wellbeing of our residents and assist were I can. I also serve as an election worker/volunteer assisting the county during local and national elections. I am also a member of the Spring Hill Rotary Club who is engage in many volunteer and philanthropic activities in the city and school district. We are fundraising for completion of Veterans Park.  8. If you received a $1 million grant to use for the city any way you wanted what would you prefer to do with and why would you use it for that purpose?  I would use the funds to make infrastructure improvement in the older section of the city. This would include improvement of drainage initiation of a street and sidewalk enhancement. If possible I would seek to improve the old downtown business district and use funding to increase business development by enhancing building and streetscape to create a more inviting atmosphere. These improvements would encourage more visitors to our history downtown.  9. If you are not elected what would you do to try to help work on ideas or issues that are important to you as a citizen?  I would continue to serve on the Planning Commission in order to influence long-range planning effort by this group and encourage the City Council to act on them. I would continue to participate and attend the Johnson County Commissioner meeting and our City Council to provide input on issues that would benefit the city.  10. What do you feel makes you stand out from other candidates who are running?  I have over 42 years of experience working with public service organizations. With over thirty years in administrative and leadership positions. I have an educational background and experience in accounting and financial management with responsibility for an annual operating budget of approximately $240 million dollars in my last position. I currently serve on the Spring Hill Planning Commission have attended city council meeting for the past four years and regularly attend meeting of the Planning Commission Cemetery Board and the Parks Advisory Board. I have volunteered to serve on local and county government boards and commissions in a number of cities in Kansas Texas California and Washington. I have been involved in volunteer organizations such as; The United Way Rotary Clubs Optimist Club Leadership Hays YMCA Mental Health organizations Community Child Development Center Santa Clara County Commissioner on the Commission for Developmentally Disabled; Hays Chamber of Commerce; West Plains Chamber of Commerce Cheney Washington; Greater Spokane Incorporated (Chamber of Commerce/economic development); Spokane County STEM Learning Network; International Trade Alliance Advisory Board and Chairperson Governors Public Health Improvement and Planning Commission for the State of Kansas. I have experience in organizational strategic planning and supervision of large complex organization with staffs of over two thousand employees.  I have experience in budget allocation/financial management and implementing of organizational planning . I have worked and developed relationship with state legislator business persons and worked with private and public foundation. I have been engaged in grant writing and have obtained over $9.4 million dollars in grant funding from federal and state sources. I have also participated in the Johnson County Leadership Academy to learn more about how the city can partner with the County to achieve our goals. I have been a resident of Spring Hill since 2014 and would like to assist the city with its future development.  I am an independent citizen willing to work hard for the betterment of our city. I continue to learn more about the needs and concerns of our residents every day and dont have all the answers for resolving all of the citys issue but am ready to work to build coalitions with those that have the same interests.,political,Facebook
