AdText,Category,Platform
"This a call to all Patriotic Texans  As some you may or may not be aware of there is a very large illegal alien caravan headed towards the Sovereign Texas border on/about 25 October 2021. We must put a stop to this and help our states and local Law Enforcement Agencies LEAs to assist them in every way possible in order for them to do their jobs effectively and efficiently.  I am leaving the Federal agencies out due to the fact that their hands are tied behind their backs and for no other reason.  These are the locations were we are needed: El Paso Del Rio El Centro Laredo Rio Grande and Brackettville.  Just to let all of you know. Last night on OAN news a Mexican U.S. based activist made a declaration of war either against the Mexican National Guard or the U.S. National Guard. His exact words were We are ready for war. With or without proper papers if the National Guard comes and they are so cowardly to want war to hit women and children then get ready because we go from the hand of god.""  As if we were the ones that are going to lay hands on women and children. I believe he want the National Guard from Mexico or the U.S. to hurt or harm a woman and child. It would play right into his hands. Now that sounds very much like an affront all Texans.  So let get together in cars trucks and RVs with the Texas flag waving proudly on our vehicle of choice and head to Texas border city nearest you.  Ill be seeing you there.  CW3 (Ret) Jose R Valentin Jr  Texas Volunteer Group  Founder & CEO  82nd Airborne Division Veteran  Former Interrogation & Counterintelligence Technician  SI VIS PACEM PARA BELLUM",political,Facebook
"RANDOM PSYCHOLOGY 131 Welcome been a few days now that I talked said anything in particular time slips away and life is as life always is it is ""busy"". BTW if you are new here  as in if you have joined the page recently qelcome and thank you also please share the page with your friends or on your timeline I will appreciate that. Also if you like they page you can always come back for more I hope that you do. What is the purpose of life? It used to me that many smart people spent their lifetimes looking for a purpose and meaning. Most of us  however are too busy today to spend time contemplating. We talk about the attitude of people when in reality we are actually talking about ourselves only in third person as if the words we are speaking do not describe us individually. I have told you before that I am not a religious or a moral person I do not mean to offend anyone. If you have a God more power to you if you don't it is not my business. Whether you belive in a god or many or none there seems to be a common lesson in most if not all religions which is the same lesson that we can derive from the so called modern day spirituality or the ancient philosophies also. If the ""spirituality "" tries to teach us to let go to let it be to stop worrying and such then does a belief in an omnipotent God also not require the same? If God is in control and God is in charge and if the God's will is done then why are we obsessed with fixing the problems especially with other people while we ignore our own short comings and work on fixing those first. M. N. R. 13 JUN 2021  A little while ago I posted a short article that I came across from another page about bicycles I will leave it up for you to look at. Back in 1989 I gave a lecture on Drugs and community and later in 2007 I wrote about ""War on Poverty""  ( I will post it here again after sometime). Our leaders the politicians are not stupid they know how poverty is good for the economy how the poor create more jobs than the so called ""job creators"" how the little money given to the poor helps them create tens of millions of jobs while the poor are blamed for staying poor. If you don't agree just look at this one small fact if the poor did not get free money they will compete for the menial jobs and drive down the minimum wage. Whether you get all your money from welfare or from a minimum wage job you make almost the same amount. Similarly the drugs and crime are used to create jobs and increase the GDP. Just look at how many jobs are dependent on the drug abuse and crime. The police the lawyers the doctors ambulance crews nurses bondsman detectives  judges jailers prison guards social workers drug abuse counselors the drug makers the list can go on and on all making money and contributing to the increase in GDP. The law makers don't want this to go away. Similarly petty crime to assault and murder to spousal abuse create jobs. A race war that is short of an outright civil war will be welcomed by our leaders as it will consolidate their base and make the economy look good and no one will notice. The first step here is for the public to understand that the politicians in both sides are in on the scam they are happy that you are focusing on and blaming the problem on eachother and they are not even trying to solve the problem. I will have more to say soon like and share the page please and let's talk. M. N. R. 14 JUNE 2021",political,Facebook
We have had many wise leaders throughout our history. Maybe we should heed there words of wisdom. Such as the words of Abraham Lincoln.  We have forgotten God. We have forgotten the gracious hand which preserved us in peace and multiplied and enriched and strengthened us; and we have vainly imagined in the deceitfulness of our hearts that all these blessings were produced by some superior wisdom and virtue of our own.  President Lincoln was right. We have forgotten God. And its even truer today than when he made that proclamation in 1863. Weve tried to push God out of the courtroom out of the classroom and for all practical purposes out of our culture.  This is what we have to fight for. We have to bring God back into all areas of our culture. The first of these need to be our schools. Our schools were started by the church. though once the government got their hands into it God was removed.  We Need God Back in Our Schools.  This is a Fight for our Future. This is a Fight for our Children. We have to have people such as me on the school boards. People like me will fight and not back down. People like me will stand strong and not let the pressure of our society sway us. People like me will base their actions upon biblical principles and truth first. People like me are not liked by all because we are outspoken and we say what we think. We speak truth no matter if it hurts a person ego or feelings. People like me will fight hard for our children and our schools. We need people like me that know what their job as a school board member is for THE CHILDREN AND PARENTS AND TAXPAYERS.  Some who run think the job of the school board is to help the teachers. Well I tell you this. ITS NOT! The teachers are not the School Boards responsibility as they have a big multi million dollar union that fights for them. The school boards number one and sole priority is FOR OUR CHILDREN. So when people that will run for school board make comments suggesting that they will help the teachers get that raise. Then that is not the kind of person we need. I also am not saying teachers shouldnt get a raise. Though I am saying giving raise to all when not all deserve it is the issue.  Parents and Taxpayers of Gibsonburg School District in Ohio. We have to take our schools back from the grips of the politicians and give it back to the children and the parents and taxpayers. We have to take it back so that the teachers can do their actual jobs again and that is to teach. We have to vote people like me on to the Gibsonburg School Board to help steer our schools back on track.  Please get out and vote for Justin Chafin for Gibsonburg School Board on November 2 2021. We have to have change for our childrens sake.  If you have questions or comments please let me know. I will look into problems and start doing more research on issues you bring to me. As I am working on two issues now getting up to speed and digging in to see where the problems are at in the system.  Thank you all and God Bless  OUR CHILDREN OUR COMMUNITY OUR FUTURE,political,Facebook
"Yesterday I sent out a newsletter from my campaign to my supporters that gave a little more info as to whom I am and the values that I believe in. Most of you know my name or face but beyond that more can be found in the following text of my newsletter titled ""The Future is Yours and it Starts Now""    Sep 10 2021  I want to talk about why we need a change on our Board of Supervisors in Frederick County and why I am running. We need to ensure that our children have a bright future for their own children which is why we need leaders with vision  not just individuals with political agendas.  Many of you only know me by name or face but let me tell you a little about myself. I was born in Arizona and lived there 40 years before moving to California. Phoenix was where I met my beautiful wife to whom Ive been married 44 years. We have two children both of them raised with a strong religious foundation. We were also very involved with our childrens schools participating in the PTA. My wife was Homeroom Mom.  In 1990 my job took us to the San Diego area. Our son and daughter both received their degrees from a local college and went on get their Masters. My daughter moved to Virginia in 2004 working for the government. She married eight years ago and now has two children. My son moved to Virginia in 2006 married his husband five years ago and also works for the government.  You and I have followed different paths but we have experienced many of the same hardships and joys and we share similar dreams. We lived paycheck-to-paycheck early in my career sometimes working two jobs to ensure that our children were able to get the best that we could give them.  I am running for the Board of Supervisors because we need to start making positive and forward-thinking changes now. Frederick County is one of the fastest-growing and most desirable counties in Virginia. The countys population is expected to grow 30 percent in the next 20 years  from 90000 to 117000. We need people with the vision to prepare our county for this expansion in business education and infrastructure. We cannot have people in power who follow their own agendas or do not have the necessary experience to lead  people who tell us Thats how it has always been done. We need leaders with vision leadership capabilities and proven experience.  Since moving here seven years ago I have been involved with:   Educationworking for Head Start on several committees with the Winchester and Frederick County public school systems and on the development team for Inspire 2025 a strategic plan for FCPS.  Businessserving as CEO of the Top of Virginia Regional Chamber of Commerce working with over 800 members to assist in growing their businesses and developing relationships with senior leadership and small business owners and serving on the Virginia State Board of Directors for Chamber of Commerce Executives.  Communityworking extensively with a number of non-profits. While on the Blue Ridge Hospice Board I was appointed interim CEO where I served for a year and a half navigating the impact of the COVID pandemic. I also serve on the steering committee of the Non-Profit Alliance of the Shenandoah Valley was recently elected to the Board of Directors of the Community Foundation of the Northern Shenandoah Valley and have participated on several Shenandoah University committees.  I could have chosen to run for the Frederick County Board of Supervisors as an Independent but the Democratic party ideas most closely align with my own values. As such Im running as a moderate Democrat striving to reach Independents and moderate Republicans. I believe in the 2nd Amendment for all Americans which protects the right to gun ownership but I also believe that there should be common-sense laws regulating high-powered military-style weapons. I believe in equality and opportunity for all people and in protecting the rights for people of all races religions and genders in our community. I believe in the availability of healthcare for all and private insurance as an option. I believe in investing in our schools and community for high quality education for our children with supporting infrastructure such as housing broadband and transportation. I believe in promoting business growth to elevate incomes for our families financed in such a way that it provides a fair and equitable return on our investment. If you agree with me that it is time for a sensible change on the Frederick County Board of Supervisorstime for leaders with the vision to take us into the futureI hope you will support my campaign with a donation or your volunteer support. And I thank you for your encouragement.  PS: As we prepare to mark the 20th anniversary of the terrible attacks of 9/11 I know you join me in acknowledging and thanking our own first responders and others who bravely put their lives on the line every day. We Must Never Forget!!  Read in browser    Recent Emails: An Invitation from Richard Kennedy The COVID-19 Impact on Education Meet Richard Kennedy An Independence Day Message from Richard Kennedy Richard Kennedy on Our Educational Challenges",political,Facebook
A Green New Deal has become a charged term where some people fear that airplanes and cars will be banned because of considerable disinformation from certain political pockets. A Maine Green Deal New Green Deal Maine Compact for Clean Energy: Call it what you will but here is what I support. The conversion of the former Maine Yankee to a facility capable of transferring 156 GW of energy developed by offshore wind turbines would in itself create thousands of jobs and make Maine 100% powered by clean energy by 2030. Investing in solar for housing would create thousands of jobs. Also important in the effort to reduce emissions is to incentivize the sale and purchases of electric- or hybrid-powered personal vehicles and the development of a statewide infrastructure of electric charging stations to make mobility by electric power accessible and practical. These are all solutions that would help us achieve the goals of emission reduction and 100% clean energy as well as create thousands of jobs that will stimulate Maine's economy. In turn Maine's reputation as an environmental leader will bolster and increase environmental tourism in the state also improving our economy. The environment is our economic stimulus post-Covid. We have the ability to both do good on the environment AND jumpstart a new economy all in one fell swoop if our government is able to keep up with the will of the people.  *Benjamin Meiklejohn is endorsed by .,political,Facebook
"An American Nationalist Voting Index - The Square Deal  This is part of a series examining the issues in the presidential election. To see other articles in the series visit the website version of this article cited below and click on the 2020 Elections tab on the Home page.  Score Biden-.5 Trump +2  Roosevelts commitment to the working man was born of two incidents of violence in his life that challenged his fundamentally conservative impulses. The first was the assassination of President William McKinley by an anarchist which led to Roosevelts succession to the presidency. The anarchists were the Antifa/Islamic terrorists of their time and arose out of the economic inequality and discontent that were byproducts of the Industrial Revolution. The second was his service with the Rough Riders in the Spanish-American war. TR saw bravery in both poor Cowboys and privileged Northeast elite in the charge up San Juan Hill and believed their government owed them a square deal for that bravery which he defined as follows:  ""But when I say am for the square deal I mean not merely that I stand for fair play under the present rules of the game but that I stand for having those rules changed so as to work for a more substantial equality of opportunity and of reward for equally good service.""  At the same time he expected the average worker to respond by contributing to his family community and country not simply demanding a handout from the government.  In todays economy we need to change the rules on economic concentration trade and immigration to give American workers a real chance to achieve the American Dream of stable and independent financial security. Biden and Trump have verifiable records with successes and failures on these issues.  Antitrust Law  The abuses of Big Tech have revived interest in antitrust policy and exposed its deficiencies in todays world economy. The problem lies in the fact we are still trying to regulate these 21st century monopolies using 19th century laws. We learned in the 2008 financial crisis that allowing companies to become too big to fail created a new form of monopoly rents by allowing elites to privatize profits while socializing their risk of loss. Meanwhile Big Tech was finding new ways to leverage customer data to monopolize the Internet advertising and product sales market.  The Trump Administrations challenge to the ATT-Time Warner merger attempted to build a case against bigness itself by attacking vertical mergers. Unfortunately the DC circuit Court of Appeals upheld the merger on the grounds it created useful efficiencies which completely misses the point. They also recently filed a lawsuit against Google over their use of their monopoly power over Internet searches to raise advertising prices. However they have failed to pursue modernization of the antitrust laws themselves Despite this failure these two innovative suits earn Trump a + .5.  The Obama Administration also had an active antitrust docket and challenged several mergers with limited success. The losses in both the Obama and Trump Administrations emphasize the need for a modernization of the rules. The Democratic House also just released a comprehensive report on Big Techs abuses of their market power that could serve as a start for a re-tooling of the statutes. All of this suggests Biden should be given a +.5 on the issue as well.  Trade  Protecting America and its workers from unfair international trade practices has been an area where the Trump Administration has shined. They understood the importance of a strong manufacturing sector and have not subjugated American policy to the slow and sometimes hostile mechanisms of the World Trade Organization. Alan Tonelson of RealityChek has pointed out that the tariffs against China and others have not prevented the manufacturing sector form succeeding during the pandemic without a loss of jobs (see his post from October 19). At the same time the administration preserved the strategically important partnership between the US Canada & Mexico by concluding the U.S.- Mexico-Canada Agreement. Trump deserves a +1 for these achievements.  Bidens record and positions are almost the polar opposite. He wants to return to the multilateral approach ignoring Americas unique great power interest in preserving its internal economic strength. However he has also said he would relax the Chinese tariffs gradually and only upon concessions from the Chinese. Biden says he would prioritize developing an international coalition to challenge Chinese state capitalism as well. The latter positions reduce his negative score to a -.5.  Immigration  Trumps actions to restrict illegal immigration have been divisive haphazard and often poorly justified on ethnic nationalist grounds. However they have changed the dynamic and started to limit the use of immigrant workers to compete with Americans (see my post Immigration  The New Slavery). However Trump failed to seize the opportunity to pass comprehensive immigration legislation when he had a Republican Congress. Because of this failure he deserves only a +.5 on the issue.  Biden and the Democrats have understandably concentrated on the necessity of legalizing immigrants that have been here for years. They then oppose any real future controls on immigration and would expand the number of HIVB-style visas thus allowing big companies to use foreign workers to continue to pay substandard wages. As a result they deserve a -.5 on this issue.  Conclusion  Many other changes in the rules of the game are necessary to give American workers the economic opportunities they deserve. Mere income redistribution is not enough. Americans simply want their government to give them a fair chance to compete and contribute; in short the square deal that TR believed in and for which he fought.  If you would like to see the referenced links in the article please visit the website version below.",political,Facebook
Abraham Lincoln said it best that government of the people by the people for the people shall not perish from the earth . Many politicians have never had to work multiple jobs to keep a roof over their families head or owned a small business where you worked from 7am to midnight just to keep the doors open. Over the years we have heard promises to help the people but at the same time it is just false promises to get them elected. Its time we change that we need true representation of the residents of Michigan.,political,Facebook
"Due to the continuing impact of Covid-19 with the economic impact on jobs income and earnings it is becoming increasingly more obvious (and extremely important) that wage-earners develop survival strategies to protect themselves and their own families!  While everyday income taxpayers continue working feverishly to earn a living wage it only adds to the stress and pressure knowing that between January 1 and December 31 of every NEW year portions of YOUR hard-earned paychecks are taken away to pay income taxes BEFORE you receive the reward from your own paycheck!  In fact the money that SHOULD be working for YOUR family is collected and withheld BY LAW from your use until AFTER you file an income tax return...in the FOLLOWING year!  Even then YOU are REQUIRED to file a tax return to determine whether you OVERPAID (a REFUND is due) or UNDER PAID (more money is DUE) for the PREVIOUS year!  Even WORSEyour payments were made to provide the GUARANTEED salaries for the WEALTHY politicians and officials that YOU elected to represent you and fill YOUR needs in federalstate and local organizations and governments!  If you would like to receive information to reverse this situation and put yourself back in the driver's seat then it's perhaps time that we begin discussions regarding a process that can liberate you from this LEARNED process to which you were introduced early in your working career!  To receive further liberating information posts blogs and instructions throughout the coming year continue visiting following and subscribing to this site (still under construction during the upcoming months"" beginning in January 2021)!  This may be the most critical decision you can make at this particularly TROUBLING point in your financial life!",political,Facebook
Hello Gibsonburg Parents Taxpayers and Voters.  We are just a few days away from making a very important decision for our schools and our children. We will have to make the choice to vote for three of the four candidates running for the Gibsonburg School Board.  The last few years we have seen how our schools are run and how concerns and issues are taken care of by our current school board and administration. I have watched as parents have been ignored. I have watched and seen parents be shut down and told time is up to speak just because the current board doesnt want to hear anymore from them. This is not ok! This shouldnt be taking place period!  We as a whole have been concentrating on the mask and vaccination issues facing us and our children all the while it has taken the focus off of the educational issues that face our schools. Over the last several years Gibsonburg Schools have slipped further behind on their grade from the state. Though a positive is no grades were given the last two years so that has helped. This is on the Gibsonburg School Board. Everything starts and stops with them and it seems as if that has been forgotten and the blame just keeps getting tossed around. We need a School Board who will step up and take responsibility for the issues of our district. Though its obvious that only two of them Mason and Mendoza will do so. These two Gibsonburg School Board members spoke up and admitted that they dropped the ball on distance learning for when kids were quarantined. The others took no responsibility for this and this has been a trend for some time. If we dont have a board that can stand up and admit they have failed in areas then they are not who we need and its time to make that change that is needed for the sake of our kids education.  We have to have people on the Gibsonburg School Board who will take the time to listen. Who will take the time to look into the issues that are brought to them. We need a Gibsonburg School Board who will welcome questions and not hide behind this is not a question and answer time in the meetings. We will not get anywhere if we dont have a board that will listen and answer questions and concerns that are brought before them.  I am outspoken and I speak my mind. Though I will also give you the respect that you deserve to speak yours and ask questions. I dont believe that a parent who is being passionate with their words as being a threat or disrespectful. They are fighting for their children.  With this upcoming election on November 2nd we have to make the right choice for our children. This Gibsonburg School Board will be the one who will be hiring the next Superintendent of our schools. This is a very important decision that will affect our Gibsonburg Schools for many years possibly. If we get this wrong then its our children who will pay the price. This person has to be the go between for the teachers and staff and the School Board. This is a time consuming decision I know and I am willing to take that time as this is so very important for the future of our childrens education.  There is much to do with policy that is out of date and doesnt reflect the times that we are living in. This also is a time consuming issue that has to be done for our children. The Gibsonburg School Board needs to take the time to sit down and go over the entire curriculum for each grade level and see exactly whats in it. Though this needs to be an effort that includes the teachers and administration as well as the board. We have to start finding the solutions to why our grades are slipping and come up with a much needed plan to fix it.  Gibsonburg was once the most sought after school district. Gibsonburg was the district that members from local communities as well as educators would recommend as one of the best around and sadly we have lost this. I for one want to get back to this. We have let our schools be turned into just a business instead of a place to build the future of our children and it has to stop. Those kids arent just dollar signs they are our future.  As a parent of two children who attend our schools I am fighting for them. I am fighting for their friends and the other parents. Those that have run before or who have been on the board or even the Gibsonburg Council knows that these are thankless jobs. Though with knowing this I have still chosen to run and keep fighting because all of OUR children are worth everything I have to help make their education the best it can be along with everyones input and concerns.  Believe it or not GIBSONBURG SCHOOLS are what makes our community what it is. Without our Gibsonburg Schools our community wouldnt be what it is. Gibsonburg Schools are so very important and so vital to this community and if we were to ever lose them it would be tragic.  We need to get this right on November 2nd. We have to vote for the candidates who will leave parental rights in the hands of the parents and will strive to work with all on the education of our children.  Vote Justin Chafin for Gibsonburg School Board on November 2nd.  OUR CHILDREN OUR COMMUNITY OUR FUTURE,political,Facebook
Over the next four years my plan is focusing on Economic Development here in Newton by helping our existing companies grow expand and provide the friendly environment needed which will attract new business and grow our tax base. By doing this we can continue to keep our taxes flat without increases. I've been part of getting Occidental Management to move forward with their project south of Walmart Park Aerospace doubling their facility at the airport a new Freddy's opening in town and now a manufacturing company GAF who is going through the process of purchasing 230 acres at the Kansas Logistics Park with a strong possibility of new jobs. I have the ability to build consensus and make things happen for Newton. All these things I've mentioned and the direction we're headed make Newton an attractive place to live.  Leroy,political,Facebook
