AdText,Category,Platform
"Over the past few months President Biden continues to push America towards an authoritarian state. He recently announced a proposal that financial institutions report transactional activity for any bank account that has an inflow outflow or aggregate amount totaling $600 in a year.  This bar for monitoring is so low that most citizens on unemployment social security benefits and Medicare would have every financial transaction monitored.  To bring it to a more personal level if your child takes a summer job mowing lawns and opens a savings account for that funding then he or she would likely be monitored as well.  While the stated goal of this vast data collection is to uncover tax dodging by the wealthy this proposal is not remotely targeted to that purpose or population.  Last time we checked the median household here in Idaho is roughly $61000 a year. Nearly every Idahoan family would be on that list from monitoring as one of the ""rich"" paying their share.  The false pretense of closing the tax-gap would give unprecedented data collection authority to the federal government with limited return on investment for citizens.  It is also unclear how the IRS will use this data to accomplish its goal.  Further the federal governments history of keeping this type of data secure is dubious at best. The IRS is one of several government systems that has recently experienced a data breach and financial institutions across the country are highly concerned about the governments ability to keep personal financial data secure.  Lets be real this is an unprecedented invasion of privacy masquerading as an effort to reduce the tax gap.  This is not acceptable and Congress must act.",political,Facebook
Cori Schumacher and her cohorts so desperately want her for the District 1 council seat they've now reached a new low even for them. They have resorted to SPAM TEXTING citizens of D1 with a plea to sign their petition for a special election including using the recipients name in the message. They have obviously acquired a cell personalized phone list and have no qualms about invading your privacy. This is so much more intrusive and inappropriate than spam emails or spam phone calls. But like Cori her people will go to any lengths to get what she wants. And don't think she didn't know about and approve of these tactics. They are a coordinated machine that always works together. We can expect more of these undesirable methods if there is a special election. Carlsbad deserves so much better.,political,Facebook
"Getting back on track in this series we left off a couple of weeks ago about to discuss rights warrants and consent. To start this topic which we will only brush the surface consider where these rights are memorialized. I say memorialized intentionally because the founders believed these rights are inherent that is we are born with them. They are memorialized in the 4th Amendment to the Constitution of the United States. Every state Constitution has its own version of this amendment. The Amendment states the every person has the right to be secure in their persons places and effects against unreasonable searches and seizures. Further that no search nor seizure shall occur except by a warrant issued by a judge on a showing of probable cause particularly describing the place to be searched or the person or thing to be seized. So the Constitution has very specifically defined how these rights are to be protected. You can read the actual Amendment and you will notice there are no exceptions to its requirements. There is an anecdote I once heard that Justice Oliver Wendell Holmes was asked why there were no Supreme Court cases on the 4th Amendment. He supposedly stated that the Amendment was so direct in its pronouncement and so clear in its prohibitions that no such case were ever necessary. Today there tens if not hundreds of thousands of cases on the 4th Amendment. Oddly there is only one case which gets the bulk of criticism. That is the ""exclusionary rule"". This rule arose from the U.S. v. Weeks case in 1913 and was later found applicable to state cases in Mapp v. Ohio. This rule states succinctly if the police illegally obtain the evidence then it is inadmissible in court against the accused. The criticism is that it may let the guilty escape conviction by keeping out evidence which could prove guilt. But the criticism is short sighted and misses the bigger issue. The critics would permit official illegal conduct to prevail against the citizen. If the government is to be the bearer of the mantle of justice then it must play by the same rules as it holds its citizens. When the government becomes the law breaker there must be some accountability and the Supreme Court in those cases found exclusion as the mechanism to do that. Unfortunately since Mapp was decided in 1961 there has been a large scale retreat from its mandate and there have been several attempts to eliminate the rule altogether. On the other hand many cases have given the police greater lattitude to search and seize without consulting a magistrate or judge before doing so (the term police is used generically and includes all types of law enforcement agents state or federal) . Some such ""exceptions"" are the ""automobile exception"" ""officer safety exception"" exigent circumstances exception"" ""officer probable cause belief exception"" and finally consent. Yet like the exclusionary rule none of these exceptions appear in the Amendment. These are judge made exceptions. They expand the powers of the police in ways not envisioned nor permitted by the Constitution. Of these exceptions the only one you as the citizen have at your disposal is consent. Because of its extensive use by the police it is the one you are most likely to encounter if you have a police contact. However it will probably be presented to you in a most casual manner which disguises its intent and scope. Borrowing from the anti-drug use campaign Just Say No. The most frequent application of the consent request is to motorists stopped for some trivial traffic violation. After being advised they are only getting a warning the questioning shifts to the contents of the car or other vehicle. Whether there is anything illegal in the vehicle and can the officer ""take a quick look"". This search has nothing to do with the alleged traffic violation and every driver and passenger should Just Say No. At the point of being asked for consent you are legally free to go as you should have already been given your license registration and insurance documents back. Tell the officer to have a nice day and leave. I say that especially if you are innocent of any illegal activity. We do not live in a police state where we need permission to go about our normal lives. Do not take the bait that ""if you have nothing to hide"". That is a phony analogy. Ask the officer if you can come watch him and/or his wife bath if they have nothing to hide. That hyperbole demonstrates the irrelevance of the ""nothing to hide"" bait its not about hiding its about your rightful privacy and an invasion without cause by the police. So in summary the police legally need a warrant according to the Constitution can get by sometimes on one of the court made exceptions or get your consent. Never give up a right needlessly. These are your rights use them or lose them. Be safe and be aware.",political,Facebook
San Leandro I have the solutions to wipe out our current unfunded liabilities that will place our city on a firm foundation these solutions will provide an abundance of funds for the city to utilize to create projects and investments that bring us returns financially and morally.  The Solution  We create a Bond Measure of 400 Million this creates a commitment from us the community of $111.00 each a year for 40 years.   We Pay off existing and growing Debt Completely.  We Gain a General Fund with Reserves of over $230 Million  We Invest in Private and Public Projects that create solutions to housing temporary displacement and homelessness and hunger these investments will be morally right but they will also create residual financial returns that create sustainability.  Increase Public Safety 1st Responders Fire and Police and Utilize Technologies to our advantage with privacy and transparency guidelines.  Other Immediate benefits to the community Free City wide WIFI Free Health Services Free Food for the ones in immediate need through local non-profit partnerships and agencies.  This is a brief description of my Idea on how we can provide A Solution together.  Please reach out to me if you would like to speak further.  Dan Dillman,political,Facebook
Our Week-end Updates Always Contain Important Information We Need To Pass Along To You.  Please take the 5 or 10 minutes it takes to read them. The last few years have been a time of great peril. There are very few groups like ours in existence. We cant bury our heads in the sand and try to ignore what is going on. We must be aware and vigilant. As followers of Jesus that is what were called to do. As Jesus said he sends us out as sheep in the midst of wolves so we must be wise as serpents and innocent as doves.  If our Sponsored messages are the only ones you ever see go to the top of our page hover over the Follow button and click on Follow This Page. Then click on See First. This way you will see all our posts every day. We take great care in selecting topics youll be interested in discussing.  *** (UPDATE: Its necessary for us to let you know that financial support has been down lately probably because its summer and many are out and about. Please keep in mind that TCL operates on a very slim margin. If this is your Church or one of your top islands of spiritual sanity donate what you can each week. Those who would like to become larger sustaining members please feel free to do so. As always if you dont have enough to spare your continuing prayers for our health and survival as a ministry mean a great deal.  Once in a great while someone who hasn't thought it through will ask Why do you need support? Facebook is free. They fail to consider the ten years of full time effort we've invested in this ministry and community. Were here every day 16 hours a day curating content interacting with members in comments and keeping the trolls away. We just happen to carry out our work on social media but we're a full-fledged organization with the same costs as any other including staff costs.  For those leery of PayPal we can report that weve never had a single problem with them in 10 years nor have any of our donors. Still if you prefer our mailing address is The Christian Left 2001 NW Aloclek Dr. Box #108 Hillsboro OR 97124  Were politically active at TCL. We dont like it when other religious organizations hide behind a non-profit status while engaging in political activity so we dont do that. Therefore contributions are not tax deductible. Thanks so much your friends and servants at TCL. ... END OF UPDATE).***  Have you ever heard of a Christian ministry that attracted a good share of atheists agnostics pagans Buddhists Muslims people of Jewish faith and many others as allies? Perhaps such is the case for us because we place the words actions and teachings of Jesus front and center at all times. We often compare and contrast those teachings with what we see happening in the world especially in government and culture. A large percentage of people see the teachings of Jesus as truth regardless of their background.  You cant tell us that treating a group of people differently in a mean spiteful humiliating way or discriminating against them because you dont approve of their sexuality is Christian.  You cant tell us that taking more food away from the hungry is Christian.  You cant tell us that taking health care away from anyone at all is Christian.  You cant tell us taking dominion over a womens body her medical choices her privacy her family planning choices her safety or a future she may not want is Christian.  You cant tell us treating immigrants escaping from danger violence or extreme poverty like animals or calling them an infestation is Christian.  You cant tell us deporting people who have grown up in this country is Christian.  You cant tell us bankrupting the country so you can take away social services necessary for the survival of those who are elderly poor sick disabled. injured hungry homeless or mentally ill Christian.  We Christians who arent brainwashed recognize all these patterns of behavior for what they are a cult and its an evil cult that has nothing to do with Jesus. Frankly were a little bit stunned that so many so-called Christians cant see that. Its the opposite of what Christ taught. Its not even hard to see that which is why we dont get it.  If you claim to follow Jesus you can't disregard everything he taught or claim that it only applies to individuals. The Law of Love is simple and universal. It applies to all things. Jesus taught us to Love God and Love our neighbors as we do ourselves. He said all the law and all the prophets could be summed up in these two commands the Law of Love.  40 years of billions spent in messaging from false teachers is hard to break through. We staff this page and our other social media outlets 16 hours a day 7 days a week and we have done so for 10 years. We have to pay our staff to sacrifice that kind of time. We would fold in less than a month without your financial participation.  The only way were able to stay around is with your support. If you see the value in keeping this ministry alive make a donation today (if youre financially able). We make this request on week-ends only. Heres how:,political,Facebook
URGENT: The Town Council is set to pass a resolution on Wednesday 5/29 at 6pm to approve a contract with Host Compliance LLC for Short-Term Rental monitoring. It unnecessarily spends over $5000 of taxpayer money to enforce an unjust and un-recoupable regulatory regime on a relative few residents. It will invade your privacy by encouraging anonymous complaints - a clear attack on your right to due process and confrontation of your accuser - rather than funneling complaints through Airbnb's Neighbors program which is free and exists TODAY. And it it locks the town into an auto-renewing contract that the next administration may not want or need.  You showed up in force last week at Tri-Village Firehouse to express your concerns about the proposed zoning law. Please turn out again at 6pm tomorrow at Chatham Town Hall to express your displeasure with the heavy-handed route Supervisor Lull and the Town Council are taking. Your rights and your tax dollars are at stake.,political,Facebook
SECURE.ACTBLUE.COM NOT AFFILIATED WITH FACEBOOK Donate now,political,Facebook
I need to ask you all for the greatest favor.  I am asking that if you do not see my name on your ballot for Tuesday Please write me in.  I do not believe the election results of 2020 are certifiable.  I do not think the election would be fair to be redone with the existing candidates.  I ask that I be considered a write in.  I will take the role for no salary as Mr. Trump did. I know how difficult this must be to read for so many reasons.  I can only do the new salary portion of us because Im relying on my businesses getting going.  Should this all work out somehow I promise that I will do my absolute best at giving 110% to the daily roles and responsibilities I will need to take over  My entire life was geared toward one goal and without a college education there doesnt seem like another pathway for me to D.C  Most of my apparent mania was because of this goal.  My long term objectives are pretty well laid out.  Affordable Housing Medicare for All Welfare Reform Initiate a war on Homelessness  Education Reform Social Security Overhaul  Transportation Railway and Infrastructure corrections and modifications  Implementation of high end internet security devices and software across the country to remove the risk of data privacy issues for both civilians and government.  I know all the questions you may have and why you may say how do you think you could be qualified  The only answer I have is I feel as if I were always going to end up right here.  I believe that we have a tremendous amount of work to do.  The world didnt quite catch up to us in Avi-tech? But the proximity blew me off my chair this last July.  I spent my 4th of July watching the supply chain issue begin. It has been heart wrenching to know that the world relies so heavily on tech however the big 4 corporations chose not to do more.  I see this as negligent at a level that is unreasonable.  Biometrics for logging onto the computer and the Internet have been around a long time and Im not quite sure this push didnt happen years ago.  #1dayatatime,political,Facebook
Have you ever heard of a Christian ministry that attracted a good share of atheists agnostics pagans Buddhists Muslims people of Jewish faith and so on? Perhaps Unitarian Universalists but thats about it and the reason is we arent hypocrites. Were far from perfect people (who dont really exist anyway) but were not hypocrites.  You cant tell us wanting to take dominion over a womens body her medical choices her privacy her family planning choices her safety or a future she may not want is Christian.  You cant tell us that treating a group of people differently in a mean spiteful humiliating way by discriminating against them because you dont approve of their sexuality is Christian.  You cant tell us that taking more food away from the hungry is Christian.  You cant tell us that taking health care away from anyone at all is Christian.  You cant tell us treating immigrants seeking a better life in the US like animals or calling them an infestation is Christian.  You cant tell us sending people away when theyve grown up in this country is Christian.  You cant tell us bankrupting the country so you can take away social services necessary for the survival of those who are old poor sick disabled. injured hungry homeless or mentally ill Christian.  We Christians who arent brainwashed recognize all of this for what it is a cult and an evil one at that. Frankly were a little bit stunned half the time that so-called Christians cant see that. Its the opposite of what Christ taught. Its not even hard to see which is why we dont get it.  If you claim to follow Jesus you can't disregard everything he taught or claim that it only applies to individuals. The law of Love is simple and universal. It applies to all things.  40 years of billions spent in messaging from false teachers is hard to break through. We staff this page and our other media outlets 16 hours a day 7 days a week and we have done so for 10 years. We have to pay our staff to devote that kind of time. We would fold in less than a month without your financial participation.  The only way were able to stay around is with your support. If you see the value in keeping this ministry alive make a donation today if youre financially able. We make this request on week-ends only. Heres how:,political,Facebook
We say no to invasive biotech. Your body is your business: corporations shouldnt have unrestricted access to your health records and medical data. Protect your right to privacy. #wesayno,political,Facebook
