AdText,Category,Platform
"THE LONG ARC OF RACISM  The insurrection by anti-government white nationalists on January 6th was 12 years in the making beginning with Obama's election in 2008.  Americans spent the beginning of the 2000s focusing their hatred on Muslims launching two ill-fated wars in an attempt to reassert its global dominance. As America's military might floundered in the Middle East its economy imploded after decades of stagnant wages conspicuous consumption and deregulation came home to roost. Then the unthinkable happened.  A Black man was elected president.  Racists rallied to the call.  Obama was surely not a legitimate president. He wasn't even a legitimate American!  Tea parties gathered decorum was cast aside (e.g. ""You lie!"" yelled at the State of the Union) and fragile white Americans were soon able to excuse their every failure and soothe every insecurity as the consequence of Obama's election.  The Republican party rallied the support of ""angry white men"" to help ""keep them in business"" and Donald Trump rode that wave of amorphous bigoted ignorant rage to the White House.  White nationalists had their president and he considered them ""very fine people."" The arc of American decay that Republicans often infer began with the Voting Rights Act and hastened thereafter had reached its nadir with Obama's election and Trump was finally making America great again (wink wink).  But his God-given presidency was about to be cut short by of all things Black voters in cities like Atlanta and Philadelphia who dared exercise the very rights that brought the cultural decline of America nearly 60 years ago.  Despite weeks of calling for violence Trump's white nationalist supporters were welcomed to Washington DC in a manner that stood in undeniably stark contrast to that which Black Lives Matter protesters received 6 months earlier. Where BLM were met by the National Guard in tactical gear on the steps of the Lincoln Monument Trump's racist insurrectionists were allowed to run wild all the way into the Capitol and onto the floor of the Senate.  Americans soothed themselves saying ""this isn't who were are!""  Yes it is.  It is who we have always been.  Angry.  Fragile.  Entitled.  Violent.  and  Racist.  Trump's defeat doesn't fix these problems or heal these wounds.  Black voters saved America from Trump.  Now it's time for white people to step up and save America from...white people.",political,Facebook
You know the political vibe in this country is turning to the right when superspreader Adam Schiff gets a beat down on The View - LOL. Wheres all that evidence you had for years that proved Trump colluded with Russia? Paul Manafort? Please you arrogant weasel!!!! I hope you get snapped up in the Durham investigation!!! A prison jumpsuit would look good on you!!,political,Facebook
Republicans are raising hell because 13 members of Congress in their party voted for the infrastructure package. They tried through out Trumps presidency to get an infrastructure bill through Congress and were unsuccessful. In August 18 Republican Senators voted to move this bipartisan bill forward. Of course like any bipartisan bill there is always parts of it either party will complain about but that is what a compromise looks like. The Independence Party supports the Federal government spending money on infrastructure that is sorely needed and creates a foundation for our country to thrive upon. We do not however like the fact that a large portion of this bill is being paid for with borrowed money. Unfortunately that is the one thing both parties I like to call them Republicrats always seem to be able to agree upon. As far as the GOP members complaining about their fellow Republicans supporting something they have been trying to get done just shows how they will always put their part before country. I also include the radical far left Progressives who also held this bill up for months in the category of party before country. All of this points to the need for a third party with centrists beliefs.,political,Facebook
To all who care about their Country and the state of affairs in the United States  I am a Retired Military Officer Commissioned from Infantry Officer Candidate Candidate School Class 509 Fort Benning Georgia in 1968. I served 23 years as a Commissioned Officer and retired from the Military in 1989 to pursue other opportunities in the civilian sector. Considering how our country is currently being led by an incompetent President I pledge to support this Country and my fellow Officers who join me in publicizing the present danger of our current President Donald J. Trump. I also invite other citizens of the United States to speak up and join our protest and demand that the current President and his regime step down from their positions. In this regard I strongly support my fellow Officers who have collectively penned the letter below. If you agree with our concerns I request you copy and re-post this letter to your family and friends across our Country.  R. Scott Swingler Lieutenant Colonel U.S. Army Retired  The Letter  VOICES OF CONCERN FOR OUR IMPERILED DEMOCRACY  We the undersigned are former or retired army officers now in our seventies. We share a common bond having graduated from the U.S. Army Officer Candidate School at Ft. Benning Georgia in 1968. From there we served in the military in a variety of capacities wherever we were needed. As young men we were committed to defending Americas values our freedoms our democracy and our Constitution. Some of us made a career in the military but most of us went on to have productive careers back home in the civilian world. As a group we have diverse political views: Republicans Democrats Liberals and Conservatives. But we are all concerned Americans.  In the past few months our system of government has been increasingly under siege. Our nation has reached this critical point under the current administration of Donald J. Trump. Important voices have begun to speak out led by respected members of the highest military rank. We would like to join this chorus of alarm.  Our government structure with its co-equal branches is in jeopardy. Our judicial system is reeling. The FBI the CIA and the NSA are being mocked and belittled. Our Attorney Generals office is overtly politicized. Our State Department is being decimated. Where are the voices of outrage in Congress? The Senate is virtually mute.  We are concerned that our country is rapidly spinning toward a Presidency staffed by family members and cronies in which the only prerequisite is blind loyalty. The United States is withdrawing from the world enjoying little respect internationally. This cannot continue.  Quoting James Mattis a Marine Four Star General and former Secretary of Defense:  We know that we are better than the abuse of executive authorityWe must reject and hold accountable those in office who would make a mockery of our Constitution.  We honor the Generals courage and emphatically call on both chambers of Congress to follow his lead in defending our democracy and our Constitution. We urge all Americans to consider these ideals as you vote this Fall.  John F. Baxter III (1LT USA) A.C. (Budd) Mazurek (1LT USA) Mark T. Creaven (1LT USA) John F. McMackin Jr. (1LT USA) Larry W. Clark (1LT USA) Carl A. Ohlson (1LT USA) Colonel Gerald A. DiGrezio USA Retired Charles A. Powell (1LT USA) Joseph F. Frisz (1LT USA) John B. Slidell (1LT USA) John A. Guy (1LT USA) Lt. Colonel Charles R. Stone USA Retired Gary J. Goodman (1LT USA) Lt. Colonel Ralph S. Swingler USA Retired Captain Robert R. Hammeras USA Retired Wayne P. Yetter (1LT USA) Daniel R. Mabesoone (1LT USA),political,Facebook
Last night voters sent several messages (plus add'l analysis):  1) Durham voters want change but not too fast. All the candidates (with maybe the exception of Sylvester Williams) supported the new non-violent Community Safety Department. But Durham said they want slower change on that front. No commitments but conditions based. Candidates promising that were victorious last night.  2) Putting in the work still matters. AJ Williams drew the Ward 3 race to a photo finish through hard work both during the election and his past work in the advocacy space.  3) Campaign messaging still matters. Both here and in VA we saw the strength of a good (or bad) campaign message. In Durham Elaine O'Neal's message of made/trained/ready to serve my hometown combined with her record of service translated into dominating a 7 person field. In VA we saw where the Dem trying to make the sweater vest wearing moderate appearing GOP candidate into Donald Trump reincarnate backfired.  4) A new council majority. The Ward 3 race was actually very important as it was the battle over the 4th vote. Now O'Neal will be leading a loose coalition of O'Neal/Freeman/Middleton/L Williams (they did not run as a ticket but did endorse each other).  5) End of an era. Ever since 2004 Mayor Steve Schewel has been in city and county leadership (first School Board the city council and now mayor). Before that he was an influential voice as the publisher of the IndyWeek local newspaper. That ends next month.,political,Facebook
Election day is Tuesday! We wanted to send out a final message to voters that may still be considering how they will use their THREE school board votes about what we think this election is and is not about.  This election IS NOT a referendum on our public schools -- we know that our schools do a good job without being perfect.  This election IS NOT about whether you send your children to public or private schools -- many members of our PAC have had children in private schools.  This election IS NOT about school levies -- not every member of our PAC has always supported every school levy and nothing about this election obligates you to support future school levies.  This election IS ABOUT one thing: Do we want unqualified Trump-supporting radical conservatives running our schools? Thats what is on the ballot on Tuesday.  You can think our public schools have problems and send your children to private schools and dislike our property tax rates and ALSO REALIZE that electing Rennert Lynn and Drake is not the solution. Electing them is likely to result in giveaways to private interests and is likely to make our schools worse. It won't fix anything.  In fact at the end of the day what this election is really about is keeping MAGA off of our school board.  On Tuesday we hope you will join us in using ALL THREE of your votes for three of Malia Lewis Jodi Sourini Dan Heintz and Mario Clopton-Zymler for Cleveland Heights-University Heights School Board.,political,Facebook
I need to ask you all for the greatest favor.  I am asking that if you do not see my name on your ballot for Tuesday Please write me in.  I do not believe the election results of 2020 are certifiable.  I do not think the election would be fair to be redone with the existing candidates.  I ask that I be considered a write in.  I will take the role for no salary as Mr. Trump did. I know how difficult this must be to read for so many reasons.  I can only do the new salary portion of us because Im relying on my businesses getting going.  Should this all work out somehow I promise that I will do my absolute best at giving 110% to the daily roles and responsibilities I will need to take over  My entire life was geared toward one goal and without a college education there doesnt seem like another pathway for me to D.C  Most of my apparent mania was because of this goal.  My long term objectives are pretty well laid out.  Affordable Housing Medicare for All Welfare Reform Initiate a war on Homelessness  Education Reform Social Security Overhaul  Transportation Railway and Infrastructure corrections and modifications  Implementation of high end internet security devices and software across the country to remove the risk of data privacy issues for both civilians and government.  I know all the questions you may have and why you may say how do you think you could be qualified  The only answer I have is I feel as if I were always going to end up right here.  I believe that we have a tremendous amount of work to do.  The world didnt quite catch up to us in Avi-tech? But the proximity blew me off my chair this last July.  I spent my 4th of July watching the supply chain issue begin. It has been heart wrenching to know that the world relies so heavily on tech however the big 4 corporations chose not to do more.  I see this as negligent at a level that is unreasonable.  Biometrics for logging onto the computer and the Internet have been around a long time and Im not quite sure this push didnt happen years ago.  #1dayatatime,political,Facebook
Remnant Rising Friday 7:30 pm October 29th Guest Speaker PROPHETESS LISA COOPER Worship with Sherman and Patty Beale & Maureen Youre invited October 29th 2021 Friday 7:30 PM  Church meeting with Peter & Kathie Healing Waters Fellowship Light desserts and beverages Fellowship 7:007:30 PM 37 COLLEGE ROAD SELDEN NY 11784  FOR INFORMATION CALL / TEXT KATHIE KELLEHER 631-871-0936,political,Facebook
TRUMP WARNS HIS VIRGINIA GUBERNATORIAL CANDIDATE GLENN YOUNGKIN TO GET IN LINE! IS THIS WHAT VIRGINIA WANTS? I DOUBT IT. VOTE FOR TERRY McAULIFFE AND LET TRUMP KNOW HES NOT WELCOME IN VIRGINIA POLITICS!  Trump has warned Youngkin to more closely align with his Make America Great Again movement.  The only guys that win are the guys that embrace the MAGA movement Trump said in an interview with conservative talk show host John Fredericks last month.  They have to embrace it he continued.,political,Facebook
More and more cutting back of the larger social spending budget bill. First environmental and now needed benefits for elders critical paid family leave and family protection in general. At some point very close to now the progressives are going to say enough is enough and not vote for the flawed deeply cut bill just to satisfy 2 Senators.  As well the infrastructure bill without the critical larger social spending bill will just increase inequality and division. The infrastructure bill alone only feeds and maintains the current structural inequality and dysfunction of the present state of things.  The progressives need to take a stand here. Either pass both in their robust forms or pass neither. Then move more aggressively to pursue our social justice strategy. We need more backbone. Ill take my chances by striving for what is clearly fair and right rather than continue to accept growing inequality in the service of special interests.,political,Facebook
