,Unnamed: 0,AdText,Category,Platform
0,0,"Election Day is Here | Vote Biden Harris 2020 | Can We Count on You to Vote?Ad iwillvote.com/voting/location AZ - It’s Time to Use Your Voice & Vote! We’ll Decide the Future of Our Country, Together. It’s Your Last Chance to Vote for Joe, Kamala, & the Rest of the Democratic Ticket.",political,Google
1,1,"Election Day is Here | Vote Biden Harris 2020 | Can We Count on You to Vote?Ad iwillvote.com/voting/location Today is Election Day & the Day We Vote Trump Out! Find Your Voting Location & Vote. It’s Your Last Chance to Vote for Joe, Kamala, & the Rest of the Democratic Ticket.",political,Google
2,16,"Election Day is Here | Vote Biden Harris 2020 | Can We Count on You to Vote?Ad iwillvote.com/voting/location AZ- Your Last Chance to Vote for Joe & Kamala is Today! Find Your Polling Location & Vote. It’s Your Last Chance to Vote for Joe, Kamala, & the Rest of the Democratic Ticket.",political,Google
3,20,"Election Day is Here | Vote Biden Harris 2020 | Can We Count on You to Vote?Ad iwillvote.com/voting/location Joe & Kamala Are Counting on You to Make Sure You Vote Today! Find Your Polling Location. It’s Your Last Chance to Vote for Joe, Kamala, & the Rest of the Democratic Ticket.",political,Google
4,35,"El día de la Elección ya llego | Vota Biden Harris 2020 | ¿Contamos contigo para votar?Ad voyavotar.com/votación/ubicación MI- ¡Es hora de usar tu voz y votar! Nosotros decidimos el futuro de nuestro país. Es tu última oportunidad para votar por Joe, Kamala y el resto de los demócratas.",political,Google
5,36,Republicans: Are You Ready? | It's Time To Vote Trump | Find Your Polling Place NowAd vote.donaldjtrump.com Republicans: Visit Site To Find Your Election Day Polling Place. Be Ready For Nov 3rd. Make Sure You Are Ready To Vote. Don't Wait. President Trump Is Counting On Your Vote.,political,Google
6,37,Republicans: Are You Ready? | It's Time To Vote Trump | Find Your Polling Place NowAd vote.donaldjtrump.com Republicans: Visit Site To Find Your Election Day Polling Place. Be Ready For Nov 3rd. Make Sure You Are Ready To Vote On Election Day. President Trump Is Counting On Your Vote.,political,Google
7,40,Donald J. Trump For President | Find Your Polling Place Here | Get Ready For Election DayAd vote.donaldjtrump.com Election Day Is Only {PH_0} Away. Make Sure You're Ready. President Trump Is Counting On Your Vote. No Time To Waste. Get Ready To Vote Now.,political,Google
8,41,Trump 2020 | Vote On Election Day | Find Your Polling Place NowAd vote.donaldjtrump.com Election Day Is Only {PH_0} Away. Make Sure You're Ready To Vote For President Trump. America Needs 4 More Years. Everything Is At Stake. Make Sure You're Ready To Vote.,political,Google
9,42,Republicans: Only {PH_0} | Make Sure You're Ready To Vote | America Is Counting On YouAd vote.donaldjtrump.com Visit Site To Find Your Polling Place. Every Vote Counts. Everything Is At Stake On Nov 3. Be Ready To Vote Republican On Nov 3rd. Help Make History. America Needs Your Vote.,political,Google
10,45,33.1% GDP Growth | The Choice Is Simple | It's Time To Vote TrumpAd vote.donaldjtrump.com Visit Site To Find Your Polling Place. Every Vote Counts. America Needs 4 More Years. You Can't Ignore This Record Breaking Growth. Be Ready To Vote Republican On Nov 3.,political,Google
11,47,Fastest Economic Recovery Ever | America Needs President Trump | Go Vote For TrumpAd vote.donaldjtrump.com Find Your Polling Place. Go Vote For President Trump. Record Breaking 33.1% GDP Growth. America Is Counting On Your Vote For President Trump. Go Vote In Person On Election Day.,political,Google
12,49,Final Chance | Donate To Trump 2020 | Everything Is On The LineAd secure.winred.com President Trump Needs You To Donate. Now Is Your Last Chance To Donate. Help Trump Win Big Everything Is On The Line. All Patriots Must Step Up and Donate Now. America Needs Trump.,political,Google
13,52,ATTN: Final Chance | Donate To Donald Trump 2020 | Don't Remain SilentAd secure.winred.com President Trump Needs You To Donate Right Now. Everything Is On The Line. Don't Miss Out. All Patriots Need To Step Up And Donate Immediately. Help Trump Win Big In November.,political,Google
14,53,{PH_0} Until Election Day | Help Trump Win | Donate NowAd secure.winred.com/donate Official Donald J. Trump For President. Donate Now To Help Trump Defeat Biden in 2020. Every Dollar Counts. No Time To Waste. Donate Now.,political,Google
15,58,Trump 2020 | Su Libertad Esta En Peligro | Hay Que Salvar El PaisAd es.vote.gop Los Democratas Ee Han Convertidos A Socialistas. Hay Que Votar Por El Presidente Trump. El Presidenete Trump Ha Peliado Por Usted Y Su Libertad. Hay Que Apoyarle. Vota Por Trump.,political,Google
16,59,El Pais Esta En Peligro | No Pierda Su Libertad | Trump Contra El SocialismoAd es.vote.gop Presidente Trump Es El Unico Candidato Contra El Socialismo. Tiene Que Votar Por Trump. Vote Tmprano Por Presidente Trump. No Permita Que Esto Se Convierta A Un Pais Socialista.,political,Google
17,62,Record GDP Growth | America Needs President Trump | Find Your Polling Place NowAd vote.donaldjtrump.com The Economy Is Growing Faster Than Ever. You Can't Ignore These Numbers. Get Ready To Vote The Choice Between Economic Boom Or Economic Doom Is In Your Hands. America Needs Trump.,political,Google
18,72,Attn: Help Save America | Fight For Fair Elections | Donate NowAd secure.winred.com/tmagac Defend Your Favorite President. Ensure Your Voice Is Heard. Donate Now.,political,Google
19,73,Defend Georgia | Hold The Line | Donate NowAd secure.winred.com/tmagac We Need Your Help To Fight Back. Donate Now to the Georgia Recount Fund.,political,Google
20,76,Urgent: Donate Now | Official Donald J. Trump | Election Defense FundAd secure.winred.com/tmagac Critical Election Defense Fund. Donate Now To Help Us Save America. Stop The Radical Left. President Trump Needs Your Help. Chip In To Help President Trump Defend Our Elections.,political,Google
21,78,Protect Our Elections | Fight For Freedom | Contribute NowAd secure.winred.com/tmagac Trump Has Spent Every Single Day Fighting For You. President Trump Needs You To Donate Right Now.,political,Google
22,79,Help Save America | Donald J. Trump | Donate NowAd secure.winred.com/tmagac President Trump Needs You To Donate Now. Help Stop The Radical Left. We Will Not Give Up. Help Us Stop The Democrats. They Will Ruin America. Every Dollar Counts. Donate Now.,political,Google
23,81,Donald J. Trump Official Site | Save America | Donate NowAd secure.winred.com/tmagac Patriots: Donate Now. President Trump Needs Your Help. Stop The Radical Left From Ruining Our Democracy. Every Dollar Counts. Defend America.,political,Google
24,83,Donald J. Trump Official Site | Save America | Donate NowAd secure.winred.com Patriots: Donate Now. President Trump Needs Your Help. Stop The Radical Left From Ruining Our Democracy. Each Dollar Counts. Help Defend America.,political,Google
25,90,"Urgent Message | Fight For Fair Elections | Give NowAd secure.winred.com President Trump Fights You. Now, It's Your Turn. Every Dollar Counts. No Time To Waste.",political,Google
26,97,"Urgent Message | Fight For Fair Elections | Give NowAd secure.winred.com/tmagac President Trump Fights You. Now, It's Your Turn. Every Dollar Counts. No Time To Waste.",political,Google
27,99,Fight For Trump | Defend Our Elections | Contribute NowAd secure.winred.com/tmagac Trump Will Never Give Up Fighting For Our Nation. Donate Now To Defend America.,political,Google
28,101,Patriots: We Need You | Fight For Trump | Donald J. TrumpAd secure.winred.com/tmagac Donate Now. President Trump Needs Your Help To Stop The Radical Left. Chip In To Help President Trump. We Can't Let The Democrats Ruin Our Country.,political,Google
29,105,Patriots: We Need You | Fight For Trump | Donald J. TrumpAd secure.winred.com Donate Now. President Trump Needs Your Help To Stop The Radical Left. Chip In To Help President Trump. We Can't Let The Democrats Ruin Our Country.,political,Google
30,106,"Defeat Rubio, Defend Senate | 11:59 Deadline, Donate Now | Unseat Rubio & Stop the GOPAd secure.actblue.com/donate/defeat-rubio Quick! We can finally end Marco Rubio's career & expand our Dem majority! Donate now! Our democracy is on the line! Give now to defeat Marco Rubio and keep the Senate blue",political,Google
