,Advertiser_ID,Advertiser_Name,Total_Creatives,Spend_USD,Regions,Elections
1,AR100201587015680000,ALEX FOR AZ,9,4700,US,US-Federal
2,AR100207290732249088,FRIENDS OF SUZY GLOWIAK,1,100,US,US-Federal
3,AR100212960089079808,TRACY WATSON 4 THE QUAY,1,0,US,US-Federal
5,AR100252851745325056,CITIZENS FOR JD WOOTEN,3,12800,US,US-Federal
6,AR100293190078169088,DYLAN BILLINGS FOR SENATE,1,100,US,US-Federal
7,AR100430113635565568,MARY FENDER,3,3200,US,US-Federal
8,AR100442895458238464,MIKE FEUER FOR MAYOR 2022,2,8500,US,US-Federal
9,AR10057920054034432,ARCHERD FOR CONGRESS,3,1400,US,US-Federal
10,AR100605107783073792,PAGE PAC,3,6000,US,US-Federal
13,AR100745295515615232,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,59,108600,US,US-Federal
14,AR100838960162406400,SECURING LOUISIANAS FUTURE,143,152100,US,US-Federal
15,AR100937125934923776,"WILLIAM J. BRENNAN CENTER FOR JUSTICE, INC.",1,0,US,US-Federal
16,AR100996740080992256,FreedomWorks Inc,336,176700,US,US-Federal
19,AR101121809528651776,"PETE FOR AMERICA, INC.",3944,7214700,US,US-Federal
20,AR101148472685625344,DOUG WARDLOW FOR ATTORNEY GENERAL,20,23500,US,US-Federal
22,AR101209633019920384,VAN DREW FOR CONGRESS,5,49400,US,US-Federal
23,AR101303297666711552,LINDSEY PORT FOR MN,20,15000,US,US-Federal
24,AR101369474522808320,CITIZENS FOR A STRONGER NEW JERSEY,10,1200,US,US-Federal
25,AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,5,1900,US,US-Federal
26,AR101600956080193536,ELECT EDUCATORS EVERYWHERE,1,0,US,US-Federal
27,AR101638236396322816,COLE FOR STATE REP,13,4000,US,US-Federal
28,AR102122639987834880,MCCONNELL SENATE COMMITTEE,226,2667800,US,US-Federal
29,AR102186205503815680,SECURE DEMOCRACY,11,28800,US,US-Federal
30,AR102439196257419264,NJ PUBLIC CHARTER SCHOOLS ACTION FUND,1,1700,US,US-Federal
31,AR10245043189186560,MAST FOR CONGRESS,18,46400,US,US-Federal
32,AR10258065530028032,REP. BRAD SHERMAN - U.S. HOUSE OF REPRESENTATIVES,2,5900,US,US-Federal
33,AR102632744663646208,NATIONAL IRANIAN AMERICAN COUNCIL,2,0,US,US-Federal
34,AR102636249356959744,JESSICA TAYLOR FOR CONGRESS,27,2600,US,US-Federal
35,AR102638173502308352,HILLARY O'CONNOR MUERI FOR OHIO,10,0,US,US-Federal
36,AR102653875902742528,ABBY FOR IOWA,2,8200,US,US-Federal
38,AR102918342808961024,HUESO FOR SUPERVISOR 2020; BEN,13,400,US,US-Federal
39,AR103132816295854080,MISSISSIPPI REPUBLICAN PARTY,13,18400,US,US-Federal
40,AR103201123455729664,LANDRIC A. ‘LANNY’ BOSE,4,2700,US,US-Federal
41,AR103258779096711168,CAMPAIGN FOR AMERICAN PRINCIPLES,102,77100,US,US-Federal
42,AR103264242295111680,HELAL A SHEIKH 2021,2,0,US,US-Federal
43,AR103276508721709056,FRIENDS OF JOE KERWIN,10,900,US,US-Federal
44,AR103361033678094336,SCOTT GELFAND,11,800,US,US-Federal
45,AR103378007388848128,STUCK FOR CONGRESS,9,400,US,US-Federal
46,AR103394156465881088,COMMITTEE TO ELECT CLEAVE SIMPSON,4,5800,US,US-Federal
47,AR103535993465864192,SAN JOSE TEACHERS ASSOCIATION POLITICAL ACTION COMMITTEE,6,500,US,US-Federal
49,AR103765516518162432,JUST THE FACTS MICHIGAN,30,700,US,US-Federal
50,AR103839115077746688,ARNOLD FOR ALABAMA,24,12000,US,US-Federal
51,AR103928587836456960,PACIFIC CAMPAIGN HOUSE,11,500,US,US-Federal
53,AR104028093638770688,FRIENDS OF RAJA FOR CONGRESS,10,65300,US,US-Federal
54,AR104074891602427904,Advictory LLC,108,68700,US,US-Federal
55,AR104120933651841024,VISION CHARITABLE TRUST,5,900,US,US-Federal
57,AR104324618180886528,BARBARA MCGUIRE FOR STATE SENATOR - DISTRICT NO. 8,1,200,US,US-Federal
58,AR104356641457045504,FRIENDS OF ROBYN VINING,108,58100,US,US-Federal
59,AR104374439801520128,KAMALA HARRIS FOR SENATE,28,6400,US,US-Federal
61,AR104607192669224960,EASTON DEMOCRATIC TOWN COMMITTEE,4,600,US,US-Federal
62,AR104639868780412928,CITIZENS FOR A SECURE AND SAFE AMERICA EDUCATIONAL COMMITTEE INC,1,0,US,US-Federal
64,AR105054968779636736,"MARSY'S LAW FOR IDAHO, LLC",12,3700,US,US-Federal
65,AR105144029221486592,CHICAGO TEACHERS UNION,30,12200,US,US-Federal
66,AR1053366499147776,BLUE SENATE PAC,11,5000,US,US-Federal
68,AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",27436,83483000,US,US-Federal
69,AR105694987626217472,JUST OUST SEDITIOUS HACKS PAC,20,1200,US,US-Federal
71,AR105853214221402112,WORKERS DEFENSE ACTION FUND,6,1900,US,US-Federal
72,AR105874757777358848,SABATINI FOR CONGRESS,1,2100,US,US-Federal
74,AR105987011042607104,AMERICAN UNITY PAC INC,3,7500,US,US-Federal
75,AR106373798617415680,MENENDEZ FOR SENATE,1,5900,US,US-Federal
76,AR106394036503314432,"AMERICAN KIDNEY FUND, INC.",1,1300,US,US-Federal
77,AR106403725949534208,JEXAN LLC,12186,12300,US,US-Federal
78,AR106535323747483648,JUDE SCHRODER,14,700,US,US-Federal
79,AR106636478817239040,PROCHOICE VOTER,3,300,US,US-Federal
80,AR106701350003277824,FRIENDS OF JIM BERNARD,6,3000,US,US-Federal
81,AR106804085620998144,"EXACT DRIVE, INC.",6,0,US,US-Federal
82,AR106878165216919552,TROY KING FOR CONGRESS,6,100,US,US-Federal
